year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1981,NHL,LAK,LAK,CC,SM,4,DF,80,24,41,15.0,,63,,,314,369,Короли Лос-Анджелеса,1730.0,10.0,75.0,355.0,11.0,89.0,310.0,7.0
1967,NHL,CHI,CHI,,ED,4,SF,74,32,26,16.0,,80,,,212,222,Чикаго Черные Ястребы,602.0,,37.0,234.0,6.0,37.0,218.0,9.0
1977,WHA,BIR,BIR,,,6,AVQF,80,36,41,3.0,,75,,,287,314,Бирмингем Буллз,2177.0,18.0,60.0,286.0,13.0,84.0,355.0,8.0
1931,NHL,MTL,MTL,,CA,1,SF,48,25,16,7.0,,57,,,128,111,Монреальские канадиенсы,448.0,,,,,,,
1992,NHL,MTL,MTL,WA,AD,3,ПК,84,48,30,6.0,,102,,,326,280,Монреальские канадиенсы,1788.0,8.0,79.0,430.0,13.0,77.0,427.0,8.0
1972,WHA,MFS,MFS,,WW,4,AVQF,78,38,37,3.0,,79,,,250,269,Боевые святые Миннесоты,1134.0,14.0,54.0,300.0,12.0,48.0,269.0,6.0
1922,NHL,HAM,BKN,,,4,,24,6,18,0.0,,12,,,81,110,Тигры Гамильтона,188.0,,,,,,,
1990,NHL,QUE,COL,WA,AD,5,,80,16,50,14.0,,46,,,236,354,Квебек,1741.0,22.0,51.0,328.0,11.0,98.0,368.0,10.0
1987,NHL,DET,DET,CC,NO,1,CF,80,41,28,11.0,,93,,,322,269,&lt; &lt; Красные крылья &gt; &gt;,2391.0,22.0,72.0,383.0,8.0,73.0,453.0,20.0
1998,NHL,BUF,BUF,EC,NE,4,F,82,37,28,17.0,,91,,,207,175,Буффало Сабрес,1561.0,16.0,49.0,363.0,7.0,55.0,399.0,6.0
1960,NHL,TOR,TOR,,,2,SF,70,39,19,12.0,,90,,,234,176,Торонтские кленовые листья,844.0,,,,,,,
1981,NHL,MTL,MTL,WA,AD,1,DSF,80,46,17,17.0,,109,,,360,223,Монреальские канадиенсы,1463.0,6.0,72.0,297.0,5.0,57.0,286.0,9.0
1942,NHL,TOR,TOR,,,3,SF,50,22,19,9.0,,53,,,198,159,Торонтские кленовые листья,421.0,,,,,,,
2011,NHL,NAS,NAS,WC,CE,2,СФК,82,48,26,,8.0,104,5.0,5.0,237,210,Нэшвилл Хищники,689.0,12.0,54.0,250.0,4.0,40.0,244.0,5.0
1993,NHL,OTT,OTT,EC,NE,7,,84,14,61,9.0,,37,,,201,397,Оттавские сенаторы,1710.0,22.0,63.0,435.0,14.0,110.0,412.0,9.0
1995,NHL,TBL,TBL,EC,AT,5,CQF,82,38,32,12.0,,88,,,238,248,Молния в заливе Тампа,1628.0,14.0,83.0,400.0,13.0,68.0,439.0,6.0
1950,NHL,CHI,CHI,,,6,,70,13,47,10.0,,36,,,171,280,Чикаго Черные Ястребы,615.0,,,,,,,
1925,NHL,PIP,PHQ,,,3,SF,36,19,16,1.0,,39,,,82,70,Питтсбургские пираты,264.0,,,,,,,
1988,NHL,WIN,PHO,CC,SM,5,,80,26,42,12.0,,64,,,300,355,Виннипег Джетс,1843.0,10.0,79.0,357.0,13.0,82.0,374.0,15.0
