name,id,award,year,lgid,note
Уолтер Буш,bushwa01h,Патрик,1972,NHL,
Джек Баттерфилд,butteja01h,Патрик,1984,NHL,
Кен Морроу,morroke01,Патрик,1995,NHL,
Вестон Адамс,adamswe01h,Патрик,1973,NHL,посмертно
Брюс Норрис,norribr01h,Патрик,1975,NHL,
Фрэнк Мэтерс,mathefr01,Патрик,1986,NHL,
Майк Рихтер,richtmi01,Патрик,2008,NHL,
Билл Торри,torrebi01h,Патрик,1982,NHL,
Джефф Зауэр,,Патрик,2010,NHL,
Брайан Маллен,mullebr01,Патрик,1994,NHL,
Лу Ламориелло,lamorlo01c,Патрик,1991,NHL,
Фред Шеро,sherofr01,Патрик,1979,NHL,
Терри Савчук,sawchte01,Патрик,1970,NHL,посмертно
Эд Снайдер,snideed01h,Патрик,1979,NHL,
Джон Хэллиган,,Патрик,2006,NHL,
Джек Райли,rileyja01,Патрик,1985,NHL,
Томми Иван,ivanto01c,Патрик,1974,NHL,
Фрэнк Бушер,bouchfr01,Патрик,1992,NHL,
Бобби Орр,orrbo01,Патрик,1978,NHL,
Хоби Бейкер,bakerho01h,Патрик,1986,NHL,посмертно
Питер Карманос,,Патрик,1997,NHL,
Рид Ларсон,larsore01,Патрик,2005,NHL,
Красный Беренсон,berenre01,Патрик,2005,NHL,
Боб Негеле,,Патрик,2007,NHL,
Майк Ильич,ilitcmi01h,Патрик,1990,NHL,
Уильям Вирц,wirtzwi01h,Патрик,1977,NHL,
Джон Дэвидсон,davidjo01,Патрик,2003,NHL,
Джерри Йорк,,Патрик,2009,NHL,
Чарльз М. Шульц,,Патрик,1980,NHL,
Билл Чедвик,chadwbi01h,Патрик,1974,NHL,
Крейг Патрик,patricr01,Патрик,1999,NHL,
Дэн Келли,kellyda01,Патрик,1988,NHL,
Херб Брукс,brookhe01c,Патрик,2001,NHL,
Уильям Татт,tuttwi01h,Патрик,1977,NHL,
Эдди Шор,shoreed01,Патрик,1969,NHL,
Боб Пулфорд,pulfobo01,Патрик,2010,NHL,
Уолтер Браун,brownwa02h,Патрик,1967,NHL,посмертно
Рон ДеГрегорио,,Патрик,2002,NHL,
Куни Вейланд,weilaco01,Патрик,1971,NHL,
&lt; &lt; Арбур &gt; &gt;,arboual01,Патрик,1991,NHL,
Мюррей Мёрдок,murdomu01,Патрик,1973,NHL,
Род Гилберт,gilbero01,Патрик,1990,NHL,
Джон Килпатрик,kilpajo01h,Патрик,1967,NHL,посмертно
Фил Хоузли,houslph01,Патрик,2007,NHL,
Джон Зиглер,ziegljo01h,Патрик,1983,NHL,
Брайан Литч,leetcbr01,Патрик,2006,NHL,
"Джон А. ""Снукс"" Келли",,Патрик,1971,NHL,
Джек Паркер,,Патрик,2009,NHL,
Боб Флеминг,,Патрик,1994,NHL,
Джек Адамс,adamsja01,Патрик,1965,NHL,
Арт Берглунд,,Патрик,1991,NHL,
Джон МакИннес,,Патрик,1985,NHL,
Гэри Беттман,,Патрик,2000,NHL,
Майк Эмрик,,Патрик,2003,NHL,
Эмиль Фрэнсис,francem01,Патрик,1981,NHL,
Гарри Синден,sindeha01c,Патрик,1998,NHL,
Чарльз Адамс,adamsch01h,Патрик,1966,NHL,посмертно
Рэймонд Бурк,bourqra01,Патрик,2002,NHL,
Джордж Гунд,,Патрик,1995,NHL,
