playerid,coachid,hofid,firstname,lastname,namenote,namegiven,namenick,height,weight,shootcatch,legendsid,ihdbid,hrefid,firstnhl,lastnhl,firstwha,lastwha,pos,birthyear,birthmon,birthday,birthcountry,birthstate,birthcity,deathyear,deathmon,deathday,deathcountry,deathstate,deathcity
hynesda01,,,Дэйв,Хайны,,Дэвид И.,,69.0,182.0,L,13051,6645.0,hynesda01,1973.0,1974.0,1976.0,1976.0,L,1951.0,4.0,17.0,США,МЭТ,Кембридж,,,,,,
willito01,,,Томми,Уильямс,,Томас Марк,Бомбардировщик/вандербильт,71.0,180.0,Р,14692,5742.0,willito01,1961.0,1975.0,1972.0,1973.0,C,1940.0,4.0,17.0,США,МН,Дулут,1992.0,2.0,8.0,,,
,,ruttaja01h,Джек,Руттан,,,,,,,P196217,,ruttaja01,,,,,D,1889.0,4.0,5.0,Канада,БМ,Виннипег,1973.0,1.0,7.0,,,
staplpa01,staplpa01c,,Пэт,Стейплтон,,Патрик Джеймс,Уайти,68.0,180.0,L,14432,5146.0,staplpa01,1961.0,1972.0,1973.0,1977.0,D,1940.0,7.0,4.0,Канада,ВО ВСТРЕЧЕ,Сарния,,,,,,
dufouma01,,,Марк,Дюфур,,Марк Кэрол,,72.0,175.0,Р,12501,6781.0,dufouma01,1963.0,1968.0,,,Р,1941.0,9.0,11.0,Канада,QC,Троис-Ривье,,,,,,
klinkro01,,,Роб,Klinkhammer,,,,75.0,206.0,,,,klinkro01,2010.0,2011.0,,,L,1986.0,8.0,12.0,Канада,AB,Летбридж,,,,,,
milleaa01,,,Аарон,Миллер,,Аарон Майкл,,75.0,218.0,Р,11116,3719.0,milleaa01,1993.0,2007.0,,,D,1971.0,8.0,11.0,США,Нью-Йорк,Буффало,,,,,,
lochebi01,,,Билл,Локхед,,Уильям Александр,Крыльцо,73.0,195.0,Р,13405,3173.0,lochebi01,1974.0,1979.0,,,F,1954.0,10.0,13.0,Канада,ВО ВСТРЕЧЕ,Леса,,,,,,
coleda01,,,Дантон,Коул,,Дантон Эдвард,,71.0,185.0,Р,10279,1047.0,coleda01,1989.0,1995.0,,,Р,1967.0,1.0,10.0,США,МИ,Понтиак,,,,,,
gilbegr01,gilbegr01c,,Грег,Гилберт,,Грегори Скотт,,73.0,191.0,L,10532,1902.0,gilbegr01,1981.0,1995.0,,,L,1962.0,1.0,22.0,Канада,ВО ВСТРЕЧЕ,Миссиссауга,,,,,,
conroal01,,,Al,Конрой,,Аллан Джон,,68.0,170.0,Р,10286,1077.0,conroal01,1991.0,1993.0,,,C,1966.0,1.0,17.0,Канада,AB,Калгари,,,,,,
karpova01,,,Валери,Карпов,,Валери,,70.0,176.0,L,14889,2649.0,karpova01,1994.0,1996.0,,,L,1971.0,8.0,5.0,Россия,,Челябинск,,,,,,
veillst01,,,Стефан,Вейлё,,,,73.0,193.0,L,20283,43803.0,veillst01,2002.0,2011.0,,,L,1981.0,11.0,16.0,Канада,QC,Сент-Боузвиль,,,,,,
rontypa01,,,Пол,Ронти,,Пол,Жуй,72.0,160.0,L,14172,4655.0,rontypa01,1947.0,1954.0,,,C,1928.0,6.0,12.0,Канада,ВО ВСТРЕЧЕ,Торонто,,,,,,
lehtije01,,,Джер,Лехтинен,,Джер,,72.0,192.0,Р,10930,3088.0,lehtije01,1995.0,2009.0,,,Р,1973.0,6.0,24.0,Германия,,Эспоо,,,,,,
zubaran01,,,Андрей,Зубарев,,,,73.0,210.0,,,,zubaran01,2010.0,2010.0,,,D,1987.0,3.0,3.0,Россия,,Уфа,,,,,,
hendrjo02,,,Иордания,Хендри,,,,72.0,196.0,L,22151,72357.0,hendrjo02,2007.0,2010.0,,,D,1984.0,2.0,23.0,Канада,SK,Нокомис,,,,,,
smithcl01,,smithcl01h,Клинт,Смит,,Клинтон Джеймс,Снаффи,68.0,165.0,L,P199104,13316.0,smithcl01,1936.0,1946.0,,,C,1913.0,12.0,12.0,Канада,SK,Assiniboia,2009.0,5.0,19.0,Канада,БК,Ванкувер
lalormi01,,,Майк,Лалор,,Майкл Джон,,72.0,200.0,L,10879,2925.0,lalormi01,1985.0,1996.0,,,D,1963.0,3.0,8.0,Канада,ВО ВСТРЕЧЕ,Форт Эри,,,,,,
deyed01,,,Эдгар,Дей,,Эдгар И.,Эд,69.0,170.0,,,1352.0,,,,,,L,1883.0,,,Канада,ВО ВСТРЕЧЕ,Оттава,1912.0,2.0,12.0,,,
globkro01,,,Роб,Глобке,,,,74.0,208.0,Р,20516,55618.0,globkro01,2005.0,2007.0,,,Р,1982.0,10.0,24.0,США,МИ,Фермингтон,,,,,,
adamsgr02,,,Грег,Адамс,,Грегори Дарен,Гас/Ястреб,75.0,195.0,L,10003,6237.0,adamsgr02,1984.0,2000.0,,,L,1963.0,8.0,15.0,Канада,БК,Нельсон,,,,,,
frycemi01,,,Мирославия,Фрайсер,,Мирослав Опава,Мирко,72.0,200.0,Р,12656,1792.0,frycemi01,1981.0,1988.0,,,Р,1959.0,9.0,27.0,Чешская Республика,,Опава,,,,,,
brashdo01,,,Дональд,Брасхеар,,Дональд,Хруст/хмяч,74.0,235.0,L,14952,550.0,brashdo01,1993.0,2009.0,,,L,1972.0,1.0,7.0,США,ВНУТРЕННИЕ,Бедфорд,,,,,,
ruhnkke01,,,Кент,Рунке,,Кент Стюарт,,73.0,190.0,Р,14196,12046.0,ruhnkke01,1975.0,1975.0,1976.0,1977.0,Р,1952.0,9.0,18.0,Канада,ВО ВСТРЕЧЕ,Торонто,,,,,,
,kinasra01c,,Рэй,Кинасевич,,Рэймонд,,,,,,12371.0,kinasra99c,,,,,,1933.0,9.0,12.0,Канада,AB,Озеро Смоки,,,,,,
mickaji01,,,Джиндрич,Мика,,,,,,,,,mickaji01,,,1978.0,1978.0,,,,,,,,,,,,,
balach01,,,Крис,Бала,,,,73.0,196.0,L,16630,35439.0,balach01,2001.0,2001.0,,,L,1978.0,9.0,24.0,США,VA,Александрия,,,,,,
murrach01,,,Крис,Мюррей,,Кристофер,,74.0,213.0,Р,15081,13787.0,murrach01,1994.0,1999.0,,,Р,1974.0,10.0,25.0,Канада,БК,Порт Харди,,,,,,
nabokdm01,,,Дмитрий,Набоков,,Дмитрий,,74.0,209.0,Р,10686,14465.0,nabokdm01,1997.0,1999.0,,,C,1977.0,1.0,4.0,Россия,,Новосибирск,,,,,,
hyvonha01,,,Ханнес,Гивонен,,,,74.0,200.0,Р,19395,40220.0,hyvonha01,2001.0,2002.0,,,Р,1975.0,8.0,29.0,Германия,,Оулу,,,,,,
hillge01,,,Джордж,Холм,,Джордж,,,,,,,,,,,,,,,,,,,,,,,,
falkju01,,,Джастин,Фальк,,,,77.0,215.0,L,,84684.0,falkju01,2009.0,2011.0,,,D,1988.0,10.0,11.0,Канада,БМ,Снежная щетка,,,,,,
aubinno01,,,Норма,Овин,,Норманд,,72.0,185.0,L,11882,129.0,aubinno01,1981.0,1982.0,,,C,1960.0,7.0,26.0,Канада,QC,Сент-Леонард,,,,,,
hawgogr01,,,Грег,Хоуд,,Грегори Уильям,,70.0,190.0,L,10622,2200.0,hawgogr01,1987.0,2001.0,,,D,1968.0,8.0,10.0,Канада,AB,Эдмонтон,,,,,,
gottsjo01,gottsjo01c,,Джонни,Сделай это.,,Джон Питер,,71.0,158.0,L,12756,1980.0,gottsjo01,1928.0,1944.0,,,L,1905.0,6.0,24.0,Россия,,Одесса,1986.0,5.0,15.0,США,Ил,Эльмхёрст
