year,round,series,tmidwinner,lgidwinner,tmidloser,lgidloser,w,l,t,goalswinner,goalsloser,note
1995,СФК,L,COL,NHL,CHI,NHL,4,2,0,21,14,
2003,CQF,D,TOR,NHL,OTT,NHL,4,3,0,14,11,
2010,CQF,D,TBL,NHL,PIT,NHL,4,3,0,22,14,
2010,CQF,G,DET,NHL,PHO,NHL,4,0,0,18,10,
1979,SF,Н,NYI,NHL,BUF,NHL,4,2,0,22,17,
2011,CQF,Н,NAS,NHL,DET,NHL,4,1,0,13,9,
1990,DSF,B,MTL,NHL,BUF,NHL,4,2,0,29,24,
1992,DF,I,MTL,NHL,BUF,NHL,4,0,0,16,12,
1924,F,,MTL,NHL,HAM,NHL,0,0,0,0,0,ДЭФ
1977,Предварительно,D,DET,NHL,ATF,NHL,2,0,0,8,5,
1992,DSF,E,STL,NHL,CHI,NHL,4,0,0,13,6,
1991,CF,М,PIT,NHL,BOS,NHL,4,0,0,19,7,
1936,QF,B,MTM,NHL,BOS,NHL,2,1,0,8,6,
1938,ПКФ,E,BOS,NHL,TOR,NHL,4,1,0,12,6,
1955,SF,A,MTL,NHL,NYR,NHL,4,1,0,24,9,
1988,DF,J,PHI,NHL,PIT,NHL,4,3,0,31,24,
2010,CF,М,BOS,NHL,TBL,NHL,4,3,0,21,21,
1975,Предварительно,,PHR,WHA,SDM,WHA,2,3,0,13,17,
2002,СФК,I,OTT,NHL,PHI,NHL,4,2,0,17,10,
1992,DF,L,LAK,NHL,VAN,NHL,4,2,0,26,25,
1939,ПКФ,E,NYR,NHL,TOR,NHL,4,2,0,14,11,
1999,CQF,A,PHI,NHL,BUF,NHL,4,1,0,14,8,
1973,DSF,,MFS,WHA,EDO,WHA,4,1,0,22,14,
2010,СФК,I,TBL,NHL,WAS,NHL,4,0,0,16,10,
1998,ПКФ,O,DAL,NHL,BUF,NHL,4,2,0,13,9,
2005,CQF,F,COL,NHL,DAL,NHL,4,1,0,18,15,
2001,CQF,A,MTL,NHL,BOS,NHL,4,2,0,20,18,
1999,CQF,B,PIT,NHL,WAS,NHL,4,1,0,17,8,
1971,QF,B,NYR,NHL,MTL,NHL,4,2,0,19,14,
2011,CQF,B,WAS,NHL,BOS,NHL,4,3,0,16,15,
1971,QF,D,STL,NHL,MNS,NHL,4,3,0,19,19,
2009,CQF,B,PHI,NHL,NJD,NHL,4,1,0,15,9,
1972,QF,A,MTL,NHL,BUF,NHL,4,2,0,21,16,
1974,РВК,,HOU,WHA,QUN,WHA,4,0,0,20,7,
1970,QF,C,CHI,NHL,PHI,NHL,4,0,0,20,8,
1983,DSF,G,EDM,NHL,WIN,NHL,3,0,0,18,7,
1973,ПКФ,G,PHI,NHL,BOS,NHL,4,2,0,15,13,
1990,DSF,A,BOS,NHL,HAR,NHL,4,2,0,24,17,
1974,SF,,HOU,WHA,SDM,WHA,4,0,0,17,5,
1996,СФК,I,NYR,NHL,NJD,NHL,4,1,0,10,5,
