statusid,status
1,"Yes, I can translate text from English to Russian. Please provide the text you would like me to translate."
2,Отклонено
3,Авария
4,Авари
5,Машина
6,Гайки и подшипники
7,Передача
8,Клац
9,Гидравлика
10,Электрический
11,+1 Лэп
12,+2 кругов
13,+3 кругов
15,+5 кругов
16,6 кругов
17,+7 Лет
18,+8 кругов
19,+9 кругов
20,Спун оф
21,Радиатор
22,Приостановка
23,Браки
24,Дифференциальный
25,Перегрев
28,Водительское сиденье
30,Круговой шатун
31,Увольнившийся
32,Текущий давление топлива
33,Передний крыло
34,Водонагрузка
35,Заправка
37,Трон
38,Управление
39,Технический
40,Электроника
41,Треснувшее крыло
43,Отчаяние
44,Нефтяной утечки
45,+11 кругов
46,Колесная обода
47,Прочный протечки воды
48,Топливо-питание
49,Траковое вало
50,+17 кругов
53,+13 кругов
54,отказался
55,+12 кругов
58,26 laps
61,Колесной болт
62,Не классифицировано
63,Пневматика
64,Обработка
65,Задняя крылья
66,Огонь
68,Физический
69,Система топлива
70,Нефтяная труба
71,Бензоколонка
73,Уронён
74,Топливо
75,Сбой питания
76,Вибрации
79,Двигало-передаточная система
80,Запуск
81,Не квалифицировался
82,Ушиб
83,Шасси
84,Батарея
85,Привязка
89,Безопасность
90,Не запущено
92,Неадекватный вес
93,Пояс безопасности
94,Нефтяной насос
96,Исключён
98,Введение
99,Дистрибьютор
100,Шофёр чувствует себя плохо
101,Турбо
103,Водяной насос
104,Смертельная авария
105,Спа́рт пу́сков
106,Топливо-наблюдательный шланг
107,Ушиб глаза
109,Аксель
111,+14 кругов
113,25 оборотов
114,18 Лапов
115,+22 круга
117,+24 круги
119,23 лэса
120,+21 кругов
121,Магнето
122,44 лапы
124,+19 кругов
125,+46 Лапсы
127,+20 кругов
128,42 Лапы
129,Неисправность двигателя
131,Блок питания
134,38 лап
135,Трубка тормозная
136,Сиденье
