playerid,last_name,first_name,season_id,conference,league_id,games_played,minutes,points,o_rebounds,d_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,fg_attempted,fg_made,ft_attempted,ft_made,three_attempted,three_made
mcguidi01,Макгуайр,Дик,1954,Восток,NBA,1,25,3.0,,,3.0,6.0,,,,,2.0,1.0,2.0,1.0,,
onealsh01,О'Нил,Шакилл,2002,Запад,NBA,1,26,19.0,3.0,10.0,13.0,1.0,2.0,1.0,3.0,3.0,14.0,8.0,5.0,3.0,0.0,0.0
heinsto01,Хейншон,Том,1956,Восток,NBA,1,23,12.0,,,7.0,0.0,,,,,17.0,5.0,2.0,2.0,,
pettibo01,Петтит,Боб,1955,Запад,NBA,1,31,20.0,,,24.0,7.0,,,,,17.0,7.0,7.0,6.0,,
cassesa01,Касселл,Сам,2003,Запад,NBA,1,13,4.0,0.0,1.0,1.0,7.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
ladnewe01,Ладнер,Венделл,1971,Запад,ABA,1,14,4.0,1.0,5.0,6.0,1.0,,,0.0,2.0,5.0,2.0,0.0,0.0,2.0,0.0
eakinji01,Эйкенс,Джим,1973,Восток,ABA,1,21,2.0,0.0,4.0,4.0,4.0,2.0,3.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0
briskjo01,Брискер,Джон,1971,Восток,ABA,1,21,8.0,3.0,2.0,5.0,3.0,,,1.0,1.0,10.0,3.0,3.0,2.0,1.0,0.0
laimbbi01,Лаимбеер,Билл,1983,Восток,NBA,1,17,13.0,,,5.0,0.0,,,,,8.0,6.0,1.0,1.0,,
rochare01,Роча,красный,1950,Восток,NBA,1,0,8.0,,,2.0,3.0,,,,,10.0,2.0,4.0,4.0,,
cummite01,Кэммингс,Терри,1984,Восток,NBA,1,16,17.0,,,7.0,0.0,,,,,17.0,7.0,4.0,3.0,,
wallara01,Уоллес,Рашид,2000,Запад,NBA,1,21,2.0,1.0,3.0,4.0,2.0,1.0,0.0,2.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0
combsgl01,Щетки,Глен,1970,Запад,ABA,1,17,2.0,0.0,1.0,1.0,2.0,,,0.0,2.0,7.0,1.0,2.0,0.0,2.0,0.0
kiddja01,Кидд,Джейсон,2007,Восток,NBA,1,25,2.0,0.0,4.0,4.0,10.0,4.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
barryri01,Барри,Рик,1973,Запад,NBA,1,19,8.0,,,4.0,3.0,,,,,6.0,3.0,2.0,2.0,,
