coachid,year,tmid,lgid,stint,notes,g,w,l,t,postg,postw,postl,postt
muldope01c,1914,PO1,PCHA,1,,18,9,9,0,,,,
patrile01c,1916,SPO,PCHA,1,,23,8,15,0,,,,
murrabr01c,1990,DET,NHL,1,,80,34,38,8,7,3,4,0
stuarbr02c,1912,OT1,NHA,1,,20,9,11,0,,,,
bowmasc01c,1986,BUF,NHL,1,,12,3,7,2,,,,
tippeda01c,2008,DAL,NHL,1,,82,36,35,11,,,,
hannajo01c,1974,CLC,WHA,1,,33,14,18,1,,,,
murraan01c,2007,STL,NHL,1,,82,33,36,13,,,,
ruelcl01c,1970,MTL,NHL,1,,23,11,8,4,,,,
wilsoro02c,2009,TOR,NHL,1,,82,30,38,14,,,,
wilsojo01c,1969,LAK,NHL,2,,52,9,34,9,,,,
macneal01c,1970,MTL,NHL,2,,55,31,15,9,20,12,8,0
patrile01c,1924,VIC,WCHL,1,,28,16,12,0,8,5,1,2
sonmogl01c,1981,MNS,NHL,1,,80,37,23,20,4,1,3,0
kaspest01c,1995,BOS,NHL,1,,82,40,31,11,5,1,4,0
stasivi01c,1970,PHI,NHL,1,,78,28,33,17,4,0,4,0
demerja01c,1976,IND,WHA,1,,81,36,37,8,9,5,4,0
dandule01c,1923,MTL,NHL,1,,24,13,11,0,6,6,0,0
nykolmi01c,1983,TOR,NHL,1,,80,26,45,9,,,,
croziro01c,1981,WAS,NHL,2,,1,0,1,0,,,,
pagepi01c,1997,ANA,NHL,1,,82,26,43,13,,,,
demerja01c,1995,MTL,NHL,1,,4,0,4,0,,,,
granato01c,2008,COL,NHL,1,,82,32,45,5,,,,
boondi01c,1913,MOW,NHA,1,,15,4,11,0,,,,
bouchfr01c,1939,NYR,NHL,1,,48,27,11,10,12,8,4,0
juliecl01c,2008,BOS,NHL,1,,82,53,19,10,11,7,4,0
irvindi01c,1931,TOR,NHL,2,,43,23,15,5,7,5,1,1
greenga01c,1980,WAS,NHL,1,,80,26,36,18,,,,
staplpa01c,1973,CHC,WHA,1,,78,38,35,5,18,8,10,0
conacch01c,1949,CHI,NHL,1,,70,22,38,10,,,,
muldope01c,1916,SEA,PCHA,1,,24,16,8,0,4,3,1,0
irvindi01c,1950,MTL,NHL,1,,70,25,30,15,11,5,6,0
hitchke01c,2003,PHI,NHL,1,,82,40,27,15,18,11,7,0
leyri01c,1989,HAR,NHL,1,,80,38,33,9,7,3,4,0
lemaija01c,1984,MTL,NHL,1,,80,41,27,12,12,6,6,0
keenami01c,1998,VAN,NHL,1,,45,15,24,6,,,,
brookhe01c,1987,MNS,NHL,1,,80,19,48,13,,,,
hitchke01c,1998,DAL,NHL,1,,82,51,19,12,23,16,7,0
eddolfr01c,1954,CHI,NHL,1,,70,13,40,17,,,,
muldope01c,1919,SEA,PCHA,1,,22,12,10,0,7,3,4,0
duttore01c,1939,NYA,NHL,1,,48,15,29,4,3,1,2,0
lemaija01c,2000,MIN,NHL,1,,82,25,44,13,,,,
adamsja01c,1931,DTF,NHL,1,,48,18,20,10,2,0,1,1
carpedo01c,1989,TOR,NHL,1,,80,38,38,4,5,1,4,0
trotzba01c,2009,NAS,NHL,1,,82,47,29,6,6,2,4,0
olczyed01c,2005,PIT,NHL,1,,31,8,17,6,,,,
gerared01c,1927,MTM,NHL,1,,44,24,14,6,9,5,3,1
odonoge01c,1922,TRS,NHL,1,,5,2,3,0,,,,
duttore01c,1936,NYA,NHL,1,,48,15,29,4,,,,
bowmasc01c,1999,DET,NHL,1,,82,48,24,10,9,5,4,0
watsoph01c,1955,NYR,NHL,1,,70,32,28,10,5,1,4,0
pulfobo01c,1986,CHI,NHL,1,,80,29,37,14,4,0,4,0
quennjo01c,2011,CHI,NHL,1,,82,45,26,11,6,2,4,0
mcleljo01c,1969,TOR,NHL,1,,76,29,34,13,,,,
murrabr01c,1988,WAS,NHL,1,,80,41,29,10,6,2,4,0
francem01c,1976,STL,NHL,1,,80,32,39,9,4,0,4,0
imlacpu01c,1963,TOR,NHL,1,,70,33,25,12,14,8,6,0
trotzba01c,2001,NAS,NHL,1,,82,28,41,13,,,,
kingda01c,2001,CBS,NHL,1,,82,22,52,8,,,,
quinnpa01c,1986,LAK,NHL,1,,42,18,20,4,,,,
kishla01c,1982,HAR,NHL,1,,49,12,32,5,,,,
babcomi01c,2008,DET,NHL,1,,82,51,21,10,23,15,8,0
nolante01c,1996,BUF,NHL,1,,82,40,30,12,12,5,7,0
laviope01c,2003,CAR,NHL,2,,52,20,26,6,,,,
payneda01c,2010,STL,NHL,1,,82,38,33,11,,,,
trotzba01c,1998,NAS,NHL,1,,82,28,47,7,,,,
lemaija01c,2001,MIN,NHL,1,,82,26,44,12,,,,
irvindi01c,1933,TOR,NHL,1,,48,26,13,9,5,2,3,0
angotlo01c,1983,PIT,NHL,1,,80,16,58,6,,,,
