year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1989,NHL,CHI,20,10,10,0,69,65,532,6,18,109,1,22,109,5
1949,NHL,TOR,7,3,4,0,11,10,117,,,,,,,
1998,NHL,DAL,23,16,7,0,64,44,279,2,13,107,0,9,95,3
1928,NHL,NYA,2,0,1,1,0,1,18,,,,,,,
1995,NHL,PHI,12,6,6,0,37,28,290,0,15,71,3,7,63,0
2006,NHL,SJS,11,6,5,0,25,27,165,4,4,57,2,8,47,0
1983,NHL,STL,11,6,5,0,30,31,241,4,8,42,3,8,49,3
2005,NHL,CAL,7,3,4,0,16,17,129,4,6,43,1,6,44,2
2002,NHL,VAN,14,7,7,0,34,47,239,2,13,73,1,18,76,2
1913,NHA,MOC,2,1,1,0,2,6,,,,,,,,
1947,NHL,NYR,6,2,4,0,12,17,43,,,,,,,
1990,NHL,LAK,12,6,6,0,46,37,306,2,12,53,1,8,56,1
1983,NHL,BOS,3,0,3,0,2,10,77,0,1,13,0,2,12,0
1982,NHL,CHI,13,7,6,0,49,51,269,4,12,60,2,17,62,2
1976,WHA,SDM,7,3,4,0,19,28,,,,,,,,
1986,NHL,WAS,7,3,4,0,19,19,199,0,2,36,0,4,30,0
1979,NHL,STL,3,0,3,0,4,12,35,0,1,9,0,3,8,0
1945,NHL,MTL,9,8,1,0,45,20,91,,,,,,,
1943,NHL,DET,5,1,4,0,8,17,39,,,,,,,
1951,NHL,TOR,4,0,4,0,3,13,90,,,,,,,
1964,NHL,DET,7,3,4,0,19,23,124,,,,,,,
1930,NHL,MTL,10,6,4,0,24,21,105,,,,,,,
1992,NHL,WAS,6,2,4,0,22,23,134,2,9,26,1,2,30,1
1955,NHL,DET,10,5,5,0,23,28,117,,,,,,,
1999,NHL,PHO,5,1,4,0,10,17,75,0,3,19,0,7,27,0
1995,NHL,STL,13,7,6,0,37,37,214,2,11,69,2,15,75,4
1977,WHA,BIR,5,1,4,0,12,29,,,,,,,,
1972,WHA,LAS,6,2,4,0,16,23,,,4,25,0,9,20,1
1940,NHL,MTL,3,1,2,0,7,8,34,,,,,,,
2003,NHL,STL,5,1,4,0,9,12,68,0,1,22,1,3,31,2
1974,NHL,BOS,3,1,2,0,15,12,47,0,2,14,0,4,14,1
1984,NHL,DET,3,0,3,0,8,23,101,0,2,16,0,7,16,0
1982,NHL,VAN,4,1,3,0,14,17,136,0,2,20,0,4,18,0
1914,NHA,MOW,2,1,1,0,1,4,,,,,,,,
1974,NHL,NYI,17,9,8,0,47,50,377,0,15,77,3,9,72,2
2006,NHL,NJD,11,5,6,0,30,29,126,4,10,50,2,8,46,0
1972,NHL,STL,5,1,4,0,9,22,51,,2,,1,4,,0
1991,NHL,STL,6,2,4,0,19,23,166,2,7,36,1,9,42,1
1964,NHL,CHI,14,7,7,0,35,37,258,,,,,,,
1934,NHL,MTL,2,0,1,1,5,6,38,,,,,,,
1935,NHL,NYA,5,2,3,0,10,11,29,,,,,,,
1990,NHL,MNS,23,14,9,0,81,75,674,4,35,152,3,24,136,4
1997,NHL,DAL,17,10,7,0,36,32,300,4,10,100,2,11,93,1
1966,NHL,TOR,12,8,4,0,35,30,150,,,,,,,
1986,NHL,MTL,17,10,7,0,67,54,433,6,16,60,2,11,63,3
1942,NHL,BOS,9,4,5,0,23,33,96,,,,,,,
2003,NHL,DET,12,6,6,0,24,20,135,0,5,52,1,2,50,1
1924,WCHL,SAS,2,0,1,1,4,6,,,,,,,,
1986,NHL,WIN,10,4,6,0,31,32,289,2,9,42,1,8,47,2
1937,NHL,MTL,3,1,2,0,8,11,24,,,,,,,
1975,WHA,HOU,17,8,9,0,56,64,,,,,,,,
1976,WHA,EDO,5,1,4,0,16,20,,,,,,,,
1990,NHL,CHI,6,2,4,0,16,23,278,4,6,31,0,15,54,0
1993,NHL,BUF,7,3,4,0,14,14,157,0,4,38,0,6,32,0
1977,NHL,PHI,12,7,5,0,37,35,245,2,9,30,0,7,37,0
1972,NHL,CHI,16,10,6,0,60,53,155,,14,,1,9,,3
2008,NHL,STL,4,0,4,0,5,11,63,2,1,24,0,4,18,0
1976,NHL,PHI,10,4,6,0,27,32,199,4,7,28,1,11,43,1
2008,NHL,DET,23,15,8,0,76,48,226,2,23,97,1,19,71,1
1995,NHL,WIN,6,2,4,0,10,20,119,2,0,28,2,8,37,0
1978,NHL,PIT,7,2,5,0,16,25,84,0,2,28,1,4,19,0
1983,NHL,CHI,5,2,3,0,14,18,134,0,3,23,1,4,23,1
1995,NHL,NYR,11,5,6,0,34,38,136,2,12,55,3,8,57,1
1968,NHL,LAK,11,4,7,0,28,41,162,,6,,1,7,,1
1999,NHL,SJS,12,5,7,0,27,37,164,2,10,63,2,13,61,2
1978,NHL,PHI,8,3,5,0,23,37,173,2,6,31,5,8,49,0
1968,NHL,BOS,10,6,4,0,40,20,226,,11,,1,7,,5
1991,NHL,HAR,7,3,4,0,18,21,147,0,6,40,1,8,41,2
2005,NHL,NAS,5,1,4,0,10,17,88,0,6,32,0,9,37,1
2001,NHL,PHO,5,1,4,0,7,13,83,0,1,25,0,2,27,0
1994,NHL,STL,7,3,4,0,27,27,210,2,6,45,6,11,43,1
1982,NHL,EDM,16,11,5,0,80,50,372,0,14,72,2,18,74,10
1962,NHL,CHI,6,2,4,0,19,25,104,,,,,,,
2007,NHL,OTT,4,0,4,0,5,16,85,0,1,13,0,6,23,0
1930,NHL,CHI,9,5,3,1,15,14,98,,,,,,,
2007,NHL,AND,6,2,4,0,13,20,118,2,5,24,0,10,38,0
1973,WHA,NEW,7,3,4,0,23,24,,,,,,,,
1981,NHL,MNS,4,1,3,0,14,14,145,2,5,25,1,3,18,0
1985,NHL,VAN,3,0,3,0,5,17,55,2,2,13,1,4,11,0
2001,NHL,CHI,5,1,4,0,5,13,73,2,1,17,1,5,20,0
1961,NHL,MTL,6,2,4,0,13,19,83,,,,,,,
2001,NHL,SJS,12,7,5,0,34,32,124,0,5,48,0,5,48,0
1980,NHL,BOS,3,0,3,0,13,20,90,0,2,8,1,5,19,3
1976,NHL,MTL,14,12,2,0,54,23,170,2,10,55,0,5,46,2
1941,NHL,NYR,6,2,4,0,12,13,60,,,,,,,
1923,NHL,OTS,2,0,2,0,2,5,28,,,,,,,
1982,NHL,QUE,4,1,3,0,8,11,117,0,2,12,0,3,24,1
2011,NHL,PHO,16,9,7,0,37,35,224,0,7,50,1,6,65,0
1987,NHL,BUF,6,2,4,0,22,28,286,2,11,36,,6,42,0
1989,NHL,CAL,6,2,4,0,24,29,149,6,2,33,1,10,46,2
1962,NHL,TOR,10,8,2,0,31,16,93,,,,,,,
1980,NHL,CHI,3,0,3,0,9,15,43,2,1,11,0,3,11,1
1921,WCHL,EDE,2,0,1,1,2,3,,,,,,,,
1953,NHL,BOS,4,0,4,0,4,16,54,,,,,,,
1967,NHL,STL,18,8,10,0,42,50,323,,10,,3,12,,5
1938,NHL,TOR,10,5,5,0,22,20,86,,,,,,,
1976,WHA,WIJ,20,11,9,0,80,73,,,,,,,,
1951,NHL,DET,8,8,0,0,24,5,118,,,,,,,
1974,NHL,NYR,3,1,2,0,13,10,113,2,3,20,1,3,16,1
1986,NHL,STL,6,2,4,0,12,15,182,2,5,30,0,2,28,0
1972,WHA,WIJ,14,9,5,0,55,49,,,11,48,2,6,33,0
2006,NHL,ATL,4,0,4,0,6,17,115,2,1,17,0,5,24,0
1993,NHL,BOS,13,6,7,0,39,42,168,2,10,54,0,11,51,1
1987,NHL,NYI,6,2,4,0,18,23,250,0,5,38,,10,43,3
1971,NHL,STL,11,4,7,0,27,47,232,,8,,1,14,,0
1978,NHL,MTL,16,12,4,0,63,41,178,0,15,51,1,7,39,0
2003,NHL,SJS,17,10,7,0,38,32,216,0,11,81,3,6,72,1
1998,NHL,SJS,6,2,4,0,17,19,102,0,7,41,1,7,42,2
2011,NHL,BOS,7,3,4,0,15,16,52,0,2,23,0,3,19,0
2001,NHL,MTL,12,6,6,0,32,39,172,2,9,48,2,11,48,0
1922,PCHA,VAM,2,1,1,0,5,3,,,,,,,,
1975,NHL,LAK,9,5,4,0,17,27,151,2,5,41,2,11,43,0
2008,NHL,SJS,6,2,4,0,10,18,85,0,4,24,0,5,23,0
1979,NHL,PIT,5,2,3,0,14,21,125,4,5,18,2,4,18,0
1989,NHL,WIN,7,3,4,0,22,24,110,0,7,36,2,6,33,0
1989,NHL,STL,12,7,5,0,42,44,432,2,16,62,3,12,70,1
2009,NHL,BUF,6,2,4,0,15,16,114,2,0,19,0,6,22,0
1989,NHL,BOS,21,13,8,0,62,59,421,12,15,93,1,9,88,3
1987,NHL,PHI,7,3,4,0,25,31,286,0,5,41,,8,47,0
1978,WHA,QUN,4,0,4,0,12,30,,,,,,,,
