coachid,award,year,lgid,note
hartce01c,Second Team All-Star,1936,NHL,
burnspa01c,Jack Adams,1992,NHL,
kelleja01c,Baldwin,1972,WHA,
rossar01c,Second Team All-Star,1942,NHL,
keenami01c,Jack Adams,1984,NHL,
berenre01c,Jack Adams,1980,NHL,
krommbo01c,Jack Adams,1977,NHL,
irvindi01c,Second Team All-Star,1934,NHL,
harribi01c,Baldwin,1973,WHA,
bowmasc01c,Jack Adams,1995,NHL,
irvindi01c,Second Team All-Star,1932,NHL,
gottsjo01c,Second Team All-Star,1945,NHL,
lemaija01c,Jack Adams,1993,NHL,
bouchfr01c,Second Team All-Star,1939,NHL,
barbebi01c,Jack Adams,2000,NHL,
adamsja01c,First Team All-Star,1936,NHL,
juliecl01c,Jack Adams,2008,NHL,
martija02c,Jack Adams,1998,NHL,
weilaco01c,First Team All-Star,1940,NHL,
irvindi01c,Second Team All-Star,1931,NHL,
krommbo01c,Schmertz,1975,WHA,
rossar01c,Second Team All-Star,1937,NHL,
cherrdo01c,Jack Adams,1975,NHL,
patrile01c,First Team All-Star,1935,NHL,
wattto01c,Jack Adams,1981,NHL,
quinnpa01c,Jack Adams,1979,NHL,
hitchke01c,Jack Adams,2011,NHL,
irvindi01c,Second Team All-Star,1933,NHL,
tessior01c,Jack Adams,1982,NHL,
ruffli01c,Jack Adams,2005,NHL,
brophjo01c,Schmertz,1978,WHA,
quennjo01c,Jack Adams,1999,NHL,
suttebr01c,Jack Adams,1990,NHL,
patrile01c,First Team All-Star,1934,NHL,
tortojo01c,Jack Adams,2003,NHL,
pulfobo01c,Jack Adams,1974,NHL,
tippeda01c,Jack Adams,2009,NHL,
nolante01c,Jack Adams,1996,NHL,
patrile01c,First Team All-Star,1937,NHL,
adamsja01c,First Team All-Star,1942,NHL,
patrile01c,First Team All-Star,1930,NHL,
adamsja01c,Second Team All-Star,1944,NHL,
irvindi01c,First Team All-Star,1944,NHL,
burnspa01c,Jack Adams,1988,NHL,
arboual01c,Jack Adams,1978,NHL,
huculsa01c,Schmertz,1974,WHA,
vigneal01c,Jack Adams,2006,NHL,
bylsmda01c,Jack Adams,2010,NHL,
boudrbr01c,Jack Adams,2007,NHL,
demerja01c,Jack Adams,1987,NHL,
lemaija01c,Jack Adams,2002,NHL,
quinnpa01c,Jack Adams,1991,NHL,
dineebi01c,Schmertz,1977,WHA,
dineebi01c,Schmertz,1976,WHA,
irvindi01c,Second Team All-Star,1940,NHL,
duttore01c,Second Team All-Star,1938,NHL,
crawfma01c,Jack Adams,1994,NHL,
patrile01c,First Team All-Star,1933,NHL,
patrile01c,First Team All-Star,1931,NHL,
thomppa01c,Second Team All-Star,1941,NHL,
bouchfr01c,First Team All-Star,1941,NHL,
murdobo01c,Jack Adams,1989,NHL,
sathegl01c,Jack Adams,1985,NHL,
demerja01c,Jack Adams,1986,NHL,
murrabr01c,Jack Adams,1983,NHL,
