year,lgid,tmid,oppid,w,l,t,otl
1997,NHL,CAR,EDM,2,0,0.0,
2002,NHL,EDM,MTL,1,1,0.0,0
1967,NHL,PHI,BOS,1,3,0.0,
1999,NHL,STL,SJS,4,0,1.0,0
1973,NHL,CHI,ATF,2,1,2.0,
1980,NHL,COR,LAK,0,3,1.0,
1978,NHL,CHI,PHI,3,1,0.0,
1999,NHL,NJD,DAL,0,1,0.0,1
2003,NHL,CHI,BUF,0,1,0.0,0
1996,NHL,VAN,BOS,0,2,0.0,
1994,NHL,PHI,MTL,3,0,1.0,
1971,NHL,DET,CHI,0,5,1.0,
1986,NHL,STL,MTL,1,2,0.0,
1976,NHL,COR,WAS,1,3,0.0,
1984,NHL,STL,TOR,4,3,1.0,
1973,NHL,BUF,NYR,2,2,1.0,
1995,NHL,BUF,WAS,1,2,1.0,
1972,NHL,TOR,CHI,1,2,2.0,
1981,NHL,BUF,BOS,2,5,1.0,
1999,NHL,CAL,NYI,2,0,0.0,0
1942,NHL,CHI,DET,2,4,4.0,
2009,NHL,DET,PIT,1,0,,1
1995,NHL,NJD,DET,1,1,0.0,
1928,NHL,MTM,DTC,1,2,1.0,
2005,NHL,OTT,LAK,1,0,,0
2003,NHL,CAR,NYI,2,2,0.0,0
2001,NHL,COL,ATL,1,1,0.0,0
2005,NHL,CAL,COL,5,3,,0
1988,NHL,EDM,BUF,2,0,1.0,
2010,NHL,CAL,BUF,1,0,,0
1978,WHA,NEW,QUN,11,4,1.0,
1988,NHL,DET,CAL,0,3,0.0,
1984,NHL,PHI,WIN,0,3,0.0,
2003,NHL,BOS,FLO,0,2,2.0,0
1975,WHA,PHR,DOT,5,1,0.0,
1996,NHL,TBL,COL,1,1,0.0,
1988,NHL,MTL,NYI,1,2,0.0,
2009,NHL,NAS,PIT,1,0,,0
1999,NHL,WAS,FLO,3,2,0.0,0
1996,NHL,OTT,CAL,0,0,2.0,
2003,NHL,STL,ATL,0,0,1.0,0
1982,NHL,WAS,CAL,2,1,0.0,
2005,NHL,CAR,STL,1,0,,0
1997,NHL,BOS,PHO,2,0,0.0,
1972,NHL,ATF,MTL,0,3,2.0,
2003,NHL,NJD,TOR,1,1,2.0,0
1974,WHA,CHC,IND,3,2,1.0,
1999,NHL,PHI,MTL,1,0,2.0,1
2000,NHL,TBL,VAN,0,1,0.0,0
2005,NHL,WAS,PHO,1,0,,0
1999,NHL,CAR,NYI,3,1,0.0,0
2001,NHL,DET,DAL,2,2,0.0,0
2009,NHL,PIT,NAS,0,0,,1
2005,NHL,BOS,BUF,1,7,,0
2010,NHL,AND,PHI,2,0,,0
2006,NHL,EDM,STL,1,2,,1
1979,NHL,EDM,WAS,3,1,0.0,
1992,NHL,HAR,TOR,0,2,0.0,
2003,NHL,CAL,CHI,2,2,0.0,0
2005,NHL,CAR,PHO,0,1,,0
2007,NHL,LAK,CHI,2,1,,1
2005,NHL,DAL,ATL,0,1,,0
2010,NHL,TBL,EDM,0,0,,1
1999,NHL,COL,ATL,1,1,0.0,0
1976,NHL,VAN,CHI,4,1,1.0,
1984,NHL,BOS,WAS,1,2,0.0,
2010,NHL,COL,NYI,0,1,,1
2003,NHL,BUF,SJS,1,0,0.0,0
2006,NHL,NAS,NJD,1,0,,0
1982,NHL,NYI,CHI,1,1,1.0,
1985,NHL,PHI,CHI,2,0,1.0,
1988,NHL,MNS,EDM,0,1,2.0,
2009,NHL,AND,SJS,1,5,,0
1941,NHL,CHI,MTL,4,3,1.0,
1987,NHL,BUF,QUE,5,2,1.0,
2006,NHL,COL,WAS,0,1,,0
2010,NHL,CBS,DET,2,3,,1
1987,NHL,MNS,PIT,1,2,0.0,
2002,NHL,ANA,CHI,4,0,0.0,0
2002,NHL,ANA,COL,3,0,0.0,1
1947,NHL,BOS,CHI,3,7,2.0,
1927,NHL,MTM,NYR,2,1,1.0,
2010,NHL,NYR,TOR,3,0,,1
1913,NHA,TOO,MOW,1,3,0.0,
2008,NHL,ATL,CAL,1,0,,0
1949,NHL,NYR,CHI,9,4,1.0,
2007,NHL,ATL,WAS,4,4,,0
1911,NHA,MOW,QU1,3,3,0.0,
1998,NHL,LAK,WAS,2,0,0.0,
1940,NHL,DET,NYR,3,2,3.0,
2008,NHL,STL,PHO,4,0,,0
1990,NHL,CAL,QUE,1,1,1.0,
1991,NHL,HAR,PIT,2,0,1.0,
1995,NHL,STL,MTL,1,0,1.0,
2007,NHL,NJD,PIT,4,4,,0
1992,NHL,PHI,MTL,1,2,1.0,
2011,NHL,TBL,CAL,1,0,,0
2006,NHL,WAS,BUF,1,3,,0
2002,NHL,EDM,TBL,0,1,0.0,0
2007,NHL,NAS,TOR,0,1,,0
1974,WHA,PHR,WIJ,3,3,0.0,
2010,NHL,NYR,DET,0,1,,0
1976,WHA,BIR,PHR,4,2,0.0,
1975,WHA,EDO,TOT,4,4,2.0,
2007,NHL,BOS,OTT,4,3,,1
1995,NHL,DET,OTT,1,1,0.0,
1985,NHL,MTL,QUE,2,6,0.0,
1976,NHL,CLE,NYI,0,3,1.0,
1996,NHL,NJD,SJS,2,0,0.0,
2006,NHL,DAL,PHO,7,1,,0
1997,NHL,MTL,ANA,1,1,0.0,
