rental_id,rental_date,inventory_id,customer_id,return_date,staff_id,last_update
908,2005-05-30T10:38:37,4427,85,2005-06-03T09:56:37,1,2006-02-15T20:30:53
1031,2005-05-31T04:23:01,917,416,2005-06-06T08:35:01,1,2006-02-15T20:30:53
1673,2005-06-16T10:40:17,907,534,2005-06-18T16:13:17,1,2006-02-15T20:30:53
2202,2005-06-18T02:09:24,815,297,2005-06-26T07:17:24,2,2006-02-15T20:30:53
2611,2005-06-19T07:18:17,3682,301,2005-06-21T10:19:17,1,2006-02-15T20:30:53
3144,2005-06-20T20:14:20,1300,114,2005-06-30T01:46:20,1,2006-02-15T20:30:53
4934,2005-07-08T22:18:42,1744,517,2005-07-10T20:44:42,2,2006-02-15T20:30:53
5614,2005 - 2007 - 10T05:16:56,133,371,2005-07-13T02:03:56,1,2006-02-15T20:30:53
7107,2005-07-27T05:22:04,1883,104,2005-08-02-T06:38:04,1,2006-02-15T20:30:53
7736,2005-07-28T05:12:04,4466,205,2005/08-05T02:28:04,2,2006-02-15T20:30:53
7892,2005-07-28T10:46:58,2717,397,2005-07-30T16:03:58,1,2006-02-15T20:30:53
8401,2005-07-29T06:25:08,3121,232,2005-08-01T06:49:08,1,2006-02-15T20:30:53
8516,2005-07-29T10:00:03,981,337,2005-08-02-T09:34:03,1,2006-02-15T20:30:53
9464,2005-07-30T22:31:31,3904,534,2005/08-07T01:10:31,2,2006-02-15T20:30:53
10543,2005-08-01T12:36:09,624,29,2005/08-07T07:42:09,1,2006-02-15T20:30:53
10892,2005-08-02T01:12:06,3243,109,2005/08-09T23:53:06,1,2006-02-15T20:30:53
13319,2005/08-19T19:35:13,2496,438,2005-08-27T17:59:13,1,2006-02-15T20:30:53
13329,2005/08-19T19:56:55,3136,373,2005-08-25T01:19:55,2,2006-02-15T20:30:53
13735,2005-08-20T10:31:01,1813,35,2005-08-26T05:00:01,1,2006-02-15T20:30:53
15488,2005-08-23T02:06:01,4535,385,2005-08-29T21:35:01,2,2006-02-15T20:30:53
15993,2005-08-23T20:28:44,1638,12,2005-08-27T16:23:44,2,2006-02-15T20:30:53
16007,2005-08-23T21:02:43,3236,126,2005/08-30T23:37:43,2,2006-02-15T20:30:53
