payment_id,customer_id,staff_id,rental_id,amount,payment_date,last_update
687,26,1,1440,5.99,2005-06-15T18:53:14,2006-02-15T21:12:34
698,26,1,4431,6.99,2005-07-07T22:39:02,2006-02-15T21:12:34
3151,117,2,3218,2.99,2005-06-21T01:38:09,2006-02-15T21:13:08
3790,140,1,9094,4.99,2005-07-30T08:35:10,2006-02-15T21:13:22
3957,146,1,3131,4.99,2005-06-20T19:08:00,2006-02-15T21:13:26
4106,150,2,14454,2.99,2005-08-21T12:35:49,2006-02-15T21:13:30
4160,153,1,2945,5.99,2005 - 2006 - 20T05:49:27,2006-02-15T21:13:31
4758,175,2,13997,6.99,2005-08-20T19:51:28,2006-02-15T21:13:45
4816,177,1,11376,5.99,2005-08-02T18:16:00,2006-02-15T21:13:47
5155,190,1,3386,4.99,2005-06-21T14:21:06,2006-02-15T21:13:56
5231,193,1,9079,2.99,2005-07-30T08:02:00,2006-02-15T21:13:58
5312,196,1,13799,8.99,2005/08-20T12:36:42,2006-02-15T21:14:01
6307,234,2,10968,7.99,2005-08-02-T04:03:13,2006-02-15T21:14:35
7073,262,2,2850,8.99,2005-06-19T23:06:28,2006-02-15T21:15:00
7147,264,1,12518,4.99,2005/08-18T13:41:32,2006-02-15T21:15:03
7873,291,2,747,4.99,2005-05-29T09:26:34,2006-02-15T21:15:32
7922,293,2,445,0.99,2005-05-27T18:42:57,2006-02-15T21:15:33
8028,296,1,5589,4.99,2005-07-10T04:22:58,2006-02-15T21:15:38
8274,305,2,4260,4.99,2005-07-07T14:22:45,2006-02-15T21:15:47
8299,306,2,4484,5.99,2005-07-08T01:05:57,2006-02-15T21:15:48
8707,322,2,6033,2.99,2005-07-11T02:59:34,2006-02-15T21:16:05
8885,329,2,4076,4.99,2005-07-07T04:52:15,2006-02-15T21:16:13
8894,329,2,9219,0.99,2005-07-30T13:15:21,2006-02-15T21:16:13
9057,335,1,9125,5.99,2005-07-30T09:43:39,2006-02-15T21:16:20
9918,367,1,939,0.99,2005-05-30T14:49:34,2006-02-15T21:17:03
9955,368,1,6154,5.99,2005-07-11T09:32:19,2006-02-15T21:17:04
10320,381,2,6451,4.99,2005-07-12T00:52:19,2006-02-15T21:17:22
10917,404,1,4495,2.99,2005-07-08T01:43:46,2006-02-15T21:17:54
11947,443,2,1068,4.99,2005-05-31T09:32:15,2006-02-15T21:18:52
11953,443,1,7317,2.99,2005-07-27T13:19:41,2006-02-15T21:18:52
12317,456,2,6023,0.99,2005-07-11T02:15:57,2006-02-15T21:19:13
13412,498,1,3098,0.99,2005-06-20T16:37:01,2006-02-15T21:20:17
14112,524,2,14046,4.99,2005-08-20T21:53:21,2006-02-15T21:21:01
14874,555,2,4875,2.99,2005-07-08T19:24:17,2006-02-15T21:21:52
14886,555,2,12182,2.99,2005-08-18T01:30:19,2006-02-15T21:21:53
15603,582,1,11667,5.99,2005/08-17T05:46:55,2006-02-15T21:22:42
