film_id,category_id,last_update
323,15,2006-02-15T04:07:09
778,8,2006-02-15T04:07:09
161,12,2006-02-15T04:07:09
192,9,2006-02-15T04:07:09
885,11,2006-02-15T04:07:09
662,7,2006-02-15T04:07:09
591,10,2006-02-15T04:07:09
581,12,2006-02-15T04:07:09
107,7,2006-02-15T04:07:09
487,4,2006-02-15T04:07:09
537,4,2006-02-15T04:07:09
542,1,2006-02-15T04:07:09
646,10,2006-02-15T04:07:09
681,15,2006-02-15T04:07:09
873,3,2006-02-15T04:07:09
526,16,2006-02-15T04:07:09
334,11,2006-02-15T04:07:09
809,15,2006-02-15T04:07:09
761,3,2006-02-15T04:07:09
385,5,2006-02-15T04:07:09
694,4,2006-02-15T04:07:09
612,15,2006-02-15T04:07:09
491,3,2006-02-15T04:07:09
237,15,2006-02-15T04:07:09
75,16,2006-02-15T04:07:09
688,3,2006-02-15T04:07:09
616,6,2006-02-15T04:07:09
397,14,2006-02-15T04:07:09
665,11,2006-02-15T04:07:09
621,8,2006-02-15T04:07:09
151,14,2006-02-15T04:07:09
322,15,2006-02-15T04:07:09
290,9,2006-02-15T04:07:09
589,6,2006-02-15T04:07:09
164,6,2006-02-15T04:07:09
617,8,2006-02-15T04:07:09
362,10,2006-02-15T04:07:09
523,4,2006-02-15T04:07:09
556,10,2006-02-15T04:07:09
372,15,2006-02-15T04:07:09
193,2,2006-02-15T04:07:09
543,16,2006-02-15T04:07:09
802,1,2006-02-15T04:07:09
153,14,2006-02-15T04:07:09
125,16,2006-02-15T04:07:09
288,16,2006-02-15T04:07:09
982,1,2006-02-15T04:07:09
730,13,2006-02-15T04:07:09
663,4,2006-02-15T04:07:09
