playerid,year,tmid,lgid,pos,gp,g,a,pts,pim
loughcl01,1924,VIC,WCHL,D,4,1,0,1,4
mackami01,1917,VML,PCHA,C,5,5,5,10,12
duncaar01,1922,VAM,PCHA,D,4,2,2,4,0
brandru01,1922,EDE,WCHL,L,1,0,0,0,0
patrile01,1912,VA1,PCHA,D,3,4,0,4,4
headlfe01,1924,MTL,NHL,D,4,0,0,0,0
nichosi01,1919,SEA,PCHA,L,4,0,0,0,0
foystfr01,1918,SEA,PCHA,L,5,9,1,10,0
rileyji01,1919,SEA,PCHA,L,5,0,1,1,0
skinnal01,1923,VAM,PCHA,R,2,0,0,0,0
moynesp01,1917,VML,PCHA,R,4,0,0,0,9
lehmahu01,1923,VAM,PCHA,G,2,0,0,0,0
dennecy01,1922,OTS,NHL,L,6,1,1,2,8
oatmaed01,1915,PO1,PCHA,C,5,3,1,4,16
lehmahu01,1914,VML,PCHA,G,3,0,0,0,0
poulisk01,1915,MOC,NHA,C,5,1,1,2,6
davidal01,1913,TBS,NHA,R,2,1,0,1,7
campbea01,1922,EDE,WCHL,L,2,0,0,0,0
arbouty01,1922,EDE,WCHL,L,2,0,0,0,0
bellbi01,1923,MTL,NHL,F,3,0,0,0,0
smailwa01,1912,VA1,PCHA,L,1,0,0,0,0
duncaar01,1923,VAM,PCHA,D,2,0,0,0,6
haldeha01,1924,VIC,WCHL,R,4,2,1,3,8
benedcl01,1925,MTM,NHL,G,4,0,0,0,0
benedcl01,1922,OTS,NHL,G,6,0,0,0,2
griffsi01,1917,VML,PCHA,D,5,1,0,1,9
lavioja01,1915,MOC,NHA,L,2,0,0,0,6
duncaar01,1920,VML,PCHA,D,5,2,1,3,3
matzjo01,1924,MTL,NHL,F,4,0,0,0,2
brucemo01,1919,OTS,NHL,F,5,0,0,0,0
dyeba01,1921,TRS,NHL,R,5,9,1,10,3
haldeha01,1925,VIC,WCHL,D,4,1,0,1,8
smithto01,1912,QU1,NHA,L,3,4,0,4,0
wilsocu01,1923,CAT,WCHL,L,2,0,0,0,2
mcdonra01,1918,SEA,PCHA,L,5,1,1,2,3
mackami01,1921,VML,PCHA,L,5,1,0,1,6
foystfr01,1924,VIC,WCHL,C,4,1,0,1,0
trappbo01,1922,EDE,WCHL,D,2,0,0,0,2
parkeer01,1922,VAM,PCHA,R,4,0,2,2,2
adamsbi01,1920,VML,PCHA,R,4,0,0,0,0
cleghsp01,1920,OTS,NHL,D,5,1,2,3,0
rothssa01,1925,MTM,NHL,F,4,0,0,0,0
bensobo01,1923,CAT,WCHL,D,2,0,0,0,0
rowebo01,1912,VA1,PCHA,D,3,2,0,2,9
morribe01,1919,SEA,PCHA,C,5,0,2,2,0
pitredi01,1915,MOC,NHA,R,5,4,1,5,15
walkeja01,1918,SEA,PCHA,C,5,3,0,3,9
nighbfr01,1920,OTS,NHL,C,5,0,1,1,0
moranpa01,1912,QU1,NHA,G,3,0,0,0,0
lalonne01,1918,MTL,NHL,C,5,6,0,6,3
mummeha01,1917,TOA,NHL,D,5,0,6,6,0
darraja01,1920,OTS,NHL,R/L,5,5,0,5,12
tobinch01,1919,SEA,PCHA,R,5,0,0,0,0
morribe01,1923,CAT,WCHL,C,2,0,0,0,2
marshja02,1913,TBS,NHA,D,3,1,0,1,2
cleghsp01,1924,MTL,NHL,D,4,0,0,0,2
lalonne01,1915,MOC,NHA,C,4,3,2,5,28
gerared01,1914,OT1,NHA,L,3,1,2,3,14
keatsdu01,1922,EDE,WCHL,C,2,0,0,0,4
mackami01,1920,VML,PCHA,C,5,0,1,1,0
merriho01,1914,OT1,NHA,D,3,0,0,0,0
walkeja01,1913,TBS,NHA,L,3,1,0,1,3
holmeha01,1917,TOA,NHL,G,5,0,0,0,0
foystfr01,1919,SEA,PCHA,C,5,6,1,7,7
joliaau01,1924,MTL,NHL,L,4,2,0,2,16
skinnal01,1921,VML,PCHA,R,5,0,1,1,12
vezinge01,1923,MTL,NHL,G,4,0,0,0,0
foystfr01,1913,TBS,NHA,C,3,2,0,2,3
smailwa01,1913,VA1,PCHA,L,3,1,0,1,2
cookll01,1923,VAM,PCHA,D,2,0,0,0,4
stanlba01,1914,VML,PCHA,R,3,6,0,6,0
mackami01,1914,VML,PCHA,L,3,4,2,6,6
rowebo01,1916,SEA,PCHA,D,4,0,2,2,0
oatmaed01,1923,CAT,WCHL,C,2,0,1,1,0
taylocy01,1917,VML,PCHA,L,5,9,0,9,15
crawfru01,1923,CAT,WCHL,L,2,0,0,0,0
camerha01,1917,TOA,NHL,D,5,3,1,4,0
denneco01,1921,TRS,NHL,L/C,5,3,2,5,2
patrile01,1913,VA1,PCHA,D,3,2,0,2,5
parkeer01,1921,VML,PCHA,R,5,0,3,3,0
oatmaed01,1921,VML,PCHA,R,5,1,1,2,14
morenho01,1923,MTL,NHL,C,4,4,2,6,4
stackte01,1921,TRS,NHL,D,4,0,0,0,0
rowebo01,1918,SEA,PCHA,D,5,1,0,1,6
bouchbi01,1924,MTL,NHL,R,4,1,1,2,13
cleghod01,1924,MTL,NHL,R/C,4,0,0,0,0
skinnal01,1920,VML,PCHA,R,3,4,0,4,14
gerared01,1921,TRS,NHL,D,1,0,0,0,0
wilsocu01,1916,SEA,PCHA,R,4,1,2,3,0
hartgi01,1924,VIC,WCHL,R,4,2,1,3,0
fredrfr01,1925,VIC,WCHL,C,4,1,1,2,10
noblere01,1925,MTM,NHL,D,4,0,0,0,4
dundeto01,1912,VA1,PCHA,C,3,3,0,3,8
holmeha01,1919,SEA,PCHA,G,5,0,0,0,0
joliaau01,1923,MTL,NHL,L,4,3,1,4,6
mcdonra01,1917,VML,PCHA,L,3,2,1,3,9
holwaal01,1925,MTM,NHL,D,2,0,0,0,0
mattejo01,1923,VAM,PCHA,D,2,1,0,1,2
holmeha01,1925,VIC,WCHL,G,4,0,0,0,0
tobinch01,1921,VML,PCHA,R,5,0,0,0,0
rowebo01,1913,VA1,PCHA,D,3,0,0,0,3
denneco01,1922,VAM,PCHA,C,3,0,0,0,0
cotchch01,1922,VAM,PCHA,L,2,0,0,0,0
skinnal01,1922,VAM,PCHA,R,3,1,1,2,6
nighbfr01,1919,OTS,NHL,C,5,6,1,7,2
hitchli01,1922,OTS,NHL,D,5,1,0,1,4
clancki01,1922,OTS,NHL,D,6,1,0,1,4
dundeto01,1915,PO1,PCHA,C,5,1,0,1,9
carpeed01,1916,SEA,PCHA,D,4,0,0,0,3
kerral02,1913,VA1,PCHA,R,3,1,0,1,3
benedcl01,1914,OT1,NHA,G,3,0,0,0,0
halljo01,1912,QU1,NHA,D,3,0,0,0,7
rileyji01,1916,SEA,PCHA,L,4,0,0,0,3
lehmahu01,1920,VML,PCHA,G,5,0,0,0,0
brucemo01,1920,OTS,NHL,F,5,0,0,0,0
winklha01,1922,EDE,WCHL,G,2,0,0,0,0
anderer02,1923,CAT,WCHL,R,2,0,0,0,2
