year,lgid,tmid,hw,hl,ht,hotl,rw,rl,rt,rotl,sepw,sepl,sept,sepol,octw,octl,octt,octol,novw,novl,novt,novol,decw,decl,dect,decol,janw,janl,jant,janol,febw,febl,febt,febol,marw,marl,mart,marol,aprw,aprl,aprt,aprol
2010,NHL,NYR,20,17,,4,24,16,,1,,,,,5,4,,1,9,7,,0,8,3,,1,7.0,6.0,,1,4.0,7.0,,1,8,5,,1,3,1,,0
1990,NHL,NYI,15,19,6.0,,10,26,4.0,,,,,,3,9,0,,6,5,2,,5,5,3,,4.0,9.0,1.0,,3.0,8.0,3.0,,4,9,1,,,,,
1963,NHL,TOR,22,7,6.0,,11,18,6.0,,,,,,5,3,0,,4,4,4,,9,3,2,,4.0,7.0,1.0,,5.0,5.0,3.0,,6,3,2,,,,,
1982,NHL,QUE,23,10,7.0,,11,24,5.0,,,,,,6,4,1,,6,6,1,,5,4,4,,7.0,7.0,0.0,,4.0,5.0,4.0,,4,8,2,,2,0,0,
1984,NHL,VAN,15,21,4.0,,10,25,5.0,,,,,,1,10,0,,3,9,2,,4,6,3,,5.0,7.0,2.0,,5.0,5.0,1.0,,7,7,0,,0,2,1,
1976,NHL,MTL,33,1,6.0,,27,7,6.0,,,,,,9,3,1,,10,1,2,,8,1,3,,10.0,2.0,2.0,,10.0,0.0,2.0,,11,1,2,,2,0,0,
1913,NHA,MOW,4,6,0.0,,3,7,0.0,,,,,,,,,,,,,,2,0,0,,0.0,9.0,0.0,,4.0,4.0,0.0,,1,0,0,,,,,
1987,NHL,VAN,15,20,5.0,,10,26,4.0,,,,,,2,6,1,,6,7,1,,4,8,3,,4.0,9.0,2.0,,5.0,8.0,0.0,,3,8,2,,1,0,0,
2007,NHL,PHO,17,20,,4,21,17,,3,,,,,4,6,,0,7,6,,0,7,6,,1,9.0,4.0,,1,6.0,5.0,,3,4,9,,1,1,1,,1
2005,NHL,MIN,23,16,,2,15,20,,6,,,,,6,4,,2,4,6,,1,8,7,,1,7.0,7.0,,0,4.0,2.0,,1,5,7,,2,4,3,,1
1950,NHL,DET,25,3,7.0,,19,10,6.0,,,,,,4,2,1,,6,3,3,,11,2,2,,7.0,4.0,3.0,,6.0,1.0,4.0,,10,1,0,,,,,
1985,NHL,WIN,18,19,3.0,,8,28,4.0,,,,,,5,4,1,,3,10,1,,4,10,2,,4.0,7.0,1.0,,3.0,8.0,1.0,,7,7,0,,0,1,1,
1979,NHL,DET,14,21,5.0,,12,22,6.0,,,,,,2,5,2,,4,5,2,,5,7,3,,8.0,6.0,0.0,,3.0,7.0,2.0,,4,10,2,,0,3,0,
1956,NHL,CHI,12,15,8.0,,4,24,7.0,,,,,,1,6,1,,3,8,2,,4,9,1,,2.0,8.0,4.0,,4.0,3.0,4.0,,2,5,3,,,,,
1928,NHL,CHI,3,13,6.0,,4,16,2.0,,,,,,,,,,0,5,1,,4,5,0,,0.0,10.0,3.0,,1.0,7.0,2.0,,2,2,2,,,,,
1975,NHL,LAK,22,13,5.0,,16,20,4.0,,,,,,8,4,0,,5,6,2,,7,6,0,,8.0,6.0,1.0,,3.0,5.0,4.0,,6,5,2,,1,1,0,
1989,NHL,VAN,13,16,11.0,,12,25,3.0,,,,,,7,5,1,,2,7,3,,3,7,4,,2.0,11.0,1.0,,6.0,6.0,2.0,,5,5,3,,,,,
2007,NHL,PIT,26,10,,5,21,17,,3,,,,,6,4,,1,5,7,,1,9,5,,0,8.0,3.0,,2,8.0,3.0,,3,10,4,,1,1,1,,0
2010,NHL,SJS,25,11,,5,23,14,,4,,,,,5,3,,1,6,5,,3,9,5,,1,5.0,6.0,,1,11.0,2.0,,0,9,2,,3,3,2,,0
1919,PCHA,VML,6,5,0.0,,5,6,0.0,,,,,,,,,,,,,,1,1,0,,4.0,5.0,0.0,,5.0,3.0,0.0,,1,2,0,,,,,
1943,NHL,DET,18,5,2.0,,8,13,4.0,,,,,,1,0,0,,4,3,2,,2,7,2,,8.0,2.0,1.0,,5.0,3.0,1.0,,6,3,0,,,,,
2002,NHL,MTL,16,16,5.0,4,14,19,3.0,5,,,,,3,3,3,0,7,6,1,1,6,5,1,2,5.0,6.0,2.0,2,3.0,7.0,0.0,2,5,7,1,2,1,1,0,0
1911,NHA,MOW,4,4,0.0,,5,5,0.0,,,,,,,,,,,,,,1,0,0,,4.0,3.0,0.0,,3.0,5.0,0.0,,1,1,0,,,,,
2005,NHL,PHO,19,18,,4,19,21,,1,,,,,5,8,,1,8,4,,1,7,6,,0,6.0,7.0,,1,1.0,3.0,,1,8,6,,0,3,5,,1
1976,NHL,BOS,27,7,6.0,,22,16,2.0,,,,,,9,3,0,,9,2,1,,5,6,2,,7.0,5.0,2.0,,5.0,5.0,2.0,,12,2,1,,2,0,0,
1932,NHL,OTS,8,11,4.0,,3,16,6.0,,,,,,,,,,3,2,0,,4,6,3,,1.0,10.0,2.0,,1.0,4.0,3.0,,2,5,2,,,,,
1997,NHL,CAL,18,17,6.0,,8,24,9.0,,,,,,3,8,2,,2,7,5,,6,8,1,,3.0,6.0,3.0,,2.0,1.0,1.0,,8,6,1,,2,5,2,
1922,PCHA,SEA,8,6,0.0,,7,9,0.0,,,,,,,,,,5,1,0,,1,4,0,,6.0,4.0,0.0,,3.0,5.0,0.0,,0,1,0,,,,,
1951,NHL,TOR,17,10,8.0,,12,15,8.0,,,,,,3,3,2,,6,3,4,,6,6,2,,7.0,3.0,3.0,,3.0,5.0,3.0,,4,5,2,,,,,
2005,NHL,NAS,32,8,,1,17,17,,7,,,,,8,1,,1,7,3,,2,9,5,,0,7.0,5.0,,3,3.0,4.0,,0,8,5,,2,7,2,,0
1933,NHL,DET,15,5,4.0,,9,9,6.0,,,,,,,,,,6,3,0,,3,5,2,,5.0,2.0,5.0,,7.0,1.0,3.0,,3,3,0,,,,,
1994,NHL,QUE,19,1,4.0,,11,12,1.0,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,,8.0,4.0,2.0,,10,4,1,,6,5,2,
1977,WHA,CZE,0,0,0.0,,1,6,1.0,,,,,,,,,,,,,,1,6,1,,,,,,,,,,,,,,,,,
1974,NHL,KCS,12,20,8.0,,3,34,3.0,,,,,,0,7,1,,4,10,0,,1,9,3,,5.0,6.0,2.0,,4.0,8.0,2.0,,0,12,3,,1,2,0,
2008,NHL,AND,20,18,,3,22,15,,4,,,,,6,5,,1,8,3,,2,5,7,,1,6.0,7.0,,1,6.0,6.0,,0,8,4,,1,3,1,,1
1983,NHL,WAS,26,11,3.0,,22,16,2.0,,,,,,5,7,0,,6,6,1,,7,6,1,,9.0,2.0,2.0,,9.0,4.0,0.0,,11,2,1,,1,0,0,
1977,NHL,DET,22,11,7.0,,10,23,7.0,,,,,,3,3,2,,6,6,1,,2,9,2,,6.0,4.0,2.0,,6.0,6.0,2.0,,7,3,4,,2,3,1,
1983,NHL,BUF,25,9,6.0,,23,16,1.0,,,,,,6,4,2,,8,4,1,,8,5,1,,11.0,0.0,2.0,,7.0,7.0,0.0,,7,5,1,,1,0,0,
2008,NHL,DET,27,9,,5,24,12,,5,,,,,7,2,,2,8,2,,2,9,3,,1,7.0,4.0,,2,10.0,3.0,,1,8,4,,1,2,3,,1
2001,NHL,EDM,23,14,4.0,0,15,14,8.0,4,,,,,9,4,1,0,7,3,2,1,5,6,3,1,4.0,7.0,3.0,0,1.0,4.0,1.0,0,9,2,2,1,3,2,0,1
