season,daynum,wteam,wscore,lteam,lscore,wloc,numot,wfgm,wfga,wfgm3,wfga3,wftm,wfta,wor,wdr,wast,wto,wstl,wblk,wpf,lfgm,lfga,lfgm3,lfga3,lftm,lfta,lor,ldr,last,lto,lstl,lblk,lpf
2007,79,1326,73,1321,41,H,0,25,53,9,23,14,15,11,24,17,12,9,8,5,16,49,7,25,2,2,8,17,8,17,10,2,11
2013,66,1151,70,1154,65,A,0,24,59,9,20,13,14,16,19,11,11,8,1,14,23,53,8,22,11,15,13,19,19,14,9,3,14
2013,124,1431,76,1374,63,A,0,29,49,9,19,9,17,10,20,24,12,8,4,25,24,55,1,6,14,23,17,14,9,9,5,0,14
2014,116,1217,72,1165,47,H,0,23,45,8,18,18,21,10,24,17,10,8,3,13,18,46,5,14,6,10,6,12,8,11,4,5,17
2004,68,1245,80,1325,71,H,0,25,64,13,30,17,22,11,22,18,9,9,5,16,23,54,9,22,16,19,11,31,15,19,3,3,22
2011,29,1428,76,1201,63,H,0,25,67,4,18,22,26,20,28,7,13,8,3,22,19,49,6,21,19,30,9,24,9,19,5,12,23
2006,81,1192,64,1383,55,H,0,23,51,5,17,13,24,12,25,9,14,4,10,18,19,55,1,10,16,26,16,21,5,12,7,2,21
2014,57,1326,78,1345,69,A,0,29,65,4,22,16,24,10,27,21,6,7,6,17,28,67,3,14,10,16,15,31,14,12,2,6,19
2010,65,1452,86,1353,52,H,0,35,71,8,24,8,11,19,20,18,7,14,4,14,20,47,3,10,9,15,10,18,9,20,3,5,14
2007,102,1137,48,1221,45,H,0,17,43,4,12,10,16,8,21,12,15,5,1,14,14,41,5,15,12,15,4,20,7,16,8,3,20
2010,82,1434,86,1260,67,A,0,31,60,11,21,13,15,15,28,19,11,6,2,14,24,56,9,25,10,15,7,16,14,9,3,2,14
2006,58,1426,83,1347,66,N,0,28,52,7,15,20,33,10,31,24,16,13,4,13,25,70,10,27,6,15,18,22,12,20,8,6,21
2007,64,1212,63,1105,52,A,0,26,59,2,11,9,14,19,31,14,21,7,3,22,19,56,4,14,10,17,11,18,11,18,8,8,19
2013,75,1344,69,1437,66,H,0,19,56,2,14,29,48,19,22,7,13,12,3,23,22,49,5,16,17,25,9,26,9,25,2,5,32
2005,82,1324,81,1381,60,H,0,29,56,8,23,15,17,15,23,19,17,6,8,12,22,65,8,25,8,11,20,13,11,16,12,0,18
2012,60,1392,79,1351,62,H,0,28,57,7,21,16,23,13,22,15,7,7,1,14,21,49,12,27,8,11,8,20,14,14,3,4,19
2011,97,1310,77,1265,60,H,0,29,59,13,25,6,11,7,31,23,12,11,1,15,20,53,8,27,12,16,5,25,15,13,6,3,15
2011,103,1270,81,1146,67,H,0,27,52,5,15,22,28,10,29,13,20,8,4,24,19,51,6,22,23,33,10,18,6,18,10,0,23
2014,107,1374,68,1222,64,H,0,23,51,4,13,18,26,14,27,16,10,4,5,17,22,56,8,23,12,20,13,16,14,8,7,5,19
2014,73,1142,62,1169,52,H,0,19,47,9,20,15,23,10,22,15,7,6,5,17,15,43,0,8,22,27,8,22,7,10,4,2,18
2008,96,1311,74,1270,71,A,1,23,57,15,29,13,14,12,25,15,18,8,2,18,26,61,9,23,10,17,14,23,17,15,6,10,16
2009,68,1183,83,1369,63,A,0,30,62,5,11,18,22,12,29,17,9,6,0,15,24,58,6,19,9,14,8,21,15,12,7,7,16
2008,40,1260,76,1296,72,H,1,23,62,7,21,23,29,19,21,16,14,7,7,16,28,61,6,15,10,15,14,24,13,17,6,9,22
2013,66,1399,77,1183,73,A,0,25,48,12,22,15,22,10,17,16,12,6,7,19,26,47,5,14,16,27,11,17,18,13,5,1,17
2009,68,1328,61,1243,53,A,0,24,58,3,9,10,21,17,25,11,16,10,2,19,18,55,8,25,9,17,19,25,10,20,7,3,23
2012,51,1233,83,1456,65,A,0,32,62,15,24,4,5,7,29,21,13,8,5,8,25,61,10,22,5,7,9,23,15,16,5,2,11
2004,89,1240,78,1183,73,H,0,26,53,8,19,18,24,12,26,16,15,6,4,22,27,57,3,13,16,23,9,18,8,11,8,1,22
2012,26,1294,77,1380,57,N,0,31,60,5,14,10,15,13,29,10,16,4,2,15,20,57,3,18,14,16,10,19,11,15,8,3,19
2012,23,1326,107,1440,74,H,0,46,68,5,10,10,17,9,38,30,19,9,4,19,25,65,9,30,15,24,6,18,11,16,9,1,18
2004,89,1163,63,1130,58,A,0,22,51,6,14,13,26,13,25,12,16,4,5,18,22,60,4,16,10,12,12,22,15,10,5,4,22
2011,107,1110,65,1119,59,A,0,25,54,8,22,7,13,8,26,16,9,5,2,11,23,52,5,24,8,13,6,25,10,9,5,1,17
2007,82,1326,82,1234,63,H,0,31,53,6,20,14,17,9,18,17,11,4,2,13,27,56,7,20,2,6,12,15,14,13,3,0,17
2009,93,1174,73,1180,70,H,1,22,51,7,14,22,30,7,25,9,11,2,6,18,26,70,7,16,11,19,23,29,13,11,4,4,25
2008,69,1123,82,1141,71,H,0,24,44,1,5,33,51,11,24,8,13,7,2,19,27,60,8,21,9,17,13,19,12,14,5,3,34
2013,23,1447,48,1343,42,H,1,16,44,1,8,15,21,7,32,7,21,9,5,15,17,57,2,14,6,13,12,26,7,18,14,3,16
2013,5,1414,78,1305,64,H,0,26,66,3,15,23,36,21,31,13,8,5,9,21,19,55,2,16,24,33,11,26,6,11,4,4,23
2011,96,1161,59,1461,56,A,0,24,55,4,19,7,13,12,29,3,11,3,4,15,22,57,5,15,7,13,10,24,8,8,5,1,18
2014,63,1273,73,1190,63,H,0,20,46,8,21,25,31,9,27,12,13,4,6,17,23,58,4,17,13,21,14,21,13,10,6,3,24
2005,96,1172,78,1422,69,A,0,27,58,10,22,14,21,9,27,11,17,9,2,20,23,60,8,22,15,22,13,26,12,22,7,1,21
2006,19,1429,72,1331,67,A,1,24,51,4,18,20,26,10,21,11,18,7,1,22,25,60,4,21,13,18,16,18,12,18,6,4,19
2011,130,1246,75,1279,66,N,0,28,59,4,16,15,23,11,32,13,11,4,4,17,20,59,8,30,18,25,12,24,7,10,6,2,20
2008,95,1193,66,1264,61,A,0,20,44,10,20,16,21,14,23,13,17,5,1,17,20,47,10,24,11,16,5,15,10,8,8,3,20
2011,93,1132,73,1296,70,A,1,26,63,4,13,17,29,9,32,9,9,9,6,25,23,63,4,22,20,34,16,34,5,13,5,3,21
2014,30,1314,79,1277,65,A,0,29,65,2,11,19,27,16,33,14,13,7,5,20,23,64,7,24,12,18,13,25,12,14,6,7,19
2005,18,1308,65,1444,61,N,1,22,51,4,18,17,23,6,30,11,24,5,5,13,26,75,6,28,3,5,21,25,13,21,9,3,26
2003,37,1148,70,1216,66,N,0,19,43,7,16,25,31,12,18,7,19,1,1,19,24,47,5,11,13,16,7,16,11,13,6,1,22
2011,30,1190,73,1173,68,A,0,23,48,9,22,18,33,8,31,15,15,6,4,18,22,66,13,38,11,16,15,26,17,12,5,1,23
2009,44,1267,73,1325,68,H,0,27,45,9,17,10,13,5,13,19,11,4,3,15,28,45,6,13,6,8,4,13,20,15,8,1,11
2006,91,1265,86,1259,78,H,0,26,44,11,20,23,36,4,26,18,16,6,3,19,26,63,8,16,18,24,15,19,9,13,9,0,26
2007,26,1319,104,1290,77,H,0,31,53,11,17,31,42,10,21,26,12,10,3,27,27,50,4,8,19,31,9,19,18,18,2,4,26
2005,38,1232,70,1434,68,H,1,23,60,3,12,21,28,12,24,7,13,7,7,14,23,64,5,20,17,18,17,29,16,19,7,2,22
2004,69,1436,71,1263,62,A,0,27,55,7,15,10,14,10,24,10,10,1,3,16,21,43,7,20,13,21,2,22,9,11,0,2,20
2006,110,1180,56,1436,42,H,0,20,52,4,17,12,20,11,31,11,15,11,7,13,16,60,2,14,8,9,12,27,7,14,9,3,18
2003,65,1234,68,1321,63,A,0,26,53,5,14,11,21,13,23,15,10,4,6,18,24,56,6,25,9,14,10,20,19,7,4,5,20
2013,7,1307,86,1172,81,H,0,22,54,4,17,38,44,14,31,15,11,4,3,19,27,64,12,30,15,20,9,19,18,8,4,2,27
2013,106,1270,65,1368,58,H,0,23,51,4,9,15,19,10,28,10,14,8,5,16,19,50,8,20,12,17,5,21,8,13,5,4,17
2014,110,1437,57,1385,54,H,0,20,51,9,22,8,16,11,30,10,15,4,5,18,19,59,3,11,13,19,12,21,8,9,5,4,17
2013,22,1316,71,1126,65,A,0,26,51,8,18,11,15,10,31,20,17,6,2,20,21,57,4,16,19,29,12,18,11,9,11,2,16
2006,89,1286,69,1340,68,H,0,22,52,8,19,17,28,10,20,12,8,4,3,16,27,57,7,17,7,15,12,26,16,12,4,2,23
2009,108,1309,73,1117,63,H,0,24,57,3,13,22,25,12,27,13,12,7,0,16,26,62,2,13,9,15,11,24,9,12,4,2,20
2009,65,1456,73,1423,59,A,0,27,47,5,12,14,16,5,19,14,12,5,5,12,21,55,11,31,6,8,16,16,15,18,6,1,18
2013,34,1264,75,1373,55,H,0,27,59,9,25,12,14,7,28,18,10,10,5,23,18,51,6,19,13,25,10,26,9,16,5,1,15
2012,89,1411,73,1105,61,A,0,23,43,4,9,23,35,9,34,9,21,10,5,18,21,65,8,29,11,23,18,17,13,16,8,6,25
2010,47,1144,73,1239,57,H,0,20,45,4,11,29,38,9,18,12,14,13,2,16,24,56,2,15,7,11,17,19,15,24,10,6,30
2013,59,1110,63,1271,49,H,0,21,50,6,18,15,19,13,23,12,10,3,4,18,15,41,3,8,16,26,8,18,6,11,6,4,19
2012,61,1140,88,1360,52,H,0,29,59,7,20,23,30,12,40,22,13,10,5,20,14,61,5,27,19,26,11,22,6,12,5,1,23
2007,11,1139,77,1408,37,A,0,30,56,12,27,5,6,10,28,20,8,7,2,17,15,45,1,10,6,11,7,17,13,13,5,2,8
2014,114,1275,65,1103,61,H,0,20,53,7,19,18,21,7,28,12,10,11,3,16,21,56,7,20,12,18,10,28,14,11,3,7,18
