season,slot,strongseed,weakseed
2010,R2X3,R1X3,R1X6
2005,R1X8,X08,X09
1992,R5YZ,R4Y1,R4Z1
1997,R3X2,R2X2,R2X3
1985,R4Y1,R3Y1,R3Y2
2012,R1W7,W07,W10
1996,R2Z1,R1Z1,R1Z8
1994,R5YZ,R4Y1,R4Z1
1999,R1Y5,Y05,Y12
1995,R2X1,R1X1,R1X8
1991,R1Y2,Y02,Y15
1992,R2X3,R1X3,R1X6
1989,R2Z4,R1Z4,R1Z5
2002,R1W4,W04,W13
2010,R1Z1,Z01,Z16
2007,R2Y1,R1Y1,R1Y8
2011,R2X1,R1X1,R1X8
1991,R3Y2,R2Y2,R2Y3
2005,R1X5,X05,X12
2007,R2Z4,R1Z4,R1Z5
2008,R5YZ,R4Y1,R4Z1
1991,R1X7,X07,X10
2000,R1Y6,Y06,Y11
1989,R1Y5,Y05,Y12
1993,R1Y8,Y08,Y09
2011,R1Y6,Y06,Y11
1985,R2Z2,R1Z2,R1Z7
2009,R1Z3,Z03,Z14
1995,R1X7,X07,X10
1999,R1W3,W03,W14
2003,R2Z1,R1Z1,R1Z8
2007,R1Y2,Y02,Y15
1991,R2X1,R1X1,R1X8
1991,R1Y5,Y05,Y12
1989,R1Y8,Y08,Y09
2000,R2X1,R1X1,R1X8
1996,R1X4,X04,X13
2002,R1W5,W05,W12
2010,R1W3,W03,W14
2000,R1W2,W02,W15
2002,R2Y3,R1Y3,R1Y6
1997,R1W2,W02,W15
2003,R2Z4,R1Z4,R1Z5
1986,R3Y1,R2Y1,R2Y4
2003,R2W2,R1W2,R1W7
1989,R4X1,R3X1,R3X2
1986,R3W2,R2W2,R2W3
1997,R3Z1,R2Z1,R2Z4
1994,R2X3,R1X3,R1X6
1998,R1Y5,Y05,Y12
1989,R1W6,W06,W11
2013,R3X2,R2X2,R2X3
1990,R1Z4,Z04,Z13
1991,R1W1,W01,W16
1989,R2W4,R1W4,R1W5
2010,R1X8,X08,X09
1986,R1Y4,Y04,Y13
2001,R3Z1,R2Z1,R2Z4
1995,R5WX,R4W1,R4X1
2002,R1Y5,Y05,Y12
1990,R4Y1,R3Y1,R3Y2
1987,R1Z7,Z07,Z10
2013,R1Y1,Y01,Y16
1986,R1Z2,Z02,Z15
2003,R1Y2,Y02,Y15
1997,R1Y5,Y05,Y12
1992,R1W4,W04,W13
1988,R1Y1,Y01,Y16
1993,R1W8,W08,W09
1998,R1Y8,Y08,Y09
2012,R1Y5,Y05,Y12
1999,R1X8,X08,X09
2003,R1X7,X07,X10
2003,R1Y1,Y01,Y16
2012,R1Z8,Z08,Z09
1986,R1W5,W05,W12
