season,seed,team
2004,W11,1102
2006,Z13,1102
2009,X13,1103
2011,Z15,1103
2013,X12,1103
2003,Y10,1104
2004,X08,1104
2005,X05,1104
2006,X10,1104
2012,X09,1104
2005,Z16a,1105
2004,W16,1106
2009,Y16a,1106
2011,W16a,1106
2006,Z16,1107
2007,X13,1107
2013,Y15,1107
2014,X16a,1107
2008,W15,1110
2009,W14,1110
2014,Z15,1110
2003,Z01,1112
2004,W09,1112
2005,X03,1112
2006,Y08,1112
2007,Y08,1112
2008,Z10,1112
2009,Y12,1112
2011,X05,1112
2013,Z06,1112
2014,Z01,1112
2003,Z10,1113
2009,X06,1113
2014,Y10,1113
2011,Y16a,1114
2010,X16a,1115
2006,X08,1116
2007,W12,1116
2008,W09,1116
2003,W10,1120
2003,W13,1122
2008,Y15,1122
2008,Z11,1124
2010,X03,1124
2012,Y03,1124
2014,Z06,1124
2006,X15,1125
2007,W15,1125
2008,Z15,1125
