type,code,fullname
Воспроизведение,DF,Проигранные финалы по разделу NHL
Воспроизведение,AVSF,Проиграл полуфинал Кубка АВКО
Воспроизведение,НКАФ,Проигранные финалы NHA
Воспроизведение,CQF,"Пропавшая конференция NHL, четверть финала"
Воспроизведение,WSF,Потерянные полуфиналы WCHL
Круглая,СКФ,Кубок Стэнли Полуфинал
Круглая,РГ,Западный плейофф
Отдел,ХО,Отдел по делам женщин Канады
Зал,КК,Конференция &quot; Кэмпбелл &quot;
Отдел,Ред.,Восточный отдел
Отдел,WD,Западный отдел
Отдел,WW,WHA West Division
Круглая,Предварительно,Предварительные данные
Воспроизведение,АВФ,Проиграл финал Кубка AVCO
Отдел,PT,Отдел Патрика
Отдел,SM,Отдел Смайта
Зал,ЕС,Восточная конференция
Зал,WA,Конференция в Уэльсе
Воспроизведение,AVQF,Проиграл четвертьфинала Кубка АВКО
Воспроизведение,СКФ,Проиграл полуфинал Кубка Стэнли
Воспроизведение,ПК,Выиграл Кубок Стэнли
Круглая,ПКФ,Финал Кубка Стэнли
Отдел,Нет,Северо-восточный отдел
Круглая,DSF,Полуфинал
Воспроизведение,ПФ,Потерянные финалы PCHA
Отдел,КА,Канадский отдел
Воспроизведение,ЛСС,Вон Кубок Стэнли / Lost Challenge Series
Круглая,CF,Заключительные документы Конференции
Воспроизведение,DSF,Потерянные полуфиналы подкласса NHL
Круглая,СФК,Полуфинал Конференции
Круглая,SF,Полуфинал
Отдел,СЕ,Центральный отдел
Воспроизведение,ВТС,Серия &lt; &lt; Вон вызов &gt; &gt;
Воспроизведение,WF,Потерянные финалы WCHL
Воспроизведение,QF,Потерянный четвертьфинал NHL
Отдел,Нет,Отдел Норриса
Круглая,CQF,Квартира-финансы конференций
Отдел,АМ,Американский отдел
Воспроизведение,F,Проиграл финал Кубка Стэнли
Воспроизведение,AVC,Выиграл Кубок АВКО
Круглая,QF,Четверо-финал
Отдел,АТ,Атлантический отдел
Воспроизведение,АВПРА,Проиграл предварительный раунд Кубка АВКО
Воспроизведение,ND,Финал Кубка Стэнли прекратился (эпидемия гриппа)
Отдел,НО,Северо-западный отдел
Воспроизведение,SF,Потерянные полуфиналы NHL
Зал,ВК,Западная конференция
Отдел,АД,Отдел Адамса
Круглая,DF,Окончательные результаты по разделу
Воспроизведение,CF,Проигранные итоговые документы конференции NHL
Воспроизведение,PRE,Проиграл предварительный раунд НХЛ
Воспроизведение,СФК,Пропавшие полуфиналы конференции NHL
Отдел,ЭВ,Восточная дивизия WHA
Отдел,SE,Юго-восточный отдел
