coachid,year,tmid,lgid,stint,notes,g,w,l,t,postg,postw,postl,postt
quennjo01c,2000,STL,NHL,1,,82,43,27,12,15.0,9.0,6.0,0.0
bouchfr01c,1948,NYR,NHL,1,,23,6,11,6,,,,
sathegl01c,1988,EDM,NHL,1,,80,38,34,8,7.0,3.0,4.0,0.0
dandule01c,1922,MTL,NHL,1,,24,13,9,2,2.0,1.0,1.0,0.0
duttore01c,1941,BKN,NHL,1,,48,16,29,3,,,,
hillmla01c,1978,WIJ,WHA,1,,61,28,27,6,,,,
lemaija01c,1997,NJD,NHL,1,,82,48,23,11,6.0,2.0,4.0,0.0
holmgpa01c,1989,PHI,NHL,1,,80,30,39,11,,,,
martija02c,1987,STL,NHL,1,,80,34,38,8,10.0,5.0,5.0,0.0
simpste01c,1988,NYI,NHL,1,,27,7,18,2,,,,
maxnewa01c,1980,DET,NHL,2,,60,16,29,15,,,,
duttore01c,1936,NYA,NHL,1,,48,15,29,4,,,,
hitchke01c,2001,DAL,NHL,1,,50,23,21,6,,,,
arboual01c,1980,NYI,NHL,1,,80,48,18,14,18.0,15.0,3.0,0.0
sonmogl01c,1980,MNS,NHL,1,,80,35,28,17,19.0,12.0,7.0,0.0
patrifr01c,1912,VML,PCHA,1,,14,7,7,0,,,,
laforbi01c,1984,VAN,NHL,1,,20,4,14,2,,,,
lalonne01c,1920,MTL,NHL,1,,24,13,11,0,,,,
bylsmda01c,2009,PIT,NHL,1,,82,47,28,7,13.0,7.0,6.0,0.0
sonmogl01c,1977,BIR,WHA,1,,77,36,38,3,5.0,1.0,4.0,0.0
crispte01c,1988,CAL,NHL,1,,80,54,17,9,22.0,16.0,6.0,0.0
blairwr01c,1967,MNS,NHL,1,,74,27,32,15,14.0,7.0,7.0,0.0
simpsjo01c,1934,NYA,NHL,1,,48,12,27,9,,,,
mckenjo01c,1973,VAB,WHA,1,,7,3,4,0,,,,
angotlo01c,1974,STL,NHL,1,,9,2,5,2,,,,
patrile01c,1932,NYR,NHL,1,,48,23,17,8,8.0,6.0,1.0,1.0
wilsori01c,2001,DAL,NHL,2,,32,13,12,7,,,,
gorinbu01c,1985,BOS,NHL,1,,80,37,31,12,3.0,0.0,3.0,0.0
wattto01c,1990,TOR,NHL,2,,69,22,37,10,,,,
kennege01c,1915,MOC,NHA,1,,24,16,7,1,,,,
slatete01c,1976,CIN,WHA,1,,81,39,37,5,4.0,0.0,4.0,0.0
ftorero01c,1998,NJD,NHL,1,,82,47,24,11,7.0,3.0,4.0,0.0
crozijo01c,1973,BUF,NHL,1,,78,32,34,12,,,,
ftorero01c,2001,BOS,NHL,1,,82,43,33,6,6.0,2.0,4.0,0.0
paddojo01c,1992,WIN,NHL,1,,84,40,37,7,6.0,2.0,4.0,0.0
geoffbe01c,1973,ATF,NHL,1,,78,30,34,14,4.0,0.0,4.0,0.0
berrybo01c,1980,LAK,NHL,1,,80,43,24,13,4.0,1.0,3.0,0.0
hartlbo01c,1999,COL,NHL,1,,82,42,29,11,17.0,11.0,6.0,0.0
murraan01c,2009,STL,NHL,1,,40,17,17,6,,,,
suttebr02c,2011,CAL,NHL,1,,82,37,29,16,,,,
ruelcl01c,1970,MTL,NHL,1,,23,11,8,4,,,,
guidobe01c,1973,BOS,NHL,1,,78,52,17,9,16.0,10.0,6.0,0.0
lalonne01c,1933,MTL,NHL,1,,48,22,20,6,2.0,0.0,1.0,1.0
quinnpa01c,1984,LAK,NHL,1,,80,34,32,14,3.0,0.0,3.0,0.0
patrile01c,1931,NYR,NHL,1,,48,23,17,8,7.0,3.0,4.0,0.0
ivanto01c,1953,DET,NHL,1,,70,37,19,14,12.0,8.0,4.0,0.0
johnsed01c,1982,PIT,NHL,1,,80,18,53,9,,,,
suttebr02c,2010,CAL,NHL,1,,82,41,29,12,,,,
mulleki01c,2011,CAR,NHL,2,,57,25,20,12,,,,
nykolmi01c,1981,TOR,NHL,1,,80,20,44,16,,,,
slatete01c,1973,LAS,WHA,1,,19,5,14,0,,,,
irvindi01c,1951,MTL,NHL,1,,70,34,26,10,11.0,4.0,7.0,0.0
goodfeb01c,1950,CHI,NHL,1,,70,13,47,10,,,,
perrydo01c,1981,LAK,NHL,2,,38,11,17,10,10.0,4.0,6.0,0.0
macneal01c,1980,CAL,NHL,1,,80,39,27,14,16.0,9.0,7.0,0.0
