playerid,year,stint,tmid,lgid,pos,gp,g,a,pts,pim,+/-,ppg,ppa,shg,sha,gwg,gtg,sog,postgp,postg,posta,postpts,postpim,post+/-,postppg,postppa,postshg,postsha,postgwg,postsog
croziro01,1967,1,DET,NHL,G,34,0,0,0,2,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,
habscma01,1984,1,EDM,NHL,Р,26,5,3,8,4,-2.0,2.0,,0.0,,0.0,0.0,30.0,,,,,,,,,,,,
caufija01,1989,1,PIT,NHL,Р,37,1,2,3,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,
lapoicl01,2003,1,PHI,NHL,C,42,5,3,8,32,2.0,0.0,0.0,1.0,0.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
richabr02,2007,1,COL,NHL,Р,22,2,3,5,8,-3.0,0.0,0.0,0.0,0.0,0.0,,32.0,,,,,,,,,,,,
hrymnst01,1951,1,CHI,NHL,D,18,2,1,3,4,,,,,,,,,,,,,,,,,,,,
siebeba01,1934,1,BOS,NHL,Л/Д,48,6,18,24,80,,,,,,,,,4.0,0.0,0.0,0.0,6.0,,,,,,,
clarkbo01,1973,1,PHI,NHL,C,77,35,52,87,113,35.0,10.0,,5.0,,5.0,3.0,221.0,17.0,5.0,11.0,16.0,42.0,,2.0,,0.0,,2.0,
wrighty01,1993,1,EDM,NHL,C,5,0,0,0,4,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,
glynnbr01,1994,1,HAR,NHL,D,43,1,6,7,32,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,,,,,,,,,,,,
tanevch01,2011,1,VAN,NHL,D,25,0,2,2,2,10.0,0.0,0.0,0.0,0.0,0.0,,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
boulter01,2008,1,ATL,NHL,L,76,3,10,13,176,-3.0,0.0,0.0,0.0,0.0,0.0,,71.0,,,,,,,,,,,,
cleghsp01,1912,1,MOW,NHA,,19,12,0,12,46,,,,,,,,,,,,,,,,,,,,
tayloda01,1982,1,LAK,NHL,Р,46,21,37,58,76,4.0,6.0,,0.0,,1.0,0.0,117.0,,,,,,,,,,,,
mcinnma01,2001,2,BOS,NHL,Р,19,2,3,5,8,-1.0,0.0,2.0,0.0,0.0,1.0,0.0,26.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
eaglemi01,1995,1,WAS,NHL,C,70,4,7,11,75,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,70.0,6.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0
perrybr01,1969,1,OAK,NHL,L,34,6,8,14,14,-3.0,0.0,,0.0,,0.0,0.0,41.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,
smithcl01,1944,1,CHI,NHL,C,50,23,31,54,0,,,,,,,,,,,,,,,,,,,,
averyse01,2006,2,NYR,NHL,L,29,8,12,20,58,11.0,1.0,5.0,0.0,1.0,0.0,,89.0,10.0,1.0,4.0,5.0,27.0,-3.0,0.0,1.0,0.0,0.0,0.0,42.0
chishar01,1960,1,BOS,NHL,C,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,
guitebe01,2008,1,COL,NHL,Р,50,5,7,12,30,2.0,0.0,0.0,0.0,0.0,1.0,,63.0,,,,,,,,,,,,
noblere01,1924,1,TRS,NHL,Л/К,3,1,0,1,8,,,,,,,,,,,,,,,,,,,,
matzjo01,1921,1,EDE,WCHL,Р,24,4,1,5,2,,,,,,,,,2.0,0.0,0.0,0.0,0.0,,,,,,,
bourgle01,1926,1,TRS,NHL,Д/Р,22,1,0,1,44,,,,,,,,,,,,,,,,,,,,
kerral01,1988,1,NYI,NHL,Р,71,20,18,38,144,-5.0,6.0,1.0,0.0,0.0,4.0,0.0,147.0,,,,,,,,,,,,
