name,id,award,year,lgid,note
&lt; &lt; Арбур &gt; &gt;,arboual01,Патрик,1991,NHL,
Алекс Дельвеккио,delveal01,Патрик,1973,NHL,
Арт Росс,rossar01,Патрик,1983,NHL,посмертно
Боб Пулфорд,pulfobo01,Патрик,2010,NHL,
Бобби Кларк,clarkbo01,Патрик,1979,NHL,
Бобби Халл,hullbo01,Патрик,1968,NHL,
Бобби Орр,orrbo01,Патрик,1978,NHL,
Брайан Литч,leetcbr01,Патрик,2006,NHL,
Брайан Маллен,mullebr01,Патрик,1994,NHL,
Бад Пойл,poilebu01,Патрик,1988,NHL,
Кэм Нили,neelyca01,Патрик,2009,NHL,
Куни Вейланд,weilaco01,Патрик,1971,NHL,
Крейг Патрик,patricr01,Патрик,1999,NHL,
Дэн Келли,kellyda01,Патрик,1988,NHL,
Эд Джеремайя,jeremed01,Патрик,1968,NHL,посмертно
Эдди Шор,shoreed01,Патрик,1969,NHL,
Эмиль Фрэнсис,francem01,Патрик,1981,NHL,
Фрэнк Бушер,bouchfr01,Патрик,1992,NHL,
Фрэнк Мэтерс,mathefr01,Патрик,1986,NHL,
Фред Шеро,sherofr01,Патрик,1979,NHL,
Глен Сонмор,sonmogl01,Патрик,2005,NHL,
Горди Хоу,howego01,Патрик,1966,NHL,
Джек Адамс,adamsja01,Патрик,1965,NHL,
Джек Райли,rileyja01,Патрик,1985,NHL,
Джо Маллен,mullejo01,Патрик,1994,NHL,
Джон Букик,bucykjo01,Патрик,1976,NHL,
Джон Дэвидсон,davidjo01,Патрик,2003,NHL,
Джон Мариуччи,mariujo01,Патрик,1976,NHL,
Кит Аллен,allenke01,Патрик,1987,NHL,
Кен Морроу,morroke01,Патрик,1995,NHL,
Ларри Плео,pleaula01,Патрик,2001,NHL,
Лу Нанна,nannelo01,Патрик,1988,NHL,
Линн Патрик,patrily01,Патрик,1988,NHL,посмертно
Марсель Дионн,dionnma01,Патрик,2005,NHL,
Марио Лемиё,lemiema01,Патрик,1999,NHL,
Марк Джонсон,johnsma02,Патрик,2010,NHL,
Марк Мессье,messima01,Патрик,2008,NHL,
Макс Макнаб,mcnabma01,Патрик,1997,NHL,
Майк Рихтер,richtmi01,Патрик,2008,NHL,
Милт Шмидт,schmimi01,Патрик,1995,NHL,
Мюррей Армстронг,armstmu01,Патрик,1976,NHL,
Мюррей Мёрдок,murdomu01,Патрик,1973,NHL,
Нил Бротен,brotene01,Патрик,1997,NHL,
Пэт Лафонтен,lafonpa01,Патрик,1996,NHL,
Фил Эспозито,esposph01,Патрик,1977,NHL,
Фил Хоузли,houslph01,Патрик,2007,NHL,
Рэймонд Бурк,bourqra01,Патрик,2002,NHL,
Красный Беренсон,berenre01,Патрик,2005,NHL,
Красная Даттон,duttore01,Патрик,1992,NHL,
Рид Ларсон,larsore01,Патрик,2005,NHL,
Род Гилберт,gilbero01,Патрик,1990,NHL,
Стэн Микита,mikitst01,Патрик,1975,NHL,
Стив Езерман,yzermst01,Патрик,2005,NHL,
Тед Линдси,lindste01,Патрик,2007,NHL,
Терри Савчук,sawchte01,Патрик,1970,NHL,посмертно
Уэйн Грецки,gretzwa01,Патрик,1993,NHL,
Вилли О'Ри,oreewi01,Патрик,2002,NHL,
Олимпийская хоккейная команда США 1960 года,,Патрик,2001,NHL,
1998 год Олимпийская женская хоккейная команда США,,Патрик,1998,NHL,
Арт Берглунд,,Патрик,1991,NHL,
Артур Вирц,wirtzar01h,Патрик,1984,NHL,
Билл Чедвик,chadwbi01h,Патрик,1974,NHL,
Билл Клири,,Патрик,1996,NHL,
Билл Торри,torrebi01h,Патрик,1982,NHL,
Боб Флеминг,,Патрик,1994,NHL,
Боб Джонсон,johnsbo02c,Патрик,1987,NHL,
Боб Негеле,,Патрик,2007,NHL,
Брайан Бёрк,,Патрик,2007,NHL,
Брюс Макналл,,Патрик,1992,NHL,
Брюс Норрис,norribr01h,Патрик,1975,NHL,
Кэмми Гранато,,Патрик,2006,NHL,
Чарльз Адамс,adamsch01h,Патрик,1966,NHL,посмертно
Чарльз Л. Кроват,,Патрик,1973,NHL,посмертно
Чарльз М. Шульц,,Патрик,1980,NHL,
Кларенс Кэмпбелл,campbcl01h,Патрик,1971,NHL,
Дэйв Эндрюс,,Патрик,2009,NHL,
Дэвид Пойл,,Патрик,2000,NHL,
Дональд Кларк,,Патрик,1974,NHL,
Эд Снайдер,snideed01h,Патрик,1979,NHL,
Фред Кузик,,Патрик,1987,NHL,
Гэри Беттман,,Патрик,2000,NHL,
Джордж Гунд,,Патрик,1995,NHL,
Джордж Лидер,,Патрик,1975,NHL,
Гил Штейн,,Патрик,1992,NHL,
