playerid,year,ppa,sha
manthmo01,1987,15.0,1.0
lemiejo01,1989,1.0,1.0
lawtobr01,1989,1.0,
grahadi01,1987,7.0,1.0
jonssto01,1988,24.0,
paslagr01,1990,3.0,1.0
erickbr01,1987,6.0,
carsoji01,1989,5.0,
butchga01,1990,3.0,2.0
frasecu01,1987,2.0,
hunteda01,1988,,1.0
huntema01,1990,4.0,
momesse01,1990,1.0,
ciccadi01,1988,10.0,1.0
frycemi01,1988,3.0,
brownro01,1990,10.0,
quinnda01,1990,18.0,
poulida02,1989,1.0,1.0
zezelpe01,1990,5.0,1.0
cullejo01,1990,29.0,
cunnera01,1989,4.0,
iafraal01,1990,11.0,1.0
linseke01,1989,8.0,
kurveto01,1990,15.0,
ruotsre01,1989,9.0,
macivno01,1988,19.0,
maclebr01,1988,8.0,
stastpe01,1989,23.0,
mckegto01,1990,7.0,
loisecl01,1990,1.0,1.0
laughcr01,1987,3.0,
halwado01,1988,1.0,
wilsoca01,1987,9.0,3.0
sandsto01,1989,20.0,
gartnmi01,1988,9.0,
skrikpe01,1990,5.0,
dahlqch01,1990,,1.0
deblolu01,1990,,1.0
donnemi01,1987,2.0,
vaiveri01,1988,15.0,
kennede01,1988,,2.0
rousebo01,1988,,1.0
goulemi01,1989,15.0,1.0
broteaa01,1990,1.0,
mcintjo01,1990,,2.0
pavesji01,1987,1.0,
tantito01,1990,5.0,
krushmi01,1990,3.0,
cyrpa01,1987,1.0,
hullbr01,1987,10.0,
ramagro01,1987,19.0,2.0
brookbo01,1989,1.0,2.0
duguaro01,1987,2.0,
ysebapa01,1990,4.0,1.0
hardyma01,1988,5.0,
franclo01,1990,1.0,1.0
charbjo01,1988,1.0,
makelmi01,1989,1.0,
hunteda01,1987,1.0,4.0
