year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1995,NHL,BOS,5,1,4,0,16,22,147,0.0,7.0,27.0,0.0,5.0,30.0,2.0
1999,NHL,DET,9,5,4,0,23,19,132,0.0,10.0,43.0,0.0,5.0,49.0,1.0
1936,NHL,BOS,3,1,2,0,6,8,15,,,,,,,
2006,NHL,SJS,11,6,5,0,25,27,165,4.0,4.0,57.0,2.0,8.0,47.0,0.0
1952,NHL,MTL,12,8,4,0,34,23,118,,,,,,,
2002,NHL,TOR,7,3,4,0,16,24,89,2.0,3.0,25.0,1.0,5.0,33.0,2.0
1993,NHL,NYR,23,16,7,0,81,50,379,2.0,22.0,104.0,3.0,9.0,103.0,2.0
1978,NHL,PIT,7,2,5,0,16,25,84,0.0,2.0,28.0,1.0,4.0,19.0,0.0
2003,NHL,DAL,5,1,4,0,10,19,56,4.0,4.0,22.0,2.0,6.0,21.0,0.0
1932,NHL,BOS,5,2,3,0,7,9,50,,,,,,,
1994,NHL,DAL,5,1,4,0,10,17,95,0.0,3.0,26.0,0.0,9.0,30.0,1.0
1996,NHL,ANA,11,4,7,0,25,30,163,2.0,10.0,39.0,0.0,6.0,45.0,0.0
1994,NHL,CHI,16,9,7,0,45,39,203,0.0,9.0,68.0,1.0,11.0,75.0,1.0
1995,NHL,TOR,6,2,4,0,15,21,112,0.0,8.0,32.0,4.0,5.0,34.0,1.0
1990,NHL,EDM,18,9,9,0,57,60,400,2.0,12.0,91.0,2.0,21.0,95.0,0.0
2010,NHL,DET,11,7,4,0,36,28,125,0.0,8.0,43.0,0.0,11.0,46.0,0.0
1974,NHL,TOR,7,2,5,0,13,21,108,0.0,4.0,36.0,0.0,5.0,20.0,0.0
1978,NHL,PHI,8,3,5,0,23,37,173,2.0,6.0,31.0,5.0,8.0,49.0,0.0
2002,NHL,NYI,5,1,4,0,7,13,108,0.0,3.0,31.0,0.0,4.0,30.0,0.0
1994,NHL,DET,18,12,6,0,61,44,264,0.0,22.0,89.0,1.0,14.0,78.0,3.0
1980,NHL,EDM,9,5,4,0,35,35,157,2.0,9.0,43.0,2.0,15.0,46.0,1.0
1987,NHL,TOR,6,2,4,0,20,32,189,0.0,6.0,41.0,,11.0,32.0,2.0
