year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1974,WHA,TOT,BIR,,CW,2,AVQF,78,43,33,2.0,,88,,,349,304,Toronto Toros,883,,57,285,9,50,233,7
1923,NHL,OTS,STE,,,1,NHLF,24,16,8,0.0,,32,,,74,54,Ottawa Senators,178,,,,,,,
1935,NHL,NYA,BKN,,CA,3,SF,48,16,25,7.0,,39,,,109,122,New York Americans,392,,,,,,,
2007,NHL,OTT,OTT,EC,NE,2,CQF,82,43,31,,8,94,3,5,261,247,Ottawa Senators,1175,22,60,328,6,72,380,18
1997,NHL,MTL,MTL,EC,NE,4,CSF,82,37,32,13.0,,87,,,235,208,Montreal Canadiens,1547,16,68,372,8,62,401,13
1977,NHL,PHI,PHI,CC,PT,2,SF,80,45,20,15.0,,105,,,296,200,Philadelphia Flyers,1668,6,51,219,5,66,340,18
1965,NHL,NYR,NYR,,,6,,70,18,41,11.0,,47,,,195,261,New York Rangers,894,,44,282,2,63,282,2
1987,NHL,VAN,VAN,CC,SM,5,,80,25,46,9.0,,59,,,272,320,Vancouver Canucks,2196,12,81,435,18,83,404,10
1949,NHL,BOS,BOS,,,5,,70,22,32,16.0,,60,,,198,228,Boston Bruins,449,,,,,,,
1993,NHL,CAL,CAL,WC,PC,1,CQF,84,42,29,13.0,,97,,,302,256,Calgary Flames,1847,16,87,410,9,90,465,16
1934,NHL,NYA,BKN,,CA,4,,48,12,27,9.0,,33,,,100,142,New York Americans,250,,,,,,,
1963,NHL,MTL,MTL,,,1,SF,70,36,21,13.0,,85,,,209,167,Montreal Canadiens,982,,46,294,7,42,248,7
1973,NHL,VAN,VAN,,ED,7,,78,24,43,11.0,,59,,,224,296,Vancouver Canucks,952,10,55,279,8,70,269,4
1974,WHA,SDM,SDM,,WW,2,AVSF,78,43,31,4.0,,90,,,326,268,San Diego Mariners,1058,,60,218,8,53,275,11
1921,NHL,OTS,STE,,,1,NHLF,24,14,8,2.0,,30,,,106,84,Ottawa Senators,111,,,,,,,
1974,NHL,PIT,PIT,WA,NO,3,QF,80,37,28,15.0,,89,,,326,289,Pittsburgh Penguins,1119,14,64,323,11,63,324,13
1993,NHL,WIN,PHO,WC,CE,6,,84,24,51,9.0,,57,,,245,344,Winnipeg Jets,2143,8,82,423,17,91,445,13
1973,NHL,STL,STL,,WD,6,,78,26,40,12.0,,64,,,206,248,St. Louis Blues,1147,10,39,275,9,56,313,4
1962,NHL,CHI,CHI,,,2,SF,70,32,21,17.0,,81,,,194,178,Chicago Black Hawks,906,,,,,,,
1986,NHL,WIN,PHO,CC,SM,3,DF,80,40,32,8.0,,88,,,279,271,Winnipeg Jets,1537,10,52,300,9,53,324,8
