year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1976,NHL,ATF,3,1,2,0,7,11,96,0,2,11,0,3,14,1
1926,NHL,CHI,2,0,1,1,5,10,30,,,,,,,
1969,NHL,MNS,6,2,4,0,16,20,82,,7,,1,10,,0
1922,NHL,MTL,2,1,1,0,2,3,44,,,,,,,
2010,NHL,SJS,18,9,9,0,51,58,276,6,14,73,0,18,76,0
1933,NHL,NYR,2,0,1,1,1,2,18,,,,,,,
1991,NHL,BUF,7,3,4,0,24,19,80,0,10,40,0,6,28,2
1948,NHL,BOS,5,1,4,0,10,16,50,,,,,,,
2007,NHL,DAL,18,10,8,0,45,41,218,0,18,90,4,13,76,0
1966,NHL,CHI,6,2,4,0,14,18,81,,,,,,,
1922,PCHA,VC1,2,1,1,0,3,5,,,,,,,,
1966,NHL,NYR,4,0,4,0,8,14,58,,,,,,,
1929,NHL,BOS,6,3,3,0,14,12,90,,,,,,,
1996,NHL,FLO,5,1,4,0,10,13,50,0,6,25,0,2,21,0
2008,NHL,DET,23,15,8,0,76,48,226,2,23,97,1,19,71,1
1985,NHL,CHI,3,0,3,0,9,18,87,0,3,16,0,5,15,0
1973,WHA,HOU,14,12,2,0,71,35,,,,,,,,
1921,WCHL,EDE,2,0,1,1,2,3,,,,,,,,
1987,NHL,NJD,20,11,9,0,67,71,871,10,23,117,,22,128,4
2011,NHL,DET,5,1,4,0,9,13,55,0,4,23,0,2,22,0
1982,NHL,CHI,13,7,6,0,49,51,269,4,12,60,2,17,62,2
1980,NHL,STL,11,5,6,0,42,50,281,4,14,53,3,10,47,0
1989,NHL,MNS,7,3,4,0,18,21,274,14,8,43,2,5,43,0
1918,NHL,OTS,5,1,4,0,18,26,69,,,,,,,
1969,NHL,NYR,6,2,4,0,16,25,169,,7,,2,6,,0
1979,NHL,NYI,21,15,6,0,88,66,550,0,25,96,3,14,88,7
1974,WHA,QUN,15,8,7,0,55,48,,,,,,,,
2005,NHL,TBL,5,1,4,0,13,23,125,2,4,31,1,8,24,0
1923,WCHL,REG,2,0,1,1,2,4,,,,,,,,
2011,NHL,STL,9,4,5,0,20,23,212,0,6,35,2,3,38,0
1930,NHL,TOR,2,0,1,1,3,4,13,,,,,,,
1939,NHL,CHI,2,0,2,0,3,5,14,,,,,,,
1976,NHL,PIT,3,1,2,0,10,13,60,2,3,10,0,4,10,0
1946,NHL,MTL,11,6,5,0,29,23,171,,,,,,,
1928,NHL,BOS,5,5,0,0,9,3,76,,,,,,,
1977,WHA,NEW,14,8,6,0,56,47,,,,,,,,
1989,NHL,WIN,7,3,4,0,22,24,110,0,7,36,2,6,33,0
2006,NHL,OTT,20,13,7,0,59,47,246,6,18,95,0,12,99,3
1993,NHL,VAN,24,15,9,0,76,61,436,0,19,116,2,20,114,2
1983,NHL,MNS,16,7,9,0,47,53,335,2,14,67,4,12,66,3
1989,NHL,BOS,21,13,8,0,62,59,421,12,15,93,1,9,88,3
