territoryid,territorydescription,regionid
55113,Roseville                                         ,3
80202,Denver                                            ,2
2139,Cambridge                                         ,1
48304,Bloomfield Hills                                  ,3
40222,Louisville                                        ,1
8837,Edison                                            ,1
1833,Georgetow                                         ,1
94025,Menlo Park                                        ,2
30346,Atlanta                                           ,4
3801,Portsmouth                                        ,3
7960,Morristown                                        ,1
2116,Boston                                            ,1
2184,Braintree                                         ,1
2903,Providence                                        ,1
19713,Neward                                            ,1
14450,Fairport                                          ,1
31406,Savannah                                          ,4
98052,Redmond                                           ,2
95008,Campbell                                          ,2
94105,San Francisco                                     ,2
98004,Bellevue                                          ,2
85251,Scottsdale                                        ,2
6897,Wilton                                            ,1
48084,Troy                                              ,3
90405,Santa Monica                                      ,2
75234,Dallas                                            ,4
78759,Austin                                            ,4
95060,Santa Cruz                                        ,2
1581,Westboro                                          ,1
10038,New York                                          ,1
10019,New York                                          ,1
20852,Rockville                                         ,1
33607,Tampa                                             ,4
98104,Seattle                                           ,2
44122,Beachwood                                         ,3
80909,Colorado Springs                                  ,2
55439,Minneapolis                                       ,3
3049,Hollis                                            ,3
72716,Bentonville                                       ,4
29202,Columbia                                          ,4
27511,Cary                                              ,1
19428,Philadelphia                                      ,3
45839,Findlay                                           ,3
48075,Southfield                                        ,3
95054,Santa Clara                                       ,2
1730,Bedford                                           ,1
53404,Racine                                            ,3
85014,Phoenix                                           ,2
27403,Greensboro                                        ,1
60601,Chicago                                           ,2
32859,Orlando                                           ,4
60179,Hoffman Estates                                   ,2
11747,Mellvile                                          ,1
