country_id,country,last_update
3,Американская Самоа,2006-02-15 03:44:00
4,Ангола,2006-02-15 03:44:00
13,Беларусь,2006-02-15 03:44:00
16,Бруней,2006-02-15 03:44:00
19,Камерун,2006-02-15 03:44:00
25,"Конго, Демократическая Республика",2006-02-15 03:44:00
27,Доминиканская Республика,2006-02-15 03:44:00
31,Эфиопия,2006-02-15 03:44:00
33,Финляндия,2006-02-15 03:44:00
34,Франция,2006-02-15 03:44:00
35,Французская Гвиана,2006-02-15 03:44:00
44,Индия,2006-02-15 03:44:00
45,Индонезия,2006-02-15 03:44:00
46,Иран,2006-02-15 03:44:00
49,Италия,2006-02-15 03:44:00
53,Кувейт,2006-02-15 03:44:00
56,Литва,2006-02-15 03:44:00
57,Мадагаскар,2006-02-15 03:44:00
58,Малави,2006-02-15 03:44:00
61,Молдавия,2006-02-15 03:44:00
63,Мозамбик,2006-02-15 03:44:00
65,Науру,2006-02-15 03:44:00
67,Нидерланды,2006-02-15 03:44:00
70,Северная Корея,2006-02-15 03:44:00
76,Польша,2006-02-15 03:44:00
77,Пуэрто-Рико,2006-02-15 03:44:00
78,Румыния,2006-02-15 03:44:00
82,Саудовская Аравия,2006-02-15 03:44:00
89,Судан,2006-02-15 03:44:00
91,Швейцария,2006-02-15 03:44:00
92,Тайвань,2006-02-15 03:44:00
100,Украина,2006-02-15 03:44:00
101,Объединенные Арабские Эмираты,2006-02-15 03:44:00
105,Вьетнам,2006-02-15 03:44:00
109,Замбия,2006-02-15 03:44:00
