inventory_id,film_id,store_id,last_update
155,32,2,"15 февраля 2006 года, среда, 4:09 утра"
251,56,2,"15 февраля 2006 года, среда, 4:09 утра"
381,84,1,"15 февраля 2006 года, среда, 4:09 утра"
398,88,2,"15 февраля 2006 года, среда, 4:09 утра"
472,103,2,"15 февраля 2006 года, среда, 4:09 утра"
578,126,2,"15 февраля 2006 года, среда, 4:09 утра"
639,139,1,"15 февраля 2006 года, среда, 4:09 утра"
836,183,1,"15 февраля 2006 года, среда, 4:09 утра"
871,191,2,"15 февраля 2006 года, среда, 4:09 утра"
968,215,2,"15 февраля 2006 года, среда, 4:09 утра"
1160,256,2,"15 февраля 2006 года, среда, 4:09 утра"
1397,306,1,"15 февраля 2006 года, среда, 4:09 утра"
1399,306,1,"15 февраля 2006 года, среда, 4:09 утра"
1419,311,1,"15 февраля 2006 года, среда, 4:09 утра"
1471,322,1,"15 февраля 2006 года, среда, 4:09 утра"
1502,329,1,"15 февраля 2006 года, среда, 4:09 утра"
1531,334,2,"15 февраля 2006 года, среда, 4:09 утра"
1562,342,1,"15 февраля 2006 года, среда, 4:09 утра"
1635,357,2,"15 февраля 2006 года, среда, 4:09 утра"
1666,363,2,"15 февраля 2006 года, среда, 4:09 утра"
1927,418,2,"15 февраля 2006 года, среда, 4:09 утра"
1962,428,1,"15 февраля 2006 года, среда, 4:09 утра"
2109,457,2,"15 февраля 2006 года, среда, 4:09 утра"
2202,476,2,"15 февраля 2006 года, среда, 4:09 утра"
2241,484,2,"15 февраля 2006 года, среда, 4:09 утра"
2243,485,2,"15 февраля 2006 года, среда, 4:09 утра"
2407,525,2,"15 февраля 2006 года, среда, 4:09 утра"
2466,539,1,"15 февраля 2006 года, среда, 4:09 утра"
2771,609,1,"15 февраля 2006 года, среда, 4:09 утра"
2865,628,1,"15 февраля 2006 года, среда, 4:09 утра"
2870,629,2,"15 февраля 2006 года, среда, 4:09 утра"
2952,648,1,"15 февраля 2006 года, среда, 4:09 утра"
2997,657,1,"15 февраля 2006 года, среда, 4:09 утра"
3008,660,2,"15 февраля 2006 года, среда, 4:09 утра"
3366,738,2,"15 февраля 2006 года, среда, 4:09 утра"
3379,741,1,"15 февраля 2006 года, среда, 4:09 утра"
3530,772,2,"15 февраля 2006 года, среда, 4:09 утра"
3532,773,1,"15 февраля 2006 года, среда, 4:09 утра"
3614,789,2,"15 февраля 2006 года, среда, 4:09 утра"
3638,794,2,"15 февраля 2006 года, среда, 4:09 утра"
3883,849,1,"15 февраля 2006 года, среда, 4:09 утра"
3916,855,1,"15 февраля 2006 года, среда, 4:09 утра"
3949,861,2,"15 февраля 2006 года, среда, 4:09 утра"
3983,868,1,"15 февраля 2006 года, среда, 4:09 утра"
4079,889,1,"15 февраля 2006 года, среда, 4:09 утра"
4170,906,2,"15 февраля 2006 года, среда, 4:09 утра"
4198,913,1,"15 февраля 2006 года, среда, 4:09 утра"
4257,925,2,"15 февраля 2006 года, среда, 4:09 утра"
4273,930,1,"15 февраля 2006 года, среда, 4:09 утра"
4315,940,1,"15 февраля 2006 года, среда, 4:09 утра"
4375,956,1,"15 февраля 2006 года, среда, 4:09 утра"
4406,963,2,"15 февраля 2006 года, среда, 4:09 утра"
