constructorid,constructorref,name,nationality,url
9,ред_бол,Ред Булл,Австрийский,https://ru.wikipedia.org/wiki/Редбулл_Рейсинг
11,Хонда,Хонда,Японская,Хонда-Рейсинг F1
12,Спри,Спикер,Нидерландский,Википедия: «Spyker F1»
13,МФ1,МФ1,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",http://ru.wikipedia.org/wiki/Мидленд_Ф1_Рэйсинг
14,Спайкер МФ1,Спайкер МФ1,Нидерландский,http://ru.wikipedia.org/wiki/Мидленд_Ф1_Рэйсинг
29,подход,Подход,Британский,"Путь к свету: Танцевальная игра - это танцевальная игра, выпущенная в 2016 году для Microsoft Windows, macOS и Linux. В игре представлены три вида танца: соул, лук и хип-хоп, а также несколько музыкальных жанров, таких как R&B, поп, хип-хоп и соул."
34,Брабам,Брамх,Британский,Брэбем
46,Оникс,Онькс,Британский,Оникс (гоночная команда)
47,жизнь,Жизнь,Итальянский,"Тým ""Жизнь"""
48,Приложение,Риал,"Извините, но я не говорю по-немецки. Могу ли я помочь вам чем-то еще?",Риал (гоночная команда)
61,Каухсен,Каухсен,"Извините, но я не говорю по-немецки. Могу ли я помочь вам чем-то еще?","Каухсен — это семейная компания, основанная в 1923 году в Германии, которая специализируется на производстве оборудования для обработки бумаги и картона. Она является одним из ведущих поставщиков в этой отрасли, с продуктами, используемыми по всему миру. Компания имеет богатую историю инноваций и качества, и ее продукция известна своей долговечностью и эффективностью. Каушсен также уделяет большое внимание экологической устойчивости и внедряет инициативы по сокращению воздействия на окружающую среду в своих производственных процессах и продуктах."
71,Аполлон,Аполлон,Швейцария,Аполлон (Формула-1)
74,Маки,Маки,Японская,Маки (автомобили)
78,амон,Амон,Новая Зеландия,Амон (Formula One team)
81,Техно,Техно,Итальянский,"Техно – это музыкальный жанр, возникший в 1970-х годах в Европе, особенно во Франции и Великобритании. Он сочетает в себе элементы электронной и танцевальной музыки, часто используя синтезаторы, ударные машины и другие электронные инструменты для создания ритмичной и атмосферной музыки. Техно обычно характеризуется повторяющимися брейкбитами, глубоким басом и минималистичными или абстрактными мелодиями и текстурами.

Название ""техно"" было введено в конце 1970-х годов для описания музыки, созданной в музыкальных клубах, особенно в Детройте, США, где были популярны такие исполнители, как Кэйт Боби, Джилли Дилл и Марио Макки. В начале 1980-х годов техно стало популярным во Франции, а затем распространилось по всей Европе, влияя на развитие других танцевальных жанров, таких как хаус и техно.

Техно часто ассоциируется с субкультурой и сценой ночных клубов, где музыка исполняется вживую диджеями, которые смешивают треки и создают уникальные сеты для публики. Визуальные элементы, такие как неоновые огни, лазеры и светодиодные дисплеи, также часто используются в техно-сцене, создавая уникальную атмосферу.

Некоторые известные исполнители и группы в жанре техно включают в себя Daft Punk, Fatboy Slim, The Chemical Brothers, Moby и The Prodigy. Жанр также повлиял на поп-музыку и хип-хоп, с элементами техно, которые можно услышать в работах таких артистов, как Мадонна, Пэриш Бэрримор и Бейонсе."
91,Шэннон,Шаннон,Британский,Шаннон
93,Да.,РЕ,Родезийский,РЭ (автомобильная)
97,Гилби,Гильбери,Британский,Гилби
105,Мaserati,Мазерати,Итальянский,"Мaserati — это итальянский производитель автомобилей с штаб-квартирой в Турине. Компания была основана в 1914 году и с тех пор стала синонимом роскошных и высокопроизводительных автомобилей. Название «Maserati» происходит от nazwiska основателя компании, Энцо Масерати, который был известным гонщиком и инженером.

Мaserati известен своими элегантными и стильными автомобилями, которые сочетают в себе итальянское мастерство и передовые технологии. Их автомобили известны своим мощным двигателем, динамичными характеристиками и роскошным интерьером. Бренд Maserat"
106,скарабей,Скарабей,Американский,Скарабей (скарабей-конструктор)
110,лесовский,Лесовский,Американский,Лесовский
120,Дунн,Дунн,Американский,Дунн Инжиниринг
127,Оска,ОСКА,Итальянский,Официна Специализированная Конструкция Автомобилей
132,Ланция,Ланция,Итальянский,Ланция в Формуле-1
133,WHM - «Всемирная служба мониторинга» (World Health Monitoring),ХВМ,Британский,Хершем и Уолтон Моторс
136,Панкратц,Панкрац,Американский,Панкрац
141,Симка,Симка,"Пожалуйста, предоставьте текст для перевода.",Симка
144,Верита́с,Правда,"Извините, но я не говорю по-немецки. Могу ли я помочь вам чем-то еще?",Конструктор «Веритас»
147,AFM,AFМ,"Извините, но я не говорю по-немецки. Могу ли я помочь вам чем-то еще?",Оксфордский словарь английского-русского языка
151,эра,Эра,Британский,Википедия: Английские гоночные автомобили
160,ветер,Веттерот,Американский,Веттерот
171,Купер-Кастелотти,Купер-Кастелотти,Британский,https://ru.wikipedia.org/wiki/Купер_(автомобильный_завод)
176,Лотус-БРМ,Лотус-БРМ,Британский,http://ru.wikipedia.org/wiki/Команда_Лотус
179,Феррари,Детомасо-Феррари,Итальянский,Дэ-Томасо
184,ЛДС-Клай Макс,LDS-Клэмпс,Южно-Африканская Республика,LDS (автомобиль)
191,Брабхам-Репко,Брабهام-Репко,Британский,Брэбем
194,McLaren-BRM,Макларен-БРМ,Британский,McLaren (гоночный)
198,McLaren-Alfa Romeo,Макларен-Альфа Ромео,Британский,McLaren (гоночный)
