raceid,year,round,circuitid,name,date,time,url
19,2008,2,2,Гран-при Малайзии,2008-03-23,07:00:00,Grand-при Малайзии 2008 года
30,2008,13,13,Гран-при Бельгии,2008-09-07,12:00:00,Гран-при Бельгии 2008 года
32,2008,15,15,Гран-при Сингапура,2008-09-28,12:00:00,2008 Сингапурская гонка
36,2007,1,1,Гран-при Австралии,2007-03-18,03:00:00,"2007 года в Мельбурне
26 ноября 2007 года (18)
Кими Райкконен (McLaren)
2:24.5936 (179,626 км/ч)
Мика Хаккинен (McLaren)
1:34.2105 (157,800 км/ч)
Фелипе Масса (Ferrari)
1:35.3527 (156,195 км/ч)"
42,2007,7,19,Гран-при США,2007-06-17,17:00:00,"2007 года Grand Prix США в Интернете

2007 United States Grand Prix

Гоночный уик-энд 15—17 июня 2007 года

Гран-при США 2007 года — гоночный уик-энд, проходивший 15—17 июня на автодроме Индианаполиса в Индианаполисе, штат Индиана, США. Это был одиннадцатый этап чемпионата мира Формулы-1 сезона 2007 года.

В пятницу, 15 июня, были проведены две сессии свободных заездов, в которых приняли участие все десять команд и все пилоты. В субботу, 16 июня, прошла квалификация, после которой была объявлена стартовая сетка. В воскресенье, 17 июня, состоялся сам Гран-при, которое состояло из 73 кругов или 338,499 км.

По итогам пятничных тренировок пилоты McLaren-Mercedes Льюис Хэмилтон и Фернандо Алонсо были дисквалифицированы за превышение максимальной ширины трассы в одном из поворотов. В результате в субботу их места в квалификационном протоколе заняли пилоты Toyota Яп де Хесус и Роберт Кубица.

По итогам гонки победу одержал пилот Ferrari Кими Райкконен, ставший таким образом первым гонщиком Ferrari, выигравшим Гран-при США с 2001 года. Второе место занял Фернандо Алонсо из команды McLaren-Mercedes, а третье — другой пилот Ferrari — Фелипе Масса."
59,2006,7,6,Гран-при Монако,2006-05-28,14:00:00,Гран-при Монако 2006 года
61,2006,9,7,Гран-при Канады,2006-06-25,13:00:00,Канадский Гран-при 2006 года
67,2006,15,14,Гран-при Италии,2006-09-10,14:00:00,Гран-при Италии 2006 года
90,2004,1,1,Гран-при Австралии,2004-03-07,,Википедия: 2004 Австралийская Гран-при
95,2004,6,6,Гран-при Монако,2004-05-23,,"2004 года в Монако
29 мая 2004 года на трассе Монако в Монте-Карло прошёл 76-й Гран-при Формулы-1 в рамках чемпионата мира 2004 года. В дождевых условиях гонки были остановлены из-за опасной ситуации на трассе, а затем остановлены окончательно после аварии Жака Вильнёва."
122,2003,15,19,Гран-при США,2003-09-28,,2003 ГП США
132,2002,9,20,Европейский Гран-при,2002-06-23,,Википедия: Grand Prix Европы 2002 года
145,2001,5,4,Гран-при Испании,2001-04-29,,Испанская гран-при 2001 года
164,2000,7,6,Гран-при Монако,2000-06-04,,Гран-при Монако 2000 года
171,2000,14,14,Гран-при Италии,2000-09-10,,2000 Гран-при Италии
221,1997,15,20,Гран-при Люксембурга,1997-09-28,,"Гран-при Люксембурга 1997 года — гоночный этап, состоявшийся 23 июня 1997 года на трассе «Нюрбургринг» в Германии. В этом гонке приняли участие 22 пилота, из которых 16 дошли до финиша, а три заняли призовые места: первый место занял британец Дэвид Култхард, второй — его соотечественник Джаки Идок, а третий — бельгиец Тео Фаби."
234,1996,11,10,Гран-при Германии,1996-07-28,,Википедия: 1996 Гран-при Германии
252,1995,13,27,Гран-при Португалии,1995-09-24,,"1995 года в Португалии
Гран-при Португалии 1995 года (португальский: Grande Prêmio de Portugal de 1995) — восьмый этап чемпионата мира по автогонкам в классе «Формула-1», который прошёл 28 мая на трассе Эштадиу да Радуа в Порто, Португалия."
261,1994,5,4,Гран-при Испании,1994-05-29,,Википедия: 1994 Испанская гран-при
265,1994,9,10,Гран-при Германии,1994-07-31,,1994 года
275,1993,3,31,Европейский Гран-при,1993-04-11,,1993 Евро́пейский гран-при
281,1993,9,9,Британский Гран-при,1993-07-11,,Статья на английском языке о Гран-при Великобритании 1993 года.
320,1991,16,29,Гран-при Австралии,1991-11-03,,"Википедия — «Гран-при Австралии 1991 года»

«Гран-при Австралии 1991 года» — гоночный заезд, состоявшийся 17 марта 1991 года, в рамках чемпионата мира в классе «Формула-1»."
340,2010,4,17,Гран-при Китая,2010-04-18,06:00:00,"2010 года в Китае
2010 China Grand Prix"
345,2010,9,12,Европейский Гран-при,2010-06-27,12:00:00,Википедия: Гран-при Европы 2010
348,2010,12,11,Гран-при Венгрии,2010-08-01,12:00:00,"Гран-при Венгрии 2010 года — десятый этап чемпионата мира в сезоне 2010 года, который прошёл 26 июня на гоночной трассе Будапешт-Хунгароринг в Венгрии."
350,2010,14,14,Гран-при Италии,2010-09-12,12:00:00,2010 ГП Италии
352,2010,16,22,Гран-при Японии,2010-10-10,06:00:00,2010 Японский Гран-при
353,2010,17,35,Гран-при Кореи,2010-10-24,05:00:00,"2010 Гран-при Кореи

Гран-при Кореи 2010 года — автогонка в рамках чемпионата мира Формулы-1, которая прошла 14 ноября на международной трассе в Йонгаме, Южная Корея. Гонку виграл Себастьян Феттель за рулём болида «Ред Булл» на 56-м круге, обогнав своего напарника Марка Уэббера, который был вторым. Третий результат показал Фелипе Масса на «Феррари».

В гонке было несколько инцидентов и аварией, включая столкновение Льюиса Хэмилтона с Робертом Кубицей, которое привело к выходу автомобиля безопасности. Это повлияло на стратегию пит-стопов команд и создало возможности для некоторых пилотов воспользоваться преимуществами более ранней смены шин.

Гран-при Кореи 2010 года стал пятым в карьере победителя Себастьяна Феттеля, который упрочил свое лидерство в чемпионате пилотов. Кроме того, «Ред Булл» укрепил лидерство в кубке конструкторов, опередив «Феррари».

Гонка продолжалась 56 кругов и охватила в общей сложности 297,318 километров."
354,2010,18,18,Гран-при Бразилии,2010-11-07,16:00:00,"2010 года в Бразилии
2010 бразильской Гран-при
2010 г. Гран-при Бразилии
2010 ГРАН-ПРИ БРАЗИИЛИИ
2010 Grand Prix Brazil
2010 г. Гран-при Бразилии
2010 ГРАН ПРИ БРАЗИЛИИ
2010 Brazilian Grand Prix"
360,1989,5,33,Гран-при США,1989-06-04,,1989 года Гран-при США
396,1987,9,11,Гран-при Венгрии,1987-08-09,,1987 Венгерский Гран-при
400,1987,13,26,Гран-при Испании,1987-09-27,,1987 Гран-при Испании
415,1986,12,23,Австрийский Гран-при,1986-08-17,,Австрийский Гран-при 1986 года
419,1986,16,29,Гран-при Австралии,1986-10-26,,"Википедия: 1986 год, Австралийская Гран-при"
434,1985,15,30,Гран-при Южной Африки,1985-10-19,,1985 года в Южной Африке
440,1984,5,41,Гран-при Франции,1984-05-20,,1984 Французский Гран-при
461,1983,10,10,Гран-при Германии,1983-08-07,,Википедия: 1983 Немецкий Гран-при
465,1983,14,38,Европейский Гран-при,1983-09-25,,"1983 год, европейский Гран-при"
473,1982,7,37,Гран-при Детройта,1982-06-06,,Гран-при Детройта 1982 года
498,1980,1,25,Гран-при Аргентины,1980-01-13,,Википедия: 1980 Гран-при Аргентины
502,1980,5,40,Гран-при Бельгии,1980-05-04,,Гран-при Бельгии 1980 года
505,1980,8,38,Британский Гран-при,1980-07-13,,1980 года British Grand Prix
520,1979,9,9,Британский Гран-при,1979-07-14,,1979 Британская гран-при
529,1978,3,30,Гран-при Южной Африки,1978-03-04,,"1978 года Гран-при Южной Африки

Гран-при Южной Африки 1978 года (официально известный как South African Grand Prix) — автогонка, шестнадцатый этап чемпионата мира в сезоне 1978 года. Это была первая гонка в истории Формулы-1, которая проходила в ночь время. Гонка состоялась 2 января 1978 года на трассе Квазулу-Натал в Йоханнесбурге, Южная Африка.

Гонку выиграл Джоди Шектер, пилот команды McLaren-Ford. Он же был первым в предыдущей гонке — Гран-при Канады."
