qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
176,26,20,5,15,8,1:20.318,1:20.109,1:23.251
198,27,14,9,9,10,1:15.975,1:15.338,1:17.503
332,34,4,4,5,4,1:35.769,1:35.461,1:36.927
343,34,3,3,7,15,1:36.434,1:36.210,
426,38,23,7,11,14,1:33.923,1:33.294,
585,45,24,5,18,19,1:33.148,,
613,47,8,6,6,3,1:27.294,1:26.902,1:27.546
702,51,4,1,1,4,1:35.809,1:35.845,1:36.576
1057,67,37,1,4,7,1:22.422,1:21.878,1:22.280
1099,69,4,4,1,5,1:30.976,1:30.357,1:30.371
1148,77,30,6,1,10,1:31.585,,
1154,77,11,16,4,16,1:32.926,,
1192,79,32,9,15,14,1:12.132,,
1203,80,11,16,4,5,1:14.655,,
1567,161,48,18,20,21,1:28.253,,
1785,201,75,18,22,20,1:46.713,,
1860,209,65,15,16,8,1:26.564,,
2353,246,90,28,22,24,1:24.865,,
2514,253,97,29,9,17,1:23.689,,
2521,253,98,30,16,24,1:27.853,,
2795,265,110,15,29,18,1:47.235,,
2930,270,100,33,20,23,1:26.272,,
3053,4,13,6,3,8,1:33.297,1:33.014,1:34.818
3240,13,2,2,6,15,1:23.584,1:24.275,
3323,17,16,10,20,18,1:41.836,,
3434,341,807,3,10,13,1:22.857,1:22.131,
3525,345,807,3,10,8,1:38.843,1:38.523,1:38.428
3577,347,155,15,23,12,1:15.951,1:15.084,
3732,353,29,164,20,23,1:42.444,,
3821,110,51,18,18,20,1:16.586,,
3938,116,50,18,19,18,1:36.318,,
3990,119,14,1,5,10,1:16.666,,
4036,121,2,15,9,16,1:23.803,,
4148,93,17,19,14,8,1:20.921,,
4201,96,30,6,1,1,1:28.351,,
4231,97,21,15,11,11,1:14.674,,
4261,99,4,4,8,1,1:13.698,,
4326,102,42,3,4,6,1:20.170,,
4340,102,13,15,12,20,,,
4450,72,2,3,8,10,1:33.464,1:36.453,
4466,73,23,7,17,6,1:30.952,1:32.319,
4517,75,2,3,8,17,1:15.038,,
4895,857,20,9,1,1,1:26.218,1:24.657,1:24.178
4967,860,18,1,3,2,1:26.832,1:25.663,1:25.074
4996,861,154,208,10,7,1:38.058,1:37.338,1:36.658
4997,861,3,131,8,8,1:37.696,1:36.996,1:36.664
5085,864,39,164,23,24,1:31.122,,
5175,868,5,207,20,20,1:49.477,,
5293,873,808,207,21,19,1:50.846,,
5347,876,17,9,2,2,1:26.744,1:25.610,1:25.327
5427,879,3,131,8,10,1:15.929,1:13.848,1:13.489
5846,899,13,6,4,9,1:26.817,1:27.049,1:28.109
5895,901,815,10,11,14,2:00.076,2:02.511,
6482,934,829,209,28,19,1:37.364,,
6788,952,13,3,19,18,1:24.941,,
6890,957,815,10,11,11,1:32.336,1:31.875,
7152,969,4,1,14,13,1:25.872,1:25.425,
7350,979,835,4,30,11,1:18.699,1:18.415,
