circuitid,circuitref,name,location,country,lat,lng,alt,url
1,Альберт-Парк,Гран-при Альберт-Парка,Мельбурн,Австралия,-37.8497,144.968,10.0,https://ru.wikipedia.org/wiki/Гран-при_Мелбурна
2,Сепанг,国际赛道塞班,Кuala-Лумпур,Малайзия,2.76083,101.738,,Штадион Сепанг
3,Бахрейн,Международный автодром Бахрейна,Сахир,Бахрейн,26.0325,50.5106,,Шоссе Бахрейна
4,Каталанск,Кольце Оберона,Монмельо,Испания,41.57,2.26111,,"Автовыставочный комплекс в Барселоне - каталонский автодром, расположенный в городе Монмало, недалеко от Барселоны, Испания. Это постоянный гоночный трассо, используемый в качестве домашней треки для испанской серии чемпионата Формулы-1 и каталонского круга чемпионата мира по супербайку."
5,Стамбул,Стамбульский парк,Стамбул,Турция,40.9517,29.405,,Парк Стамбула
6,Монако,Кирпич Монако,Монако,Монако,43.7347,7.42056,,Circuit de Monaco
7,Вилленев,Шоссе Жиля Вильнёва,Монреаль,Канада,45.5,-73.5228,,Круг Гийом Вильнюв
9,Сильверстоун,Шоссе Сильверстоун,Сильверстоун,Великобритания,52.0786,-1.01694,,Шассе Силверстоун
10,Хоккенхаймринг,Хоккенхаймринг,Хоккенхайм,Германия,49.3278,8.56583,,Хоккенхаймринг
11,Будапештский собор,Хунгарьоринг,Будапешт,Венгрия,47.5789,19.2486,,Хунгароринг
12,Валенсия,Улица Валенсия,Валенсия,Испания,39.4589,-0.331667,,https://ru.wikipedia.org/wiki/Улица_Валенсия_(окружная_трасса)
13,спа,Штадион Спа-Франкоршам,Спа,Бельгия,50.4372,5.97139,,Шоссейная гонка Спа-Франкоршамп
15,Марина-Бей,Марина-Бэй-Стрит-Кит,Марина-Бей,Сингапур,1.2914,103.864,,Круговая дорога у пристани Марина-Бэй
16,фую,Фудзи Спидвей,Оямама,Япония,35.3717,138.927,,Фудзи-Скоростная трасса
17,Шанхай,Шанхайская международная трасса,Шанхай,Китай,31.3389,121.22,,Шанхайская международная трасса
18,интерлагос,Автонодородная трасса имени Хосе Карлос Пейс,Сан-Паулу,Бразилия,-23.7036,-46.6997,,Автоудобная дорога Хосе Карлос Пейс
19,Индианаполис,Индианаполисский автодром,Индианаполис,США,39.795,-86.2347,,Индианаполис Мотор Спидвей
20,Нюрбургринг,Нюрбургринг,Нюрбург,Германия,50.3356,6.9475,,Нюрбургринг
21,Имола,Автодром Энцо и Дино Феррари,Имола,Италия,44.3439,11.7167,,Автоудобрения Энзо и Дино Феррари
22,Сузука,Сузука-рынк,Сузука,Япония,34.8431,136.541,,Шикака-Сикит
23,Австро-венгерский грош,А1-Ринг,Спилберг,Австрия,47.2197,14.7647,,A1-Ринг
24,ясная marina,Яс Марина Круговая дорога,Абу-Даби,ОАЭ,24.4672,54.6031,,Яс-Марина
25,Галвес,Автомобильный трасса Хуан и Оскар Галвес,Буенос-Айрес,Аргентина,-34.6943,-58.4593,,Автоход Oscar Alfredo Гальвес
26,Херес,Джирона,Херес-де-ла-Фронтера,Испания,36.7083,-6.03417,,Киркто-Перманенте-де-Херес
27,Эсторил,Автомобильная трасса Эштри,Эсториол,Португалия,38.7506,-9.39417,,Авто- и мотодром в Эсториле
28,Окаяма,Окаяма Интернешнл Циркут,Окаяма,Япония,34.915,134.221,,"ТИ-карта (англ. TI Circuit) — это интегральная схема, разработанная компанией Texas Instruments и используемая в их линейке микроконтроллеров. Она обеспечивает базовую функциональность микроконтроллера и используется в различных приложениях, от потребительских устройств до промышленных систем."
29,Аделаида,Аделаидский уличный трасс,Аделаида,Австралия,-34.9272,138.617,,Аделаидская уличная трасса
30,Кьялами,Кьялами,Мидранд,Южная Африка,-25.9894,28.0767,,Кьялами
31,Донингтон,Донингтон-Парк,Замок Донингтон,Великобритания,52.8306,-1.37528,,Донингтон-парк
32,Родригес,Автоудобрение Хименес Родригес,Мексико-Сити,Мексика,19.4042,-99.0907,,Автомагистраль Герреро Родригес
33,Финикс,Финиксская уличная трасса,Феникс,США,33.4479,-112.075,,"Википедия: ""Финикс-стрит-картинг"""
34,Рикард,Кирпич Пауля Рикарда,Лэ Кастеллет,Франция,43.2506,5.79167,,"Пол Рикард (родился 25 июля 1938 года) — бывший гонщик «Формулы-1», который соревновался с 1960 по 1972 год. Он выиграл 12 Гран-при во время своей карьеры и был известен своим агрессивным стилем вождения."
35,"Пожалуйста, уточните, о каком тексте идет речь? Я могу перевести с английского на русский, но мне нужно знать, что именно нужно перевести.",Международная гоночная трасса Кореи,Йонгам-ун-гён,Корея,34.7333,126.417,,https://ru.wikipedia.org/wiki/Корейский_международный_окружение
36,Якарепагва,Автовыставочный комплекс имени Нельсона Пике,Рио-де-Жанейро,Бразилия,-22.9756,-43.395,,Автомагистраль Нельсон Пике
37,Детройт,Детройтская уличная гоночная трасса,Детройт,США,42.3298,-83.0401,,Детройтский уличный круговой маршрут
38,бренды_хатч,Брендс-Хэтч,Кент,Великобритания,51.3569,0.263056,,Брендс-Хэтч
39,Зандворт,Циркут Парка Зандворт,Зандворт,Нидерланды,52.3888,4.54092,,Зандвортский автодром
40,золоде́нье,Золдер,Хюсден-Золдер,Бельгия,50.9894,5.25694,,Золдер
41,Дижон,Дижон-Преной,Дижон,Франция,47.3625,4.89913,,Дижен-Преной
42,Даллас,Фейр-Парк,Даллас,США,32.7774,-96.7587,,"Фир-Парк (англ. Fair Park) — район в городе Далласе, штат Техас, США. Он расположен на востоке Далласа и граничит с парком Фейр-Парк, от которого и получил своё название. Район имеет богатую историю и является домом для нескольких важных культурных достопримечательностей и спортивных объектов."
43,Долгий пляж,Долгий пляж,Калифорния,США,33.7651,-118.189,,"Википедия: Лонг-Бич, Калифорния"
44,Лас-Вегас,Лас-Вегас-Стрит-Сёркит,Невада,США,36.1162,-115.174,,"Википедия: Лас-Вегас, Невада"
45,Ярама,Ярама,Мадрид,Испания,40.6171,-3.58558,,Кольцо Пеньягранды
46,Ваткинс-Глен,Уаткинс-Глен,Нью-Йоркский штат,США,42.3369,-76.9272,,Ваткинс-Глен Интернэшнл
