year,lgid,tmid,oppid,w,l,t,otl
2011,NHL,DET,PHI,1,1,,0
2003,NHL,ANA,NYR,1,0,0.0,0
2005,NHL,CAR,WAS,5,3,,0
2010,NHL,PHI,WAS,2,0,,2
1995,NHL,BOS,PHI,2,2,0.0,
1989,NHL,VAN,NJD,3,0,0.0,
1992,NHL,BOS,NYR,1,1,1.0,
1980,NHL,WIN,WAS,0,3,1.0,
1990,NHL,VAN,STL,1,1,1.0,
1940,NHL,NYA,MTL,3,4,1.0,
1997,NHL,BUF,DAL,0,2,0.0,
1995,NHL,COL,LAK,2,2,1.0,
1996,NHL,PHI,COL,1,0,1.0,
1934,NHL,STE,CHI,1,4,1.0,
1974,NHL,WAS,CLF,2,3,0.0,
1996,NHL,CHI,SJS,2,2,0.0,
1981,NHL,CHI,BUF,1,2,0.0,
2000,NHL,CAR,EDM,0,1,0.0,0
1974,NHL,MTL,CLF,5,0,0.0,
1997,NHL,DAL,OTT,0,2,0.0,
2000,NHL,OTT,STL,1,0,0.0,0
1995,NHL,NYR,TBL,2,2,1.0,
2002,NHL,NJD,PHO,1,0,0.0,0
1998,NHL,NYI,COL,0,2,0.0,
2006,NHL,SJS,NYR,0,1,,0
1994,NHL,OTT,PHI,2,1,0.0,
2009,NHL,CAR,TBL,3,2,,1
1994,NHL,SJS,CAL,1,3,0.0,
1995,NHL,CAL,NYI,2,0,0.0,
1951,NHL,MTL,DET,2,9,3.0,
1995,NHL,BUF,COL,1,1,0.0,
1998,NHL,CAR,LAK,1,1,0.0,
1958,NHL,DET,BOS,5,8,1.0,
2001,NHL,TBL,STL,1,0,0.0,0
2002,NHL,BOS,CAR,2,1,1.0,0
1983,NHL,DET,PIT,3,0,0.0,
1977,WHA,CIN,HOU,4,6,1.0,
1980,NHL,COR,DET,1,2,1.0,
1976,NHL,BOS,VAN,4,0,0.0,
1987,NHL,MNS,NYI,1,1,1.0,
1929,NHL,DTC,CHI,3,2,1.0,
1973,NHL,PIT,MTL,0,4,1.0,
2011,NHL,NAS,WAS,1,1,,0
1925,WCHL,EDE,CAT,6,2,0.0,
1993,NHL,CAL,TBL,1,1,0.0,
2003,NHL,OTT,EDM,0,1,1.0,0
1991,NHL,TOR,PHI,1,1,1.0,
1986,NHL,NYR,EDM,0,3,0.0,
2000,NHL,CHI,PHO,1,1,1.0,0
2011,NHL,TOR,BOS,0,6,,0
1990,NHL,MTL,HAR,4,4,0.0,
1998,NHL,OTT,PHI,4,1,0.0,
1977,NHL,MTL,BOS,4,0,1.0,
1980,NHL,CHI,TOR,1,2,1.0,
1996,NHL,PHO,STL,3,3,0.0,
2001,NHL,CBS,ATL,1,0,0.0,0
1992,NHL,QUE,PIT,0,2,1.0,
1987,NHL,TOR,PIT,1,2,0.0,
1988,NHL,CAL,HAR,2,1,0.0,
1999,NHL,MTL,STL,0,1,0.0,0
1924,NHL,TRS,OTS,4,2,0.0,
2006,NHL,CAL,CHI,2,0,,2
2008,NHL,NAS,PHO,3,1,,0
1977,NHL,MNS,CLE,0,3,1.0,
2010,NHL,COL,TOR,0,1,,0
1987,NHL,HAR,BUF,4,3,1.0,
2011,NHL,NAS,PHI,1,1,,0
2002,NHL,COL,STL,2,1,1.0,0
2002,NHL,SJS,BUF,0,0,1.0,0
1988,NHL,MNS,NJD,1,1,1.0,
2010,NHL,LAK,MIN,2,0,,2
2010,NHL,OTT,CAR,1,3,,0
1980,NHL,WAS,BOS,1,2,1.0,
1996,NHL,OTT,STL,0,1,1.0,
1995,NHL,WIN,ANA,1,3,0.0,
1981,NHL,CHI,CAL,2,0,1.0,
2011,NHL,BOS,SJS,0,2,,0
2009,NHL,MTL,MIN,0,1,,0
1974,WHA,MIB,MFS,2,4,0.0,
1990,NHL,WAS,TOR,1,2,0.0,
1999,NHL,DAL,ANA,3,3,0.0,0
1991,NHL,NYR,WAS,2,5,0.0,
2010,NHL,VAN,WAS,1,0,,0
1994,NHL,TOR,EDM,2,2,0.0,
1985,NHL,VAN,BUF,1,2,0.0,
1972,WHA,MFS,CLC,4,2,0.0,
1981,NHL,EDM,HAR,2,0,1.0,
1987,NHL,DET,NJD,3,0,0.0,
1967,NHL,MTL,PHI,2,1,1.0,
2005,NHL,MIN,BOS,0,1,,0
2007,NHL,PHI,VAN,1,0,,0
1987,NHL,QUE,BUF,2,5,1.0,
2002,NHL,OTT,BUF,4,0,0.0,1
2010,NHL,CBS,BUF,0,2,,0
2010,NHL,BUF,ATL,3,0,,1
1993,NHL,WAS,OTT,3,1,0.0,
2001,NHL,TOR,NJD,0,2,1.0,1
1985,NHL,DET,NJD,0,2,1.0,
1987,NHL,MNS,VAN,1,2,0.0,
1923,WCHL,SAC,VAM,2,1,1.0,
1987,NHL,DET,BOS,2,1,0.0,
1993,NHL,CAL,TOR,3,1,0.0,
2009,NHL,LAK,DAL,5,1,,0
1990,NHL,NYI,NYR,4,2,1.0,
2009,NHL,TBL,NAS,0,1,,0
1935,NHL,BOS,NYR,2,6,0.0,
1980,NHL,STL,CHI,2,1,1.0,
