year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1998,NHL,OTT,OTT,EC,NE,1,CQF,82,44,23,15.0,,103,,,239,179,Ottawa Senators,892,12,59,397,13,44,317,6
1914,NHA,TBS,TBS,,,4,,20,8,12,0.0,,16,,,66,84,Toronto Blueshirts,,,,,,,,
1989,NHL,PIT,PIT,WA,PT,5,,80,32,40,8.0,,72,,,318,359,Pittsburgh Penguins,2132,14,86,403,21,94,372,7
1992,NHL,WAS,WAS,WA,PT,2,DSF,84,43,34,7.0,,93,,,325,286,Washington Capitals,1709,14,97,445,8,74,433,10
2003,NHL,MTL,MTL,EC,NE,4,CSF,82,41,30,7.0,4,93,,,208,192,Montreal Canadiens,1039,16,55,319,6,55,314,5
1994,NHL,STL,STL,WC,CE,2,CQF,48,28,15,5.0,,61,,,178,135,St. Louis Blues,1077,16,36,220,2,46,233,7
1910,NHA,QU1,BKN,,,5,,16,4,12,0.0,,8,,,65,97,Quebec Bulldogs,,,,,,,,
1921,NHL,OTS,STE,,,1,NHLF,24,14,8,2.0,,30,,,106,84,Ottawa Senators,111,,,,,,,
1922,PCHA,VAM,VMR,,,1,SCSF,30,17,12,1.0,,35,,,116,88,Vancouver Maroons,,,,,,,,
2008,NHL,BUF,BUF,EC,NE,3,,82,41,32,,9,91,8,5,250,234,Buffalo Sabres,1121,16,75,358,5,61,336,7
1978,NHL,BOS,BOS,WA,AD,1,SF,80,43,23,14.0,,100,,,316,270,Boston Bruins,1222,20,59,249,9,72,285,6
1922,PCHA,SEA,SEA,,,3,,30,15,15,0.0,,30,,,100,106,Seattle Metropolitans,,,,,,,,
1974,NHL,NYI,NYI,CC,PT,3,SF,80,33,25,22.0,,88,,,264,221,New York Islanders,1116,2,51,273,7,55,340,11
1984,NHL,EDM,EDM,CC,SM,1,SC,80,49,20,11.0,,109,,,401,298,Edmonton Oilers,1567,12,74,293,5,76,353,25
1973,WHA,TOT,BIR,,EW,2,AVSF,78,41,33,4.0,,86,,,304,272,Toronto Toros,871,4,60,257,4,42,249,5
1946,NHL,BOS,BOS,,,3,SF,60,26,23,11.0,,63,,,190,175,Boston Bruins,463,,,,,,,
1998,NHL,BUF,BUF,EC,NE,4,F,82,37,28,17.0,,91,,,207,175,Buffalo Sabres,1561,16,49,363,7,55,399,6
1980,NHL,CHI,CHI,CC,SM,2,PRE,80,31,33,16.0,,78,,,304,315,Chicago Black Hawks,1660,30,67,302,9,91,364,8
1990,NHL,WIN,PHO,CC,SM,5,,80,26,43,11.0,,63,,,260,288,Winnipeg Jets,1675,10,74,381,12,57,351,8
1946,NHL,CHI,CHI,,,6,,60,19,37,4.0,,42,,,193,274,Chicago Black Hawks,474,,,,,,,
1997,NHL,PIT,PIT,EC,NE,1,CQF,82,40,24,18.0,,98,,,228,188,Pittsburgh Penguins,1225,10,67,407,16,46,338,11
1938,NHL,BOS,BOS,,,1,SC,48,36,10,2.0,,74,,,156,76,Boston Bruins,251,,,,,,,
1967,NHL,TOR,TOR,,ED,5,,74,33,31,10.0,,76,,,209,176,Toronto Maple Leafs,626,,33,231,8,28,230,6
1998,NHL,VAN,VAN,WC,NW,4,,82,23,47,12.0,,58,,,192,258,Vancouver Canucks,1764,16,57,358,9,77,450,17
1924,NHL,BOS,BOS,,,6,,30,6,24,0.0,,12,,,49,119,Boston Bruins,231,,,,,,,
1987,NHL,DET,DET,CC,NO,1,CF,80,41,28,11.0,,93,,,322,269,Detroit Red Wings,2391,22,72,383,8,73,453,20
1989,NHL,BUF,BUF,WA,AD,2,DSF,80,45,27,8.0,,98,,,286,248,Buffalo Sabres,1449,16,79,358,7,58,351,7
1932,NHL,NYR,NYR,,AM,3,SC,48,23,17,8.0,,54,,,135,107,New York Rangers,599,,,,,,,
1975,WHA,TOT,BIR,,CW,5,,81,24,52,5.0,,53,,,335,398,Toronto Toros,1099,,54,279,7,59,251,9
1916,NHA,MOW,MTW,,,6,,20,5,15,0.0,,10,,,94,137,Montreal Wanderers,,,,,,,,
2002,NHL,ATL,WPG,EC,SE,3,,82,31,39,7.0,5,74,,,226,284,Atlanta Thrashers,1253,26,64,371,14,65,355,8
