coachid,year,tmid,lgid,stint,notes,g,w,l,t,postg,postw,postl,postt
bassejo01c,1977,BIR,WHA,2,interim,3,0,3,0,,,,
francbo01c,2001,PHO,NHL,1,,82,40,33,9,5,1,4,0
mckenke01c,1925,EDE,WCHL,1,,30,19,11,0,2,0,1,1
keenami01c,1996,STL,NHL,1,,33,15,17,1,,,,
kellyre01c,1972,PIT,NHL,1,,42,17,19,6,,,,
hitchke01c,2003,PHI,NHL,1,,82,40,27,15,18,11,7,0
bouchgu01c,2011,TBL,NHL,1,,82,38,36,8,,,,
burnspa01c,2003,NJD,NHL,1,,82,43,27,12,5,1,4,0
macledo02c,1995,FLO,NHL,1,,82,41,31,10,22,12,10,0
vigneal01c,2008,VAN,NHL,1,,82,45,27,10,10,6,4,0
patrile01c,1914,VA1,PCHA,1,,17,4,13,0,,,,
paddojo01c,1994,WIN,NHL,1,,33,9,18,6,,,,
sutteda01c,2002,CAL,NHL,3,,46,19,19,8,,,,
barbebi01c,2001,PHI,NHL,1,,82,42,30,10,5,1,4,0
bowmasc01c,1993,DET,NHL,1,,84,46,30,8,7,3,4,0
nykolmi01c,1983,TOR,NHL,1,,80,26,45,9,,,,
watsoph01c,1957,NYR,NHL,1,,70,32,25,13,6,2,4,0
burnege01c,1994,EDM,NHL,1,,35,12,20,3,,,,
arboual01c,1978,NYI,NHL,1,,80,51,15,14,10,6,4,0
reaybi01c,1970,CHI,NHL,1,,78,49,20,9,18,11,7,0
livined01c,1915,TBS,NHA,1,,24,9,14,1,,,,
ramsacr01c,1986,BUF,NHL,2,,21,4,15,2,,,,
crozijo01c,1973,BUF,NHL,1,,78,32,34,12,,,,
savarde01c,2008,CHI,NHL,1,,4,1,2,1,,,,
sutteda01c,2001,SJS,NHL,1,,82,44,30,8,12,7,5,0
skinnji01c,1956,DET,NHL,1,,70,38,20,12,5,1,4,0
gordoja01c,1974,MNS,NHL,1,,38,11,22,5,,,,
patrile01c,1930,NYR,NHL,1,,44,19,16,9,4,2,2,0
ruelcl01c,1979,MTL,NHL,2,,50,32,11,7,10,6,4,0
gordoja01c,1972,MNS,NHL,1,,78,37,30,11,6,2,4,0
malonda01c,1986,WIN,NHL,1,,80,40,32,8,10,4,6,0
marshbe01c,1981,COR,NHL,1,,24,3,17,4,,,,
dudleri01c,1990,BUF,NHL,1,,80,31,30,19,6,2,4,0
brookhe01c,1982,NYR,NHL,1,,80,35,35,10,9,5,4,0
adamsja01c,1940,DET,NHL,1,,48,21,16,11,9,4,5,0
sathegl01c,1983,EDM,NHL,1,,80,57,18,5,19,15,4,0
murraan01c,2002,LAK,NHL,1,,82,33,43,6,,,,
gormato01c,1928,NYA,NHL,1,,44,19,13,12,2,0,1,1
sutteda01c,2011,LAK,NHL,3,,49,25,13,11,20,16,4,0
rossar01c,1942,BOS,NHL,1,,50,24,17,9,9,4,5,0
gardnji01c,1912,NWR,PCHA,1,,13,4,9,0,,,,
schoeji01c,1998,PHO,NHL,1,,82,39,31,12,7,3,4,0
quinnmi01c,1912,QU1,NHA,1,,20,16,4,0,,,,
bowmasc01c,1975,MTL,NHL,1,,80,58,11,11,13,12,1,0
mccarja01c,1974,MFS,WHA,2,interim,1,0,1,0,,,,
arboual01c,1983,NYI,NHL,1,,80,50,26,4,21,12,9,0
ruffli01c,2006,BUF,NHL,1,,82,53,22,7,16,9,7,0
berrybo01c,1992,STL,NHL,2,,73,33,30,10,11,7,4,0
vigneal01c,1997,MTL,NHL,1,,82,37,32,13,10,4,6,0
eddolfr01c,1954,CHI,NHL,1,,70,13,40,17,,,,
abelsi01c,1959,DET,NHL,1,,70,26,29,15,6,2,4,0
maxnewa01c,1981,DET,NHL,1,,69,18,39,12,,,,
murrate01c,1994,PHI,NHL,1,,48,28,16,4,15,10,5,0
neilsro01c,1980,BUF,NHL,1,,80,39,20,21,8,4,4,0
hullbo01c,1972,WIJ,WHA,1,,78,43,31,4,14,9,5,0
quennjo01c,2009,CHI,NHL,1,,82,52,22,8,22,16,6,0
murrate01c,2000,FLO,NHL,1,,36,6,23,7,,,,
neilsro01c,1993,FLO,NHL,1,,84,33,34,17,,,,
bouchge01c,1930,MTM,NHL,2,,12,6,5,1,2,0,2,0
saccojo01c,2010,COL,NHL,1,,82,30,44,8,,,,
