playerid,year,ppa,sha
hullbr01,1987,10,
bradlbr01,1990,10,
mckegto01,1990,7,
ysebapa01,1990,4,1
proppbr01,1989,9,
nichobe01,1989,37,1
kurveto01,1990,15,
dahlqch01,1990,,1
thibagi01,1989,2,
wellsja01,1989,3,2
carsoli01,1987,1,1
linseke01,1989,8,
bodgedo01,1988,25,1
robergo01,1987,3,
makelmi01,1989,1,
macdepa01,1989,2,
macivno01,1988,19,
donnemi01,1987,2,
rousebo01,1988,,1
dineego01,1988,2,
ciccadi01,1988,10,1
actonke01,1988,,1
huntema01,1990,4,
gartnmi01,1988,9,
huberwi01,1987,14,
murphla01,1988,22,
laughcr01,1987,3,
halwado01,1988,1,
bullami01,1988,13,
broteaa01,1990,1,
archida01,1989,4,
duguaro01,1987,2,
larsore01,1988,14,
kennede01,1988,,2
manthmo01,1988,9,
grahadi01,1987,7,1
wilsoca01,1988,19,
maclebr01,1988,8,
wilsoca01,1987,9,3
cyrpa01,1987,1,
hardyma01,1987,10,1
krushmi01,1990,3,
libaig01,1988,6,
lawlepa01,1987,3,
petitmi01,1990,16,
pederba01,1989,7,1
sanipev01,1989,2,
chrisda01,1989,7,
hrdinji01,1990,4,
klimape01,1989,11,
hunteda01,1987,1,4
tantito01,1989,9,
joycebo01,1989,3,
quinnda01,1990,18,
tuckejo01,1989,6,
sandsto01,1989,20,
petitmi01,1987,9,1
johanca01,1988,7,
iafraal01,1990,11,1
goulemi01,1989,15,1
zezelpe01,1988,17,
deblolu01,1990,,1
stastpe01,1989,23,
mckegto01,1989,3,
ruffli01,1988,1,
brownje02,1989,24,
ledyagr01,1987,5,
bassebo01,1988,,1
ramagro01,1987,19,2
playfla01,1988,,1
cunnera01,1989,4,
loisecl01,1990,1,1
skrikpe01,1990,5,
frasecu01,1987,2,
bennibr01,1989,5,
picarro02,1989,1,1
quinnda01,1989,15,1
brownro01,1990,10,
charbjo01,1988,1,
sheehne01,1987,1,
samueul01,1990,,2
murphla01,1990,19,
creigad01,1988,7,
franclo01,1990,1,1
smaildo01,1990,1,1
wilsoca01,1990,4,
gingrga01,1987,9,
carpebo01,1988,4,
pavesji01,1987,1,
simpscr01,1987,10,1
allismi01,1987,5,
norwole01,1990,3,
malondo01,1988,2,
courtru01,1988,2,
tantito01,1990,5,
ledyagr01,1988,6,
butchga01,1990,3,2
crossdo01,1990,21,
vaiveri01,1988,15,
mcdonhu01,1989,1,
kaspest01,1988,6,2
coxecr01,1987,1,
fentopa01,1990,2,
adamsgr01,1988,1,
mcintjo01,1990,,2
cullejo01,1990,29,
