coachid,award,year,lgid,note
vigneal01c,Jack Adams,2006,NHL,
nolante01c,Jack Adams,1996,NHL,
murrabr01c,Jack Adams,1983,NHL,
murdobo01c,Jack Adams,1989,NHL,
burnspa01c,Jack Adams,1992,NHL,
dayha01c,Second Team All-Star,1943,NHL,
irvindi01c,Second Team All-Star,1930,NHL,
suttebr01c,Jack Adams,1990,NHL,
cherrdo01c,Jack Adams,1975,NHL,
irvindi01c,Second Team All-Star,1940,NHL,
adamsja01c,First Team All-Star,1942,NHL,
hitchke01c,Jack Adams,2011,NHL,
adamsja01c,First Team All-Star,1936,NHL,
quinnpa01c,Jack Adams,1979,NHL,
crawfma01c,Jack Adams,1994,NHL,
quennjo01c,Jack Adams,1999,NHL,
tessior01c,Jack Adams,1982,NHL,
martija02c,Jack Adams,1998,NHL,
barbebi01c,Jack Adams,2000,NHL,
krommbo01c,Schmertz,1975,WHA,
harribi01c,Baldwin,1973,WHA,
burnspa01c,Jack Adams,1997,NHL,
quinnpa01c,Jack Adams,1991,NHL,
irvindi01c,First Team All-Star,1945,NHL,
juliecl01c,Jack Adams,2008,NHL,
wattto01c,Jack Adams,1981,NHL,
rossar01c,First Team All-Star,1938,NHL,
bowmasc01c,Jack Adams,1995,NHL,
lemaija01c,Jack Adams,2002,NHL,
patrile01c,First Team All-Star,1932,NHL,
dineebi01c,Schmertz,1976,WHA,
rossar01c,Second Team All-Star,1942,NHL,
thomppa01c,First Team All-Star,1939,NHL,
burnspa01c,Jack Adams,1988,NHL,
irvindi01c,Second Team All-Star,1931,NHL,
patrile01c,First Team All-Star,1933,NHL,
irvindi01c,First Team All-Star,1943,NHL,
duttore01c,Second Team All-Star,1938,NHL,
lemaija01c,Jack Adams,1993,NHL,
boudrbr01c,Jack Adams,2007,NHL,
irvindi01c,Second Team All-Star,1932,NHL,
patrile01c,First Team All-Star,1934,NHL,
kelleja01c,Baldwin,1972,WHA,
patrile01c,First Team All-Star,1931,NHL,
bouchfr01c,Second Team All-Star,1939,NHL,
irvindi01c,Second Team All-Star,1933,NHL,
weilaco01c,First Team All-Star,1940,NHL,
patrile01c,First Team All-Star,1937,NHL,
hartce01c,Second Team All-Star,1936,NHL,
huculsa01c,Schmertz,1974,WHA,
bowmasc01c,Jack Adams,1976,NHL,
francbo01c,Jack Adams,2001,NHL,
pulfobo01c,Jack Adams,1974,NHL,
keenami01c,Jack Adams,1984,NHL,
demerja01c,Jack Adams,1987,NHL,
arboual01c,Jack Adams,1978,NHL,
krommbo01c,Jack Adams,1977,NHL,
thomppa01c,Second Team All-Star,1941,NHL,
berenre01c,Jack Adams,1980,NHL,
gottsjo01c,Second Team All-Star,1945,NHL,
tortojo01c,Jack Adams,2003,NHL,
bouchfr01c,First Team All-Star,1941,NHL,
adamsja01c,Second Team All-Star,1944,NHL,
