year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1976,WHA,HOU,11,6,5,0,43,40,,,,,,,,
1984,NHL,STL,3,0,3,0,5,9,72,0,2,15,0,2,9,1
1972,WHA,HOU,10,4,6,0,26,30,,,9,27,1,5,45,1
1990,NHL,CAL,7,3,4,0,20,22,125,4,7,35,0,5,32,0
1977,NHL,CHI,4,0,4,0,9,19,33,0,4,15,0,4,9,0
1977,NHL,BOS,15,10,5,0,53,42,286,4,11,42,0,11,54,0
1973,WHA,WIJ,4,0,4,0,9,23,,,,,,,,
2011,NHL,CHI,6,2,4,0,12,17,89,0,1,19,0,4,19,0
1995,NHL,TBL,6,2,4,0,13,26,190,0,3,35,0,10,43,2
1993,NHL,BUF,7,3,4,0,14,14,157,0,4,38,0,6,32,0
1972,WHA,MFS,5,1,4,0,16,23,,,4,11,0,7,13,0
1924,NHL,MTL,2,2,0,0,5,2,17,,,,,,,
1957,NHL,NYR,6,2,4,0,16,28,85,,,,,,,
1976,NHL,CHI,2,0,2,0,3,7,19,0,3,7,0,1,7,0
2010,NHL,BUF,7,3,4,0,18,22,109,2,7,31,0,5,35,0
2010,NHL,NYR,5,1,4,0,8,13,62,4,1,20,0,3,16,0
1959,NHL,DET,6,2,4,0,16,20,45,,,,,,,
1995,NHL,BOS,5,1,4,0,16,22,147,0,7,27,0,5,30,2
1975,NHL,LAK,9,5,4,0,17,27,151,2,5,41,2,11,43,0
1994,NHL,NJD,20,16,4,0,67,34,227,2,18,72,2,10,74,1
2005,NHL,CAR,25,16,9,0,73,60,319,8,31,129,2,20,137,2
1993,NHL,DAL,9,5,4,0,27,28,149,4,10,49,1,7,41,0
1936,NHL,MTL,5,2,3,0,8,13,15,,,,,,,
1994,NHL,BOS,5,1,4,0,5,14,47,2,2,20,1,5,17,0
1976,WHA,WIJ,20,11,9,0,80,73,,,,,,,,
1984,NHL,NYR,3,0,3,0,10,14,76,0,4,11,0,5,16,0
1973,NHL,CHI,11,6,5,0,30,35,196,,9,,0,9,,0
1998,NHL,PHI,6,2,4,0,11,9,82,0,3,27,0,5,34,0
2010,NHL,BOS,25,16,9,0,81,53,396,4,10,88,1,15,96,4
2005,NHL,NJD,9,5,4,0,27,21,140,2,11,58,0,11,45,4
1985,NHL,NYI,3,0,3,0,4,11,84,0,1,11,0,3,13,0
1996,NHL,ANA,11,4,7,0,25,30,163,2,10,39,0,6,45,0
1974,WHA,TOT,6,2,4,0,27,29,,,,,,,,
1975,NHL,STL,3,1,2,0,8,7,54,0,2,14,1,0,13,1
1974,NHL,BUF,17,10,7,0,53,58,276,6,13,75,1,15,72,2
1980,NHL,STL,11,5,6,0,42,50,281,4,14,53,3,10,47,0
1973,WHA,CLC,5,1,4,0,9,18,,,,,,,,
1997,NHL,EDM,12,5,7,0,24,25,245,4,8,72,1,7,67,0
2007,NHL,NAS,6,2,4,0,12,17,68,2,2,23,1,3,26,0
1989,NHL,STL,12,7,5,0,42,44,432,2,16,62,3,12,70,1
2010,NHL,AND,6,2,4,0,20,22,109,0,8,22,0,6,27,1
1991,NHL,VAN,13,6,7,0,44,35,243,0,10,70,1,11,63,1
2009,NHL,BUF,6,2,4,0,15,16,114,2,0,19,0,6,22,0
1991,NHL,BUF,7,3,4,0,24,19,80,0,10,40,0,6,28,2
1996,NHL,NYR,15,9,6,0,36,35,218,2,10,64,1,14,68,1
2008,NHL,VAN,10,6,4,0,30,28,191,0,11,44,1,9,51,0
1991,NHL,STL,6,2,4,0,19,23,166,2,7,36,1,9,42,1
1972,NHL,BOS,5,1,4,0,11,22,66,,1,,0,4,,1
1977,NHL,DET,7,3,4,0,18,29,83,0,5,33,2,6,24,1
1977,WHA,HOU,6,2,4,0,16,29,,,,,,,,
1976,NHL,PHI,10,4,6,0,27,32,199,4,7,28,1,11,43,1
1999,NHL,DAL,23,14,9,0,52,46,291,4,15,93,5,12,102,2
2000,NHL,EDM,6,2,4,0,13,16,83,0,5,31,0,4,26,0
1999,NHL,STL,7,3,4,0,22,20,114,0,8,39,1,6,35,0
1956,NHL,MTL,10,8,2,0,37,18,122,,,,,,,
1937,NHL,NYA,6,3,3,0,13,12,42,,,,,,,
1973,NHL,MTL,6,2,4,0,17,21,91,,2,,0,3,,0
1916,NHA,MOC,2,1,1,0,7,6,,,,,,,,
1984,NHL,CHI,15,9,6,0,81,81,443,4,18,76,3,17,79,1
1972,WHA,CLC,9,5,4,0,33,22,,,9,39,0,8,55,1
1982,NHL,MNS,9,4,5,0,34,40,192,4,12,42,2,10,42,0
1934,NHL,BOS,4,1,3,0,2,7,25,,,,,,,
1920,NHL,OTS,2,2,0,0,7,0,31,,,,,,,
1927,NHL,MTL,2,0,1,1,2,3,35,,,,,,,
1988,NHL,WAS,6,2,4,0,19,25,155,0,9,43,,9,34,1
1981,NHL,EDM,5,2,3,0,23,27,178,2,3,18,0,9,26,3
2006,NHL,DAL,7,3,4,0,12,13,104,4,4,40,0,3,38,0
1969,NHL,NYR,6,2,4,0,16,25,169,,7,,2,6,,0
2011,NHL,BOS,7,3,4,0,15,16,52,0,2,23,0,3,19,0
1992,NHL,CHI,4,0,4,0,6,13,74,2,1,24,1,7,25,0
2011,NHL,NJD,24,14,10,0,59,58,248,0,13,85,2,22,82,1
1928,NHL,NYR,6,3,2,1,5,5,64,,,,,,,
1991,NHL,NJD,7,3,4,0,25,28,177,4,5,29,4,9,35,1
1952,NHL,MTL,12,8,4,0,34,23,118,,,,,,,
1991,NHL,WAS,7,3,4,0,27,25,139,0,7,37,1,11,34,1
1918,NHL,MTL,5,4,1,0,26,18,87,,,,,,,
2002,NHL,WAS,6,2,4,0,15,14,88,4,5,27,1,4,27,0
1996,NHL,CHI,6,2,4,0,14,28,160,0,1,27,0,12,45,2
1942,NHL,MTL,5,1,4,0,17,18,50,,,,,,,
1983,NHL,PHI,3,0,3,0,5,15,126,0,1,7,0,3,11,0
1982,NHL,QUE,4,1,3,0,8,11,117,0,2,12,0,3,24,1
2009,NHL,NAS,6,2,4,0,15,17,52,4,1,27,1,4,23,1
1981,NHL,PIT,5,2,3,0,13,22,112,2,3,25,0,4,21,0
1989,NHL,NJD,6,2,4,0,18,21,225,2,5,31,0,4,29,1
1984,NHL,WIN,8,3,5,0,26,35,194,2,10,40,5,9,33,4
1984,NHL,MNS,9,5,4,0,38,38,258,0,12,44,1,6,47,1
1930,NHL,MTM,2,0,2,0,1,8,28,,,,,,,
1983,NHL,BOS,3,0,3,0,2,10,77,0,1,13,0,2,12,0
1977,NHL,PHI,12,7,5,0,37,35,245,2,9,30,0,7,37,0
1996,NHL,EDM,12,5,7,0,32,37,204,0,8,55,1,10,61,3
1957,NHL,DET,4,0,4,0,6,19,68,,,,,,,
1940,NHL,NYR,3,1,2,0,6,6,41,,,,,,,
1982,NHL,CAL,9,4,5,0,30,49,317,2,9,45,5,8,43,2
1936,NHL,NYR,9,6,3,0,18,10,68,,,,,,,
1931,NHL,TOR,7,5,1,1,28,15,95,,,,,,,
1983,NHL,CAL,11,6,5,0,41,46,224,2,10,53,2,11,49,3
1977,NHL,TOR,13,6,7,0,33,32,265,4,7,44,0,7,51,0
1935,NHL,DET,7,6,1,0,24,12,36,,,,,,,
1921,WCHL,EDE,2,0,1,1,2,3,,,,,,,,
1938,NHL,NYA,2,0,2,0,0,6,50,,,,,,,
1974,WHA,HOU,13,12,1,0,61,26,,,,,,,,
1996,NHL,OTT,7,3,4,0,13,14,91,2,7,35,1,2,27,0
2010,NHL,MTL,7,3,4,0,17,17,54,4,6,27,0,0,21,1
1978,WHA,EDO,13,6,7,0,61,50,,,,,,,,
1952,NHL,BOS,11,5,6,0,30,37,109,,,,,,,
1980,NHL,TOR,3,0,3,0,4,20,56,4,1,12,2,6,16,0
1974,NHL,LAK,3,1,2,0,6,7,82,0,2,9,0,0,9,0
1974,WHA,QUN,15,8,7,0,55,48,,,,,,,,
1921,NHL,TRS,2,1,0,1,5,4,28,,,,,,,
1978,NHL,TOR,6,2,4,0,19,24,192,0,3,19,0,9,30,1
1993,NHL,SJS,14,7,7,0,42,53,224,6,9,74,5,13,61,2
1926,NHL,NYR,2,0,1,1,1,3,36,,,,,,,
1960,NHL,CHI,12,8,4,0,35,27,162,,,,,,,
1933,NHL,TOR,5,2,3,0,12,11,67,,,,,,,
1995,NHL,MTL,6,2,4,0,17,19,72,2,3,31,1,8,31,2
1947,NHL,DET,10,4,6,0,24,30,116,,,,,,,
