statusid,status
1,Завершено
2,Дисквалифицированные
3,Несчастный случай
6,Коробка передач
7,Передача
8,Сцепление
10,Электротехническое оборудование
13,+3 лапы
16,+6 лап
17,+7 лапы
19,+9 лап
20,Отскочила.
21,Радиатор
22,Приостановление действия
23,Тормозные системы
24,Дифференциальные
26,Механическая
29,Прокол
30,Водитель
31,Выбыли в отставку
33,Переднее крыло
34,Давление воды
36,Колесо
38,Рулевое управление
40,Электроника
50,+17 Лапы
51,Давление масла
53,+13 лапы
54,Снято
55,+12 лапы
56,Пожар двигателя
58,+26 лап
59,Прокол шины
61,Колесный орех
64,Обработка
65,Заднее крыло
66,Огонь
67,Колесный подшипник
70,Нефтяная линия
75,Потеря мощности
77,107% Правило
79,Водитель
82,Увечье
83,Шасси
84,Аккумуляторная батарея
88,+10 лапы
90,Не возобновляется
91,Переносчик
92,Пониженный вес
93,Ремень безопасности
94,Нефтяной насос
96,Исключено
97,Не проходил предквалификационный отбор
98,Инжекторное впрыскивание
100,Водитель нездоров
102,Косяк CV
103,Водонасыщенный насос
105,Свечи зажигания
108,Нефтяная труба
114,+18 Лапы
119,+23 лапы
120,+21 лап
124,+19 лап
126,Сверхзарядное устройство
127,+20 лап
128,+42 лапы
129,Пропуск зажигания в двигателе
131,Мощность
132,ERS
133,+49 лап
134,+38 лапы
135,Тормозной трубопровод
