constructorstandingsid,raceid,constructorid,points,position,positiontext,wins
623,77,9,19.0,6,6,0
729,87,18,7.0,10,10,0
3265,290,25,2.0,4,4,0
3483,304,3,164.0,1,1,10
5058,242,1,6.0,4,4,0
5196,252,18,0.0,10,10,0
5249,256,29,5.0,8,8,0
5576,187,1,108.0,1,1,6
6011,111,4,26.0,3,3,0
6088,119,1,103.0,3,3,2
7650,322,21,0.0,9,9,0
8381,313,6,33.0,3,3,0
8432,315,27,0.0,14,14,0
8848,359,44,0.0,20,20,0
9971,424,32,31.0,2,2,2
10321,442,4,21.0,3,3,0
10328,442,53,5.0,8,8,0
10442,449,21,6.0,9,9,0
10545,456,6,25.0,1,1,1
10626,461,32,4.0,8,8,0
10902,477,1,54.0,1,1,4
18906,763,170,38.0,1,1,4
19323,738,167,0.0,5,5,0
19565,734,176,0.0,10,10,0
19858,724,95,4.0,6,6,0
19881,725,86,0.0,13,13,0
20445,705,186,0.0,12,12,0
20697,696,192,0.0,11,11,0
20899,689,170,6.0,9,9,0
20927,667,66,0.0,12,12,0
20979,671,180,29.0,1,1,3
21071,677,6,32.0,4,4,1
21736,638,63,5.0,8,8,0
22131,613,34,12.0,4,4,0
22967,566,56,2.0,12,12,0
23002,568,32,6.0,7,7,0
23017,569,25,49.0,2,2,1
23396,558,6,89.0,1,1,4
23407,558,69,0.0,20,20,0
23670,539,57,0.0,16,16,0
24093,519,25,17.0,4,4,0
24175,523,51,0.0,15,15,0
24438,351,9,383.0,1,1,6
24440,351,10,60.0,6,6,0
24587,845,164,0.0,12,12,0
25001,871,207,0.0,10,10,0
25303,895,131,287.0,3,3,3
25328,897,5,32.0,8,8,0
25437,218,17,25.0,5,5,0
25550,259,27,0.0,12,12,0
25687,269,32,0.0,12,12,0
25754,37,12,0.0,10,10,0
25837,45,7,9.0,6,6,0
26023,908,10,91.0,5,5,0
26167,928,208,6.0,8,8,0
26185,930,5,14.0,7,7,0
26199,932,131,285.0,1,1,6
26501,953,209,0.0,11,11,0
26507,954,10,42.0,5,5,0
26818,977,5,33.0,6,6,0
