raceid,driverid,lap,position,time,milliseconds
89,23,37,2,1:34.854,94854
104,14,43,6,1:23.647,83647
44,3,11,12,1:24.179,84179
928,831,26,10,1:45.359,105359
354,153,12,12,1:18.501,78501
102,17,22,11,1:23.538,83538
113,42,59,9,1:12.201,72201
149,57,18,5,1:21.220,81220
846,10,24,21,1:23.237,83237
849,30,34,12,1:37.034,97034
17,5,43,11,1:42.763,102763
211,79,17,9,2:02.532,122532
23,2,38,17,1:32.423,92423
844,816,20,21,1:36.840,96840
957,4,44,13,1:36.744,96744
179,44,22,21,1:27.541,87541
108,50,39,13,1:36.866,96866
861,813,53,10,1:42.282,102282
878,807,35,8,1:41.961,101961
850,10,25,18,1:40.143,100143
117,4,17,4,1:17.637,77637
205,30,67,2,1:21.219,81219
181,64,6,11,1:22.720,82720
870,815,45,11,1:28.794,88794
89,35,17,14,1:35.384,95384
133,13,53,9,1:25.682,85682
128,35,29,12,1:24.274,84274
841,16,43,11,1:31.971,91971
204,71,51,6,1:26.988,86988
61,8,32,2,1:17.261,77261
65,9,3,16,1:42.121,102121
130,31,32,2,1:20.647,80647
352,4,45,3,1:34.993,94993
56,13,8,3,1:26.160,86160
945,815,47,5,1:47.795,107795
18,6,51,9,1:30.273,90273
