raceid,year,round,circuitid,name,date,time,url
25,2008,8,8,Гран-при Франции,2008-06-22,12:00:00,http://en.wikipedia.org/wiki/2008_French_Grand_Prix
31,2008,14,14,Гран-при Италии,2008-09-14,12:00:00,http://en.wikipedia.org/wiki/2008_Italian_Grand_Prix
91,2004,2,2,Гран-при Малайзии,2004-03-21,,http://en.wikipedia.org/wiki/2004_Малайзиян_Grand_Prix
96,2004,7,20,Европейский Гран-при,2004-05-30,,http://en.wikipedia.org/wiki/2004_European_Grand_Prix
148,2001,8,7,Гран-при Канады,2001-06-10,,http://en.wikipedia.org/wiki/2001_Canadian_Grand_Prix
170,2000,13,13,Гран-при Бельгии,2000-08-27,,http://en.wikipedia.org/wiki/2000_Belgian_Grand_Prix
181,1999,7,8,Гран-при Франции,1999-06-27,,http://en.wikipedia.org/wiki/1999_French_Grand_Prix
274,1993,2,18,Гран-при Бразилии,1993-03-28,,http://en.wikipedia.org/wiki/1993_Brazilian_Grand_Prix
321,1990,1,33,Гран-при Соединенных Штатов,1990-03-11,,http://en.wikipedia.org/wiki/1990_United_ States_Grand_Prix
359,1989,4,32,Гран-при Мексики,1989-05-28,,http://en.wikipedia.org/wiki/1989_Mexican_Grand_Prix
360,1989,5,33,Гран-при Соединенных Штатов,1989-06-04,,http://en.wikipedia.org/wiki/1989_United_ States_Grand_Prix
361,1989,6,7,Гран-при Канады,1989-06-18,,http://en.wikipedia.org/wiki/1989_Canadian_Grand_Prix
388,1987,1,36,Гран-при Бразилии,1987-04-12,,http://en.wikipedia.org/wiki/1987_Brazilian_Grand_Prix
393,1987,6,34,Гран-при Франции,1987-07-05,,http://en.wikipedia.org/wiki/1987_French_Grand_Prix
434,1985,15,30,Гран-при Южной Африки,1985-10-19,,http://en.wikipedia.org/wiki/1985_South_African_Grand_Prix
445,1984,10,38,Гран-при Великобритании,1984-07-22,,http://en.wikipedia.org/wiki/1984_British_Grand_Prix
449,1984,14,14,Гран-при Италии,1984-09-09,,http://en.wikipedia.org/wiki/1984_Italian_Grand_Prix
517,1979,6,40,Гран-при Бельгии,1979-05-13,,http://en.wikipedia.org/wiki/1979_Belgian_Grand_Prix
565,1976,6,6,Гран-при Монако,1976-05-30,,http://en.wikipedia.org/wiki/1976_Monaco_Grand_Prix
591,1974,2,18,Гран-при Бразилии,1974-01-27,,http://en.wikipedia.org/wiki/1974_Brazilian_Grand_Prix
611,1973,7,47,Шведский Гран-при,1973-06-17,,http://en.wikipedia.org/wiki/1973_Swedish_Grand_Prix
645,1970,3,6,Гран-при Монако,1970-05-10,,http://en.wikipedia.org/wiki/1970_Monaco_Grand_Prix
660,1969,5,51,Гран-при Франции,1969-07-06,,http://en.wikipedia.org/wiki/1969_French_Grand_Prix
661,1969,6,9,Гран-при Великобритании,1969-07-19,,http://en.wikipedia.org/wiki/1969_British_Grand_Prix
662,1969,7,20,Гран-при Германии,1969-08-03,,http://en.wikipedia.org/wiki/1969_nerman_Grand_Prix
663,1969,8,14,Гран-при Италии,1969-09-07,,http://en.wikipedia.org/wiki/1969_Italian_Grand_Prix
685,1967,7,20,Гран-при Германии,1967-08-06,,http://en.wikipedia.org/wiki/1967_nerman_Grand_Prix
700,1965,2,6,Гран-при Монако,1965-05-30,,http://en.wikipedia.org/wiki/1965_Monaco_Grand_Prix
703,1965,5,9,Гран-при Великобритании,1965-07-10,,http://en.wikipedia.org/wiki/1965_British_Grand_Prix
738,1961,1,6,Гран-при Монако,1961-05-14,,http://en.wikipedia.org/wiki/1961_Monaco_Grand_Prix
745,1961,8,46,Гран-при Соединенных Штатов,1961-10-08,,http://en.wikipedia.org/wiki/1961_United_ States_Grand_Prix
787,1956,4,13,Гран-при Бельгии,1956-06-03,,http://en.wikipedia.org/wiki/1956_Belgian_Grand_Prix
789,1956,6,9,Гран-при Великобритании,1956-07-14,,http://en.wikipedia.org/wiki/1956_British_Grand_Prix
792,1955,1,25,Гран-при Аргентины,1955-01-16,,http://en.wikipedia.org/wiki/1955_argentine_Grand_Prix
854,2011,14,15,Гран-при Сингапура,2011-09-25,12:00:00,http://en.wikipedia.org/wiki/2011_Сингапур_Grand_Prix
891,2013,11,13,Гран-при Бельгии,2013-08-25,12:00:00,http://en.wikipedia.org/wiki/2013_Belgian_Grand_Prix
903,2014,4,17,Гран-при Китая,2014-04-20,07:00:00,http://en.wikipedia.org/wiki/2014_china_Grand_Prix
908,2014,9,9,Гран-при Великобритании,2014-07-06,12:00:00,http://en.wikipedia.org/wiki/2014_British_Grand_Prix
975,2017,7,7,Гран-при Канады,2017-06-11,18:00:00,https://en.wikipedia.org/wiki/2017_Canadian_Grand_Prix
985,2017,17,69,Гран-при Соединенных Штатов,2017-10-22,19:00:00,https://en.wikipedia.org/wiki/2017_United_ States_Grand_Prix
