statement_no,member_no,statement_dt,due_dt,statement_amt,statement_code
1879,1879,1999-08-13T00:00:00,1999-09-02T00:00:00,1533.0,
2353,2353,1999-08-13T00:00:00,1999-09-02T00:00:00,8507.0,
3064,3064,1999-08-13T00:00:00,1999-09-02T00:00:00,9818.0,
3070,3070,1999-08-13T00:00:00,1999-09-02T00:00:00,8939.0,
4423,4423,1999-08-13T00:00:00,1999-09-02T00:00:00,8333.0,
4688,4688,1999-08-13T00:00:00,1999-09-02T00:00:00,8888.0,
5068,5068,1999-08-13T00:00:00,1999-09-02T00:00:00,24987.0,
5435,5435,1999-08-13T00:00:00,1999-09-02T00:00:00,7712.0,
6019,6019,1999-08-13T00:00:00,1999-09-02T00:00:00,18960.0,
6167,6167,1999-08-13T00:00:00,1999-09-02T00:00:00,14384.0,
6508,6508,1999-08-13T00:00:00,1999-09-02T00:00:00,6076.0,
6628,6628,1999-08-13T00:00:00,1999-09-02T00:00:00,21951.0,
6685,6685,1999-08-13T00:00:00,1999-09-02T00:00:00,17100.0,
6704,6704,1999-08-13T00:00:00,1999-09-02T00:00:00,22719.0,
6742,6742,1999-08-13T00:00:00,1999-09-02T00:00:00,7907.0,
6798,6798,1999-08-13T00:00:00,1999-09-02T00:00:00,15637.0,
6835,6835,1999-08-13T00:00:00,1999-09-02T00:00:00,24283.0,
7227,7227,1999-08-13T00:00:00,1999-09-02T00:00:00,23541.0,
7321,7321,1999-08-13T00:00:00,1999-09-02T00:00:00,30530.0,
7332,7332,1999-08-13T00:00:00,1999-09-02T00:00:00,29649.0,
7365,7365,1999-08-13T00:00:00,1999-09-02T00:00:00,13363.0,
7403,7403,1999-08-13T00:00:00,1999-09-02T00:00:00,9363.0,
7531,7531,1999-08-13T00:00:00,1999-09-02T00:00:00,23634.0,
7577,7577,1999-08-13T00:00:00,1999-09-02T00:00:00,16962.0,
7591,7591,1999-08-13T00:00:00,1999-09-02T00:00:00,12112.0,
7672,7672,1999-08-13T00:00:00,1999-09-02T00:00:00,18798.0,
7808,7808,1999-08-13T00:00:00,1999-09-02T00:00:00,13492.0,
7845,7845,1999-08-13T00:00:00,1999-09-02T00:00:00,8935.0,
7894,7894,1999-08-13T00:00:00,1999-09-02T00:00:00,28280.0,
8023,8023,1999-08-13T00:00:00,1999-09-02T00:00:00,23458.0,
8196,8196,1999-08-13T00:00:00,1999-09-02T00:00:00,31027.0,
8325,8325,1999-08-13T00:00:00,1999-09-02T00:00:00,20341.0,
8634,8634,1999-08-13T00:00:00,1999-09-02T00:00:00,41953.0,
8645,8645,1999-08-13T00:00:00,1999-09-02T00:00:00,15563.0,
8677,8677,1999-08-13T00:00:00,1999-09-02T00:00:00,23153.0,
8765,8765,1999-08-13T00:00:00,1999-09-02T00:00:00,30265.0,
8794,8794,1999-08-13T00:00:00,1999-09-02T00:00:00,27457.0,
8808,8808,1999-08-13T00:00:00,1999-09-02T00:00:00,29107.0,
8872,8872,1999-08-13T00:00:00,1999-09-02T00:00:00,30832.0,
8880,8880,1999-08-13T00:00:00,1999-09-02T00:00:00,18372.0,
8894,8894,1999-08-13T00:00:00,1999-09-02T00:00:00,12557.0,
8962,8962,1999-08-13T00:00:00,1999-09-02T00:00:00,16570.0,
9032,9032,1999-08-13T00:00:00,1999-09-02T00:00:00,28665.0,
9054,9054,1999-08-13T00:00:00,1999-09-02T00:00:00,19588.0,
9086,9086,1999-08-13T00:00:00,1999-09-02T00:00:00,30487.0,
9152,9152,1999-08-13T00:00:00,1999-09-02T00:00:00,18247.0,
9153,9153,1999-08-13T00:00:00,1999-09-02T00:00:00,29843.0,
9370,9370,1999-08-13T00:00:00,1999-09-02T00:00:00,32352.0,
9414,9414,1999-08-13T00:00:00,1999-09-02T00:00:00,48016.0,
9484,9484,1999-08-13T00:00:00,1999-09-02T00:00:00,50250.0,
9509,9509,1999-08-13T00:00:00,1999-09-02T00:00:00,29315.0,
9557,9557,1999-08-13T00:00:00,1999-09-02T00:00:00,37537.0,
9726,9726,1999-08-13T00:00:00,1999-09-02T00:00:00,48780.0,
9753,9753,1999-08-13T00:00:00,1999-09-02T00:00:00,29688.0,
9774,9774,1999-08-13T00:00:00,1999-09-02T00:00:00,41102.0,
9841,9841,1999-08-13T00:00:00,1999-09-02T00:00:00,69127.0,
9962,9962,1999-08-13T00:00:00,1999-09-02T00:00:00,64390.0,
14463,4463,1999-09-13T00:00:00,1999-10-03T00:00:00,2753.0,
14721,4721,1999-09-13T00:00:00,1999-10-03T00:00:00,1698.0,
15038,5038,1999-09-13T00:00:00,1999-10-03T00:00:00,5913.0,
15304,5304,1999-09-13T00:00:00,1999-10-03T00:00:00,9414.0,
15367,5367,1999-09-13T00:00:00,1999-10-03T00:00:00,14130.0,
15716,5716,1999-09-13T00:00:00,1999-10-03T00:00:00,5313.0,
16237,6237,1999-09-13T00:00:00,1999-10-03T00:00:00,11924.0,
17888,7888,1999-09-13T00:00:00,1999-10-03T00:00:00,18466.0,
18209,8209,1999-09-13T00:00:00,1999-10-03T00:00:00,18404.0,
18264,8264,1999-09-13T00:00:00,1999-10-03T00:00:00,4133.0,
18324,8324,1999-09-13T00:00:00,1999-10-03T00:00:00,17652.0,
18596,8596,1999-09-13T00:00:00,1999-10-03T00:00:00,21675.0,
18870,8870,1999-09-13T00:00:00,1999-10-03T00:00:00,22287.0,
18951,8951,1999-09-13T00:00:00,1999-10-03T00:00:00,9546.0,
19102,9102,1999-09-13T00:00:00,1999-10-03T00:00:00,13319.0,
19259,9259,1999-09-13T00:00:00,1999-10-03T00:00:00,19724.0,
19338,9338,1999-09-13T00:00:00,1999-10-03T00:00:00,19670.0,
19811,9811,1999-09-13T00:00:00,1999-10-03T00:00:00,19794.0,
19825,9825,1999-09-13T00:00:00,1999-10-03T00:00:00,23631.0,
19837,9837,1999-09-13T00:00:00,1999-10-03T00:00:00,25576.0,
19922,9922,1999-09-13T00:00:00,1999-10-03T00:00:00,24374.0,
19930,9930,1999-09-13T00:00:00,1999-10-03T00:00:00,26899.0,
17467,7467,1999-09-13T00:00:00,1999-10-03T00:00:00,4839.0,
1392,1392,1999-08-13T00:00:00,1999-09-02T00:00:00,0.0,
18300,8300,1999-09-13T00:00:00,1999-10-03T00:00:00,19741.0,
1336,1336,1999-08-13T00:00:00,1999-09-02T00:00:00,0.0,
17315,7315,1999-09-13T00:00:00,1999-10-03T00:00:00,14647.0,
13295,3295,1999-09-13T00:00:00,1999-10-03T00:00:00,8387.0,
