season,slot,strongseed,weakseed
2003,R1W1,W01,W16
2007,R1W1,W01,W16
2008,R1W1,W01,W16
2009,R1W1,W01,W16
2010,R1W1,W01,W16
2011,R1W1,W01,W16
2012,R1W1,W01,W16
2013,R1W1,W01,W16
2014,R1W1,W01,W16
2003,R1W2,W02,W15
2007,R1W2,W02,W15
2008,R1W2,W02,W15
2009,R1W2,W02,W15
2010,R1W2,W02,W15
2011,R1W2,W02,W15
2012,R1W2,W02,W15
2013,R1W2,W02,W15
2014,R1W2,W02,W15
2003,R1W3,W03,W14
2007,R1W3,W03,W14
2008,R1W3,W03,W14
2009,R1W3,W03,W14
2010,R1W3,W03,W14
2011,R1W3,W03,W14
2012,R1W3,W03,W14
2013,R1W3,W03,W14
2014,R1W3,W03,W14
2003,R1W4,W04,W13
2007,R1W4,W04,W13
2008,R1W4,W04,W13
2009,R1W4,W04,W13
2010,R1W4,W04,W13
2011,R1W4,W04,W13
2012,R1W4,W04,W13
2013,R1W4,W04,W13
2014,R1W4,W04,W13
