season,daynum,wteam,wscore,lteam,lscore,wloc,numot,wfgm,wfga,wfgm3,wfga3,wftm,wfta,wor,wdr,wast,wto,wstl,wblk,wpf,lfgm,lfga,lfgm3,lfga3,lftm,lfta,lor,ldr,last,lto,lstl,lblk,lpf
2013,87,1285,81,1340,68,A,0,28,50,6,13,19,23,3,20,18,6,8,2,15,26,55,4,13,12,15,10,22,11,12,0,3,13
2009,117,1164,79,1271,57,H,0,27,55,11,27,14,17,9,20,17,8,10,1,15,20,57,5,21,12,22,21,20,6,16,5,0,18
2006,87,1352,73,1284,65,H,0,28,70,11,27,6,10,20,23,15,14,8,2,12,26,54,9,23,4,7,6,25,14,16,6,4,14
2006,33,1176,69,1286,66,H,0,21,45,3,6,24,29,12,25,16,20,6,4,16,25,55,8,24,8,12,7,16,15,14,9,1,22
2011,100,1458,62,1234,59,A,1,24,68,8,29,6,7,16,26,19,8,3,4,11,25,60,1,7,8,9,10,29,14,10,4,4,10
2009,93,1393,74,1452,61,H,0,29,62,3,14,13,17,16,30,15,15,8,6,14,24,67,7,27,6,10,15,20,18,13,10,4,19
2004,72,1123,90,1141,75,H,0,33,59,6,10,18,26,8,30,19,14,7,1,22,25,61,6,21,19,23,9,21,19,13,5,0,24
2011,37,1179,58,1185,54,A,0,21,46,3,11,13,17,3,25,8,8,8,1,21,17,48,3,17,17,24,9,24,11,12,3,3,14
2004,82,1455,86,1191,66,A,0,27,55,12,19,20,29,14,29,15,15,6,3,22,20,57,5,22,21,26,9,21,12,11,2,4,24
2009,61,1350,74,1349,43,H,0,28,55,13,27,5,10,9,25,18,14,9,3,17,14,42,3,8,12,17,6,20,8,20,7,2,12
2005,110,1228,75,1234,65,A,0,26,54,5,15,18,23,8,13,12,10,8,1,18,20,43,4,11,21,26,13,23,13,21,5,1,19
2012,93,1426,67,1427,66,H,0,21,52,8,20,17,25,15,31,12,23,10,3,20,23,62,5,22,15,20,12,21,12,15,15,3,23
2008,123,1362,79,1258,60,N,0,30,56,3,9,16,19,8,31,10,11,2,5,22,19,58,8,21,14,24,14,20,11,15,6,3,17
2013,91,1380,78,1238,58,H,0,27,55,11,24,13,16,5,39,15,7,3,7,18,19,69,4,22,16,24,16,24,5,8,4,0,16
2003,110,1273,69,1416,66,A,0,23,53,6,13,17,24,14,31,12,17,4,3,17,25,62,5,16,11,13,8,21,12,7,7,1,19
2009,60,1110,68,1135,53,H,0,25,46,9,18,9,14,2,26,17,8,4,6,22,16,46,6,20,15,20,3,20,13,9,1,2,17
2012,80,1312,85,1223,62,H,0,27,59,10,18,21,26,11,25,18,12,9,5,20,19,57,9,21,15,22,14,19,14,17,8,3,23
2004,47,1279,66,1419,64,H,0,25,52,7,26,9,16,8,24,18,16,12,1,18,22,54,6,14,14,18,10,21,7,19,11,0,18
2014,117,1214,61,1313,53,H,0,21,56,5,19,14,23,11,19,8,16,12,4,16,19,44,3,11,12,20,9,26,11,25,3,2,19
