playerid,schoolid,yearmin,yearmax
torveke01,oralrob,1979,1981
hudekjo01,flsouthern,1987,1988
loospe01,ursinus,1897,1900
zapusjo01,fordham,1930,1933
stillro01,usc,1959,1961
olsongr02,minnesota,1980,1982
draketo01,troyst,1931,1935
bruneja01,iowa,1946,1949
ferrabi01,florida,1933,1935
crabtti01,michiganst,1990,1992
tynerja01,texasam,1996,1998
maypi01,indiana,1930,1932
barneep01,colgate,1919,1922
howarfr02,maine,1975,1975
kopfla01,fordham,1910,1913
choatra01,floridast,1995,1997
roberra01,missst,1914,1919
friscfr01,fordham,1917,1919
loftufr01,stbonny,1920,1921
stearjo01,colorado,1971,1973
loftoke01,arizona,1988,1988
georggr01,oglethrpga,1932,1933
coombda01,setonhall,1961,1962
howrybo01,mcneese,1994,1994
magruch01,washington,1996,1998
gilbebu01,tennessee,1954,1954
pondar01,vermont,1891,1892
swanru01,texasam,1985,1986
lollash01,pittsbst,1942,1943
belleal01,lsu,1985,1987
szotkke01,georgiasou,1966,1968
sextoch01,miamioh,1990,1993
rhielbi01,newberry,1924,1925
youngja01,stanford,1998,2000
gilbema01,floridast,1975,1978
sundbji01,iowa,1970,1972
toddal01,mansfield,1921,1927
daleca01,winthrop,1992,1994
winteje01,tarletonst,1913,1915
smithch06,indianast,1991,1991
mcilvir01,pennst,1903,1906
woodsp01,wofford,1928,1928
ablesha01,swesterntx,1903,1904
riggaje01,sandiegost,1995,1996
barrore01,gatech,1919,1922
rowlami01,millikin,1972,1975
pilnean01,notredame,1934,1936
lepcite01,setonhall,1948,1951
philled03,colbyme,1964,1966
doschja01,fordham,1899,1903
bonnebo01,texasam,1975,1978
briscjo01,txchrist,1987,1988
terrysc01,swesterntx,1978,1980
pagelka01,texas,1976,1976
osterre01,swesterntx,1915,1921
fenneho01,kalamazoo,1916,1917
gaddyjo01,wake,1933,1936
esposmi01,arizonast,2000,2002
smithji02,longbeach,1974,1976
pearcjo01,arizona,1997,1999
gainene01,navy,1918,1921
murtoma01,gatech,2001,2003
brodema01,niagara,1897,1902
dowlida01,california,1962,1963
mcgehke01,latech,1988,1990
crometr01,scarolina,1987,1989
wardpe01,lewclarkor,1956,1958
mckayco01,arizonast,1993,1996
haughch01,fordham,1943,1943
acrema01,nmstate,1989,1991
gordojo01,oregon,1933,1935
dowdsn01,lehigh,1916,1918
roonepa01,eillinois,1976,1978
switzjo01,arizonast,1999,2001
florera01,usc,1994,1997
smithre02,auburn,1908,1909
devench01,harvard,1929,1932
lawsoro01,iawesleyan,1925,1925
wolfra02,pepperdine,1995,1997
alderda01,upperiowa,1939,1942
lunsftr01,txtech,1999,2000
abbotky01,longbeach,1989,1989
ojedaau01,tennessee,1996,1996
johnske03,olemiss,1990,1992
jeffcge01,scarolina,1933,1933
seminfr01,columbia,1986,1988
whitmda01,calstfull,1977,1978
neigeal01,delaware,1958,1959
pelaeal01,sandiegost,1997,1998
powelja04,missst,1991,1993
bacsimi01,trinitytx,1971,1973
knowlda01,missouri,1960,1960
lunddo01,michigan,1943,1945
kennete02,floridast,1975,1977
bolicfr01,gatech,1986,1987
lefebjo01,eckerd,1976,1977
quinnma01,rice,1994,1995
whitebi03,hiramoh,1952,1952
howarch01,ulala,1988,1988
newhada01,pepperdine,1994,1995
beckri01,gonzaga,1961,1962
chismto01,widenerpa,1973,1974
greento02,georgiasou,1990,1993
walrole01,kansas,1996,1998
mcdanli01,oklahoma,1955,1955
reynosh01,texas,1989,1989
goodwda01,southernu,1972,1975
harribu03,miamifl,1967,1968
southcl01,iowast,1905,1911
straijo01,ncolorado,1973,1976
babinch01,brown,1913,1915
lopatar01,chicago,1939,1941
leeco01,ncstate,1994,1996
paulsgi01,cornellia,1921,1924
kaatji01,hopemi,1957,1957
bergda01,miamifl,1992,1993
warwica01,txchrist,1956,1957
barnesa01,auburn,1918,1921
tomkobr01,flsouthern,1995,1995
olsonti01,florida,2000,2000
mcmakjo01,clemson,1900,1901
chrismi02,ecarolina,1984,1985
mclaupa01,stedwardtx,1930,1933
wilsocr02,kansasst,1989,1992
leftwph01,radford,1988,1990
davidbo01,ecarolina,1982,1984
morriha02,michigan,1984,1986
tunnele01,baylor,1979,1981
jonesto02,jksonvilst,1988,1989
johnsst01,sanfran,1956,1960
barryje01,sandiegost,1988,1990
milleke02,okcity,1981,1983
neaglde01,minnesota,1987,1989
naehrti01,miamioh,1986,1988
thomamy01,pennst,1920,1921
cashro01,floridast,1970,1971
kindaje01,minnesota,1955,1956
mintzst01,mtolive,1990,1990
eayrsed01,brown,1909,1913
mahonch01,fordham,1904,1910
brownja02,southernu,1967,1969
childsa01,yale,1883,1883
onealra01,pbsc,0,0
cookdo01,vandy,1905,1913
landrke01,arizonast,1974,1976
