playerid,yearid,gamenum,gameid,teamid,lgid,gp,startingpos
aaronha01,1955,0,NLS195507120,ML1,NL,1,
aaronha01,1956,0,ALS195607100,ML1,NL,1,
aaronha01,1957,0,NLS195707090,ML1,NL,1,9.0
aaronha01,1958,0,ALS195807080,ML1,NL,1,9.0
aaronha01,1959,1,NLS195907070,ML1,NL,1,9.0
aaronha01,1959,2,NLS195908030,ML1,NL,1,9.0
aaronha01,1960,1,ALS196007110,ML1,NL,1,9.0
aaronha01,1960,2,ALS196007130,ML1,NL,1,9.0
aaronha01,1961,1,NLS196107110,ML1,NL,1,
aaronha01,1961,2,ALS196107310,ML1,NL,1,
aaronha01,1962,1,ALS196207100,ML1,NL,0,
aaronha01,1962,2,NLS196207300,ML1,NL,1,
aaronha01,1963,0,ALS196307090,ML1,NL,1,9.0
aaronha01,1964,0,NLS196407070,ML1,NL,1,
aaronha01,1965,0,ALS196507130,ML1,NL,1,9.0
aaronha01,1966,0,NLS196607120,ATL,NL,1,7.0
aaronha01,1967,0,ALS196707110,ATL,NL,1,8.0
aaronha01,1968,0,NLS196807090,ATL,NL,1,9.0
aaronha01,1969,0,ALS196907230,ATL,NL,1,9.0
aaronha01,1970,0,NLS197007140,ATL,NL,1,9.0
aaronha01,1971,0,ALS197107130,ATL,NL,1,9.0
aaronha01,1972,0,NLS197207250,ATL,NL,1,9.0
aaronha01,1973,0,ALS197307240,ATL,NL,1,3.0
aaronha01,1974,0,NLS197407230,ATL,NL,1,9.0
aaronha01,1975,0,ALS197507150,ML4,AL,1,
aasedo01,1986,0,NLS198607150,BAL,AL,1,
abreubo01,2004,0,NLS200407130,PHI,NL,1,
abreubo01,2005,0,ALS200507120,PHI,NL,1,9.0
adamsac01,1943,0,ALS194307130,NY1,NL,0,
adcocjo01,1960,1,ALS196007110,ML1,NL,1,3.0
adcocjo01,1960,2,ALS196007130,ML1,NL,1,3.0
ageeto01,1966,0,NLS196607120,CHA,AL,1,
ageeto01,1967,0,ALS196707110,CHA,AL,1,
aguilri01,1991,0,ALS199107090,MIN,AL,1,
aguilri01,1992,0,NLS199207140,MIN,AL,1,
aguilri01,1993,0,ALS199307130,MIN,AL,1,
aguirha01,1962,1,ALS196207100,DET,AL,0,
aguirha01,1962,2,NLS196207300,DET,AL,1,
alexado01,1988,0,NLS198807120,DET,AL,0,
alfoned01,2000,0,NLS200007110,NYN,NL,1,
allendi01,1965,0,ALS196507130,PHI,NL,1,5.0
allendi01,1966,0,NLS196607120,PHI,NL,1,
allendi01,1967,0,ALS196707110,PHI,NL,1,5.0
allendi01,1970,0,NLS197007140,SLN,NL,1,3.0
allendi01,1972,0,NLS197207250,CHA,AL,1,3.0
allendi01,1973,0,ALS197307240,CHA,AL,0,
allendi01,1974,0,NLS197407230,CHA,AL,1,3.0
allenjo02,1938,0,NLS193807060,CLE,AL,1,
alleyge01,1967,0,ALS196707110,PIT,NL,1,6.0
alleyge01,1968,0,NLS196807090,PIT,NL,0,
allisbo01,1959,2,NLS195908030,WS1,AL,0,
allisbo01,1963,0,ALS196307090,MIN,AL,1,
allisbo01,1964,0,NLS196407070,MIN,AL,1,3.0
alomaro01,1990,0,NLS199007100,SDN,NL,1,
alomaro01,1991,0,ALS199107090,TOR,AL,1,4.0
alomaro01,1992,0,NLS199207140,TOR,AL,1,4.0
alomaro01,1993,0,ALS199307130,TOR,AL,1,4.0
alomaro01,1994,0,NLS199407120,TOR,AL,1,4.0
alomaro01,1995,0,ALS199507110,TOR,AL,1,
alomaro01,1996,0,NLS199607090,BAL,AL,1,4.0
alomaro01,1997,0,ALS199707080,BAL,AL,1,4.0
alomaro01,1998,0,NLS199807070,BAL,AL,1,4.0
alomaro01,1999,0,ALS199907130,CLE,AL,1,4.0
alomaro01,2000,0,NLS200007110,CLE,AL,1,4.0
alomaro01,2001,0,ALS200107100,CLE,AL,1,
alomasa01,1970,0,NLS197007140,CAL,AL,1,
alomasa02,1990,0,NLS199007100,CLE,AL,1,2.0
alomasa02,1991,0,ALS199107090,CLE,AL,1,2.0
alomasa02,1992,0,NLS199207140,CLE,AL,1,2.0
alomasa02,1996,0,NLS199607090,CLE,AL,1,
alomasa02,1997,0,ALS199707080,CLE,AL,1,
alomasa02,1998,0,NLS199807070,CLE,AL,1,
aloufe01,1962,1,ALS196207100,SFN,NL,1,
aloufe01,1966,0,NLS196607120,ATL,NL,0,
aloufe01,1968,0,NLS196807090,ATL,NL,1,
alouma01,1968,0,NLS196807090,PIT,NL,1,
alouma01,1969,0,ALS196907230,PIT,NL,1,8.0
aloumo01,1994,0,NLS199407120,MON,NL,1,
aloumo01,1997,0,ALS199707080,FLO,NL,1,
aloumo01,1998,0,NLS199807070,HOU,NL,1,
aloumo01,2001,0,ALS200107100,HOU,NL,1,
aloumo01,2004,0,NLS200407130,CHN,NL,1,
aloumo01,2005,0,ALS200507120,SFN,NL,1,
altmage01,1961,1,NLS196107110,CHN,NL,1,
altmage01,1961,2,ALS196107310,CHN,NL,1,
altmage01,1962,2,NLS196207300,CHN,NL,1,
altuvjo01,2012,0,ALS201207100,HOU,NL,1,
alvarwi01,1994,0,NLS199407120,CHA,AL,1,
alvisma01,1965,0,ALS196507130,CLE,AL,1,
