managerid,awardid,yearid,lgid,tie,notes
torrejo01m,BBWAA Manager of the year,1996,AL,Y,
coxbo01m,TSN Manager of the Year,2004,NL,,
mckecbi01m,TSN Manager of the Year,1940,ML,,
andersp01m,BBWAA Manager of the year,1987,AL,,
gardero01m,BBWAA Manager of the year,2010,AL,,
coxbo01m,TSN Manager of the Year,2005,NL,,
wedgeer01m,TSN Manager of the Year,2007,AL,,
robinfr02m,TSN Manager of the Year,1989,AL,,
bauerha01m,TSN Manager of the Year,1966,ML,,
torrejo01m,TSN Manager of the Year,1998,AL,,
lasorto01m,BBWAA Manager of the year,1983,NL,,
meyerbi01m,TSN Manager of the Year,1948,ML,,
weaveea99m,TSN Manager of the Year,1979,ML,,
lanieha01m,BBWAA Manager of the year,1986,NL,,
baylodo01m,BBWAA Manager of the year,1995,NL,,
rignebi01m,TSN Manager of the Year,1962,ML,,
coxbo01m,BBWAA Manager of the year,1985,AL,,
lasorto01m,TSN Manager of the Year,1988,NL,,
kellyto01m,BBWAA Manager of the year,1991,AL,,
coxbo01m,TSN Manager of the Year,2002,NL,,
mckecbi01m,TSN Manager of the Year,1937,ML,,
mcnamjo99m,BBWAA Manager of the year,1986,AL,,
martibi02m,TSN Manager of the Year,1981,ML,,
zimmedo01m,TSN Manager of the Year,1989,NL,,
keanejo99m,TSN Manager of the Year,1964,ML,,
melvibo01m,TSN Manager of the Year,2007,NL,,
robinfr02m,BBWAA Manager of the year,1989,AL,,
alstowa01m,TSN Manager of the Year,1959,ML,,
guilloz01m,BBWAA Manager of the year,2005,AL,,
willidi02m,TSN Manager of the Year,1967,ML,,
johnsda01m,TSN Manager of the Year,1975,ML,,
coxbo01m,TSN Manager of the Year,1985,ML,,
penato01m,BBWAA Manager of the year,2003,AL,,
dyered01m,TSN Manager of the Year,1946,ML,,
bowala01m,BBWAA Manager of the year,2001,NL,,
pinielo01m,BBWAA Manager of the year,2001,AL,,
rolfere01m,TSN Manager of the Year,1950,ML,,
leylaji99m,TSN Manager of the Year,1990,NL,,
herzowh01m,TSN Manager of the Year,1982,ML,,
herzowh01m,BBWAA Manager of the year,1985,NL,,
stengca01m,TSN Manager of the Year,1949,ML,,
rodgebu01m,TSN Manager of the Year,1987,NL,,
sciosmi01m,BBWAA Manager of the year,2002,AL,,
bakerdu01m,BBWAA Manager of the year,1993,NL,,
bakerdu01m,BBWAA Manager of the year,2000,NL,,
bakerdu01m,TSN Manager of the Year,2000,NL,,
pinielo01m,BBWAA Manager of the year,1995,AL,,
rodgebu01m,BBWAA Manager of the year,1987,NL,,
sciosmi01m,BBWAA Manager of the year,2009,AL,,
harribu01m,TSN Manager of the Year,1947,ML,,
kellyto01m,TSN Manager of the Year,1991,AL,,
weaveea99m,TSN Manager of the Year,1977,ML,,
maddojo99m,BBWAA Manager of the year,2011,AL,,
ozarkda99m,TSN Manager of the Year,1976,ML,,
virdobi01m,TSN Manager of the Year,1980,ML,,
sewellu01m,TSN Manager of the Year,1944,ML,,
leylaji99m,TSN Manager of the Year,1988,NL,,
freyji99m,TSN Manager of the Year,1984,ML,,
houkra01m,TSN Manager of the Year,1961,ML,,
gardero01m,TSN Manager of the Year,2004,AL,,
larusto01m,BBWAA Manager of the year,1988,AL,,
bochybr01m,BBWAA Manager of the year,1996,NL,,
mauchge01m,TSN Manager of the Year,1973,ML,,
freyji99m,BBWAA Manager of the year,1984,NL,,
showabu99m,TSN Manager of the Year,1994,AL,,
leylaji99m,BBWAA Manager of the year,1990,NL,,
