playerid,awardid,yearid,lgid,tie,notes
felscha01,Baseball Magazine All-Star,1917,AL,,В ЛЮБОЙ ЧАСТИ
vandejo01,Baseball Magazine All-Star,1938,ML,,С3
speaktr01,Baseball Magazine All-Star,1920,ML,,В ЛЮБОЙ ЧАСТИ
whitebi03,TSN All-Star,1964,NL,,1B
clarkja01,TSN All-Star,1978,NL,,В ЛЮБОЙ ЧАСТИ
mussimi01,TSN All-Star,1995,AL,,RHP
santajo01,TSN Pitcher of the Year,2004,AL,,
giambja01,Hutch Award,2000,ML,,
cardele01,TSN All-Star,1971,AL,,СС
dickebi01,Baseball Magazine All-Star,1941,AL,,C
murphdw01,TSN All-Star,1981,AL,,В ЛЮБОЙ ЧАСТИ
wilsoea01,TSN All-Star,1967,AL,,Р
mussimi01,Gold Glove,1998,AL,,Р
rosepe01,Hutch Award,1968,ML,,
smithle02,Rolaids Relief Man Award,1991,NL,,
loberha01,Baseball Magazine All-Star,1911,NL,,3B
wyattwh01,Baseball Magazine All-Star,1941,ML,,С2
ramirma02,Silver Slugger,1999,AL,,В ЛЮБОЙ ЧАСТИ
torrejo01,Hutch Award,1971,ML,,
pujolal01,Hank Aaron Award,2003,NL,,
blairpa01,Gold Glove,1967,AL,,В ЛЮБОЙ ЧАСТИ
camermi01,Gold Glove,2001,AL,,В ЛЮБОЙ ЧАСТИ
boonebr01,Gold Glove,2004,AL,,2B
hudsoti01,Hutch Award,2010,ML,,
frencla01,Baseball Magazine All-Star,1936,NL,,С3
bluegos01,Baseball Magazine All-Star,1927,AL,,3B
gwynnto01,TSN All-Star,1986,NL,,В ЛЮБОЙ ЧАСТИ
hoffmtr01,TSN Fireman of the Year,1996,NL,,
terrybi01,Baseball Magazine All-Star,1932,NL,,1B
portuma01,Silver Slugger,1994,NL,,Р
drabedo01,TSN All-Star,1990,NL,,RHP
robinbr01,World Series MVP,1970,ML,,
coopemo01,Baseball Magazine All-Star,1942,NL,,С1
hunteto01,Gold Glove,2003,AL,,В ЛЮБОЙ ЧАСТИ
grohhe01,Baseball Magazine All-Star,1919,ML,,3B
francjo01,TSN Fireman of the Year,1988,NL,,
smithoz01,Gold Glove,1984,NL,,СС
cronijo01,Baseball Magazine All-Star,1939,AL,,СС
valvejo01,TSN Reliever of the Year,2007,NL,,
leonaje01,NLCS MVP,1987,NL,,
newcodo01,TSN All-Star,1956,ML,,Р
glaustr01,Silver Slugger,2001,AL,,3B
burleri01,TSN All-Star,1981,AL,,СС
simmoal01,Baseball Magazine All-Star,1925,AL,,CF
verlaju01,Rookie of the Year,2006,AL,,
mayswi01,TSN All-Star,1954,ML,,В ЛЮБОЙ ЧАСТИ
evansdw01,Gold Glove,1984,AL,,В ЛЮБОЙ ЧАСТИ
greenha01,Baseball Magazine All-Star,1945,ML,,LF
wagneho01,Baseball Magazine All-Star,1910,ML,,СС
rosepe01,Most Valuable Player,1973,NL,,
jonesan01,Gold Glove,2003,NL,,В ЛЮБОЙ ЧАСТИ
edmonji01,Gold Glove,1998,AL,,В ЛЮБОЙ ЧАСТИ
youngdm01,Comeback Player of the Year,2007,NL,,
pettiga01,Gold Glove,1985,AL,,В ЛЮБОЙ ЧАСТИ
griffke02,Gold Glove,1990,AL,,В ЛЮБОЙ ЧАСТИ
mcdougi01,Lou Gehrig Memorial Award,1958,ML,,
applilu01,TSN All-Star,1940,ML,,СС
gordojo01,Most Valuable Player,1942,AL,,
dyeje01,Silver Slugger,2006,AL,,В ЛЮБОЙ ЧАСТИ
doerrbo01,Baseball Magazine All-Star,1946,AL,,2B
johnswa01,Baseball Magazine All-Star,1912,AL,,С1
lyonste01,Baseball Magazine All-Star,1927,AL,,С1
earnsge01,TSN All-Star,1931,ML,,Р
maranra01,Baseball Magazine All-Star,1916,NL,,СС
scottji01,Baseball Magazine All-Star,1915,AL,,С2
ramirha01,Silver Slugger,2009,NL,,СС
scottge02,Gold Glove,1976,AL,,1B
grimebu01,Baseball Magazine All-Star,1921,NL,,С1
glavito02,Silver Slugger,1998,NL,,Р
antonjo02,TSN All-Star,1959,ML,,Р
crespcr01,Baseball Magazine All-Star,1941,NL,,2B
carltst01,Pitching Triple Crown,1972,NL,,
harreke01,TSN Player of the Year,1968,AL,,
sasakka01,Rookie of the Year,2000,AL,,
whitebi03,Gold Glove,1964,NL,,1B
crawfca02,Gold Glove,2010,AL,,В ЛЮБОЙ ЧАСТИ
dimagjo01,Baseball Magazine All-Star,1937,ML,,CF
gehrilo01,Baseball Magazine All-Star,1930,AL,,1B
yastrca01,TSN All-Star,1965,AL,,В ЛЮБОЙ ЧАСТИ
griffke02,Gold Glove,1994,AL,,В ЛЮБОЙ ЧАСТИ
mcdowja01,TSN Pitcher of the Year,1993,AL,,
torrejo01,TSN All-Star,1965,NL,,C
grubeke01,Gold Glove,1990,AL,,3B
marshmi01,TSN Fireman of the Year,1973,NL,,
yorkru01,Baseball Magazine All-Star,1943,ML,,1B
randowi01,TSN All-Star,1987,AL,,2B
donohpe01,Baseball Magazine All-Star,1925,NL,,С3
kinerra01,Baseball Magazine All-Star,1949,NL,,LF
friscfr01,Baseball Magazine All-Star,1931,ML,,2B
daubeja01,Most Valuable Player,1913,NL,,
bottoji01,Most Valuable Player,1928,NL,,
spahnwa01,TSN Pitcher of the Year,1957,NL,,
gibsobo01,Gold Glove,1965,NL,,Р
ruthba01,Baseball Magazine All-Star,1931,AL,,RF
heckegu01,Pitching Triple Crown,1884,AA,,
seaveto01,TSN All-Star,1969,NL,,RHP
hunteto01,Branch Rickey Award,2009,ML,,
oneilst01,Baseball Magazine All-Star,1920,AL,,C
koufasa01,TSN All-Star,1966,NL,,Р
boggswa01,Silver Slugger,1993,AL,,3B
jeterde01,Hank Aaron Award,2009,AL,,
roushed01,Baseball Magazine All-Star,1924,ML,,CF
willite01,Baseball Magazine All-Star,1950,AL,,LF
eckerde01,TSN Fireman of the Year,1992,AL,,
hafeych01,Baseball Magazine All-Star,1929,NL,,LF
newhoha01,Pitching Triple Crown,1945,AL,,
reulbed01,Baseball Magazine All-Star,1908,NL,,С-5
versazo01,Most Valuable Player,1965,AL,,
mathech01,Pitching Triple Crown,1908,NL,,
bakerdu01,NLCS MVP,1977,NL,,
fernato01,Gold Glove,1988,AL,,СС
berryke01,Gold Glove,1972,AL,,В ЛЮБОЙ ЧАСТИ
stargwi01,Babe Ruth Award,1979,NL,,1B
williea02,Rookie of the Year,1971,NL,,
mayswi01,TSN All-Star,1959,ML,,В ЛЮБОЙ ЧАСТИ
ramirma02,Hank Aaron Award,2004,AL,,
deandi01,Baseball Magazine All-Star,1934,ML,,С1
evansdw01,TSN All-Star,1984,AL,,В ЛЮБОЙ ЧАСТИ
nealch01,Gold Glove,1959,NL,,2B
fellebo01,Baseball Magazine All-Star,1940,AL,,С1
griffke02,Comeback Player of the Year,2005,NL,,
oneilst01,Baseball Magazine All-Star,1919,AL,,C
clemero01,Most Valuable Player,1966,NL,,
shantbo01,Gold Glove,1963,NL,,Р
alfonan01,TSN Fireman of the Year,2000,NL,,
floodcu01,TSN All-Star,1968,NL,,В ЛЮБОЙ ЧАСТИ
hendrge01,Silver Slugger,1980,NL,,В ЛЮБОЙ ЧАСТИ
ruthba01,Baseball Magazine All-Star,1926,AL,,В ЛЮБОЙ ЧАСТИ
mcgrifr01,Silver Slugger,1992,NL,,1B
cordech01,Rolaids Relief Man Award,2005,NL,,
rudijo01,TSN All-Star,1976,AL,,В ЛЮБОЙ ЧАСТИ
smithoz01,NLCS MVP,1985,NL,,
hollima01,NLCS MVP,2007,NL,,
jacksjo01,Baseball Magazine All-Star,1912,AL,,В ЛЮБОЙ ЧАСТИ
willibi01,TSN All-Star,1972,NL,,В ЛЮБОЙ ЧАСТИ
riceji01,Most Valuable Player,1978,AL,,
wellsve01,Gold Glove,2004,AL,,В ЛЮБОЙ ЧАСТИ
bakerfr01,Baseball Magazine All-Star,1911,AL,,3B
sandbry01,Silver Slugger,1985,NL,,2B
whitede03,Gold Glove,1988,AL,,В ЛЮБОЙ ЧАСТИ
jeterde01,TSN All-Star,2007,AL,,СС
whitnpi01,Baseball Magazine All-Star,1937,ML,,3B
jonesra01,TSN All-Star,1975,NL,,LHP
mageesh01,Baseball Magazine All-Star,1910,NL,,LF
camildo01,Baseball Magazine All-Star,1941,NL,,1B
ripkeca01,Silver Slugger,1985,AL,,СС
kaatji01,Gold Glove,1965,AL,,Р
vaughmo01,Silver Slugger,1995,AL,,1B
