schoolid,schoolname,schoolcity,schoolstate,schoolnick
grvalleyst,Государственный университет Гранд-Вэлли,Аллендейл,МИ,Лейкеры
macollege,Массачусетский колледж либерального искусства,Северный Адамс,МЭТ,Трубопроводы
ncstate,Университет штата Северная Каролина,Роли,НС,Вольфпак
longwoodva,Лонгвудский университет,Фермвилль,VA,Лансеры
shepherdwv,Шепардский колледж,Шепардстаун,WV,Рамс
abilchrist,Абилинский христианский университет,Абилин,TX,Дикие кошки
utsa,Техасский университет в Сан-Антонио,Сан-Антонио,TX,Дорожные бегуны
forthays,Государственный университет Форт Хейс,Хейс,KS,Тигры
gonzaga,Университет Гонзага,Спокан,WA,Бульдоги
indiana,Индианский университет,Блумингтон,ВНУТРЕННИЕ,Гусеницы
unc,Университет Северной Каролины,Чапел Хилл,НС,Тарелки
idahost,Государственный университет Айдахо,Покателло,Идентификационный номер,Бенгалы
princeton,Принстонский университет,Принстон,NJ,Тигры
willmary,Колледж Уильяма и Мэри,Вильямсбург,VA,Площадь
belmont,Белмонтский университет,Нэшвилл,TN,Бруины
denisonoh,Университет Денизона,Гранвиль,Ооо.,Большой красный
nwestern,Северо-западный университет,Эванстон,Ил,Дикие кошки
iona,Колледж Иона,Новая Рошель,Нью-Йорк,Галстук
smethodist,Южный методистский университет,Даллас,TX,Мустанги
drexel,Университет Дрекселя,Филадельфия,ПА,Драконы
stjosephs,Университет Святого Иосифа,Филадельфия,ПА,Ястребы
gatech,Грузинский технологический институт,Атланта,GA,Желтые пекарни
mcneese,Университет штата Макнез,Озеро Чарльз,Лос-Анджелес,Ковбои
haskellks,Индийский университет &quot; Хаскел &quot;,Лоуренс,KS,Индейцы
holycross,Колледж Святого Креста,Вихрь,МЭТ,Крестоносцы
wyoming,Университет Вайоминга,Ларами,WY,Ковбои
mowestern,Западноамериканский колледж Миссури,Святой Иосиф,МО,Гриффины
wilacrosse,Университет Висконсин-Ла-Кросс,Кросс,ЖИ,Орлы
byu,Университет Бригама Янга,Прово,UT,Кугары
canisius,Колледж Канисия,Буффало,Нью-Йорк,Грифы
strose,Колледж Святой Розы,Олбани,Нью-Йорк,Золотые Рыцари
northwood,Университет Нортвуда,Мидленд,МИ,Лесоводы
friendsks,Университет друзей,Уичита,KS,Соколы
hawaiihilo,Гавайский университет в Хило,Хило,Привет.,Вулканцы
sonomast,Государственный университет Сономы,Ронерт Парк,КА,Морские волки
notredame,Нотр-Дамский университет,Южное изгиб,ВНУТРЕННИЕ,Борьба с ирландцами
wvwesleyan,Колледж Западной Вирджинии Уэслиан,Бакхэннон,WV,Бобкоты
georgiast,Грузинский государственный университет,Атланта,GA,Пантеры
lasalle,Университет ЛаСалле,Филадельфия,ПА,Исследователи
emporiast,Университет штата Эмпория,Эмпория,KS,Шершень
stfranpa,Университет Сент-Фрэнсиса,Лоретто,ПА,Красный Флэш
plymouth,Плимутский государственный университет,Плимут,NH,Пантеры
wlmpennia,Университет Уильяма Пенна,Оскалуса,IA,Государственные деятели
shaw,Университет Шоу,Роли,НС,Медведи
floridaam,Флоридский сельскохозяйственный и механический университет,Таллахасси,ФЛ,Крысы
sfaustin,Стивен Ф. Остинский государственный университет,Накодохи,TX,Ломбардировщики
yale,Йельский университет,Нью-Хейвен,КТ,Бульдоги
gaswestern,Юго-западный государственный университет Грузии,Америкус,GA,Ураганы
coastcar,Прибрежный университет Каролины,Конвей,ПК,Шантажисты
harvard,Гарвардский университет,Кембридж,МЭТ,Красота
stfrncisil,Университет Сент-Фрэнсиса,Джулиет,Ил,Боевые святые
ccri,Общинный колледж Род-Айленда,Уорвик,РИ,Рыцари
kentucky,Кентукский университет,Лексингтон,KY,Дикие кошки
newhaven,Университет Нью-Хейвена,Нью-Хейвен,КТ,Зарядные устройства
georgiasou,Южный университет Грузии,Соединенные Штатыboro,GA,Орлы
xavier,Ксавьерский университет,Цинциннати,Ооо.,Мушкетеры
crdstritch,Университет им. кардинала Стрича,Милуоки,ЖИ,Волки
millikin,Университет Милликина,Декатура,Ил,Большой синий
erskine,Эрскинский колледж,Дежурный Вест,ПК,Летающий флот
auburnmont,Университет Оберна в Монтгомери,Монтгомери,AL,Сенаторы
ithacany,Колледж &lt; &lt; Итака &gt; &gt;,Итака,Нью-Йорк,Бомбардировщики
ilcollege,Иллинойский колледж,Джексонвилль,Ил,Синяя мальчишка
amerintl,Американский международный колледж,Спрингфилд,МЭТ,Желтые пекарни
frankmarsh,Колледж им. Франклина и Маршалла,Ланкастер,ПА,Дипломаты
sutah,Университет Южной Юты,Седар-Сити,UT,Громкие птицы
rhodeisle,Университет Род-Айленда,Кингстон,РИ,Рамс
washington,Вашингтонский университет,Сиэтл,WA,Хаски
valdostast,Государственный университет Вальдоста,Вальдоста,GA,Блейзеры
samford,Сэмфордский университет,Бирмингем,AL,Бульдоги
sandiego,Университет Сан-Диего,Сан-Диего,КА,Торерос
lycomingpa,Лайвинг-колледж,Вильямспорт,ПА,Воины
lsu,Университет штата Луизиана,&lt; &lt; Батон красный &gt; &gt;,Лос-Анджелес,Тигры
seoklahoma,Юго-восточный Оклахомский государственный университет,Дюрант,Хорошо.,Сагусы
california,Калифорнийский университет,Беркли,КА,Золотые медведи
