season,daynum,wteam,wscore,lteam,lscore,wloc,numot
1994,35,1409,94,1331,74,А,0
1999,124,1344,64,1207,62,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
1992,31,1454,94,1287,90,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
2010,22,1153,69,1268,57,Можете предоставить мне текст для перевода? Я буду переводить только на русский язык.,0
2000,18,1133,68,1375,59,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
1993,82,1234,74,1336,58,А,0
1986,101,1318,69,1159,54,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
1992,91,1124,73,1409,59,А,0
2000,76,1406,54,1131,52,А,1
1990,124,1161,62,1361,45,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
1990,84,1266,65,1387,59,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
2010,93,1378,72,1207,64,А,0
1985,33,1462,61,1338,58,А,0
2002,18,1148,68,1137,55,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
2014,121,1397,82,1120,54,А,0
2011,79,1148,66,1284,47,А,0
1992,75,1351,90,1420,73,А,0
2002,110,1321,55,1336,49,А,0
1988,96,1165,79,1335,68,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
2009,28,1321,59,1415,43,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
1993,70,1251,60,1149,49,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
1994,51,1390,84,1438,72,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
2009,75,1360,70,1258,59,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
1994,32,1140,72,1376,68,Можете предоставить мне текст для перевода? Я буду переводить только на русский язык.,0
1987,93,1137,102,1220,92,А,0
1997,54,1428,80,1400,68,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
2007,62,1181,70,1363,51,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
1996,26,1272,91,1345,76,Можете предоставить мне текст для перевода? Я буду переводить только на русский язык.,0
2001,90,1265,72,1264,66,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
1993,89,1218,74,1102,59,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
2002,22,1143,67,1365,60,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
2001,77,1175,63,1313,59,А,0
1999,87,1408,80,1412,64,А,0
1987,119,1183,65,1320,55,А,0
1986,108,1134,55,1175,51,А,0
1993,50,1353,91,1220,64,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
2001,54,1392,75,1426,72,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
2011,19,1373,84,1318,68,А,0
1992,132,1242,66,1329,57,Можете предоставить мне текст для перевода? Я буду переводить только на русский язык.,0
1995,116,1286,89,1129,63,А,0
1998,110,1444,87,1141,68,А,0
1993,87,1428,64,1461,45,А,0
1988,82,1253,75,1308,67,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
2005,121,1304,70,1160,55,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
1985,89,1293,82,1399,73,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
1985,100,1406,68,1137,65,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
1998,38,1222,57,1170,43,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
2010,117,1197,75,1445,61,А,0
1990,91,1335,56,1374,49,А,0
1991,33,1275,72,1153,64,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
1986,36,1371,44,1343,43,А,0
2002,26,1157,79,1441,73,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
2013,68,1168,71,1415,69,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
1988,71,1301,103,1288,54,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
2007,11,1163,53,1346,46,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
1988,80,1388,61,1365,59,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
1985,54,1120,95,1174,63,Можете предоставить мне текст для перевода? Я буду переводить только на русский язык.,0
1988,32,1180,89,1110,78,Можете предоставить мне текст для перевода? Я буду переводить только на русский язык.,0
1992,123,1463,83,1217,56,"Добро пожаловать в Coral, искусственный интеллект, готовый помочь вам в любое время! Как я могу вам помочь сегодня?",0
