season,seed,team
2003,150,1345
2000,В02,1396
1989,З-15,1380
1987,X01,1207
2002,З07,1462
1992,Зеро-девять,1163
1990,3,1281
2009,З06,1266
2000,Зи2,1232
1987,Десять,1140
1999,Р13,1328
2009,0x30,1393
1989,Z-4,1199
1997,X04,1112
2006,W06,1452
1995,16,1198
2007,150,1462
1985,X14,1305
2009,В10,1278
2000,Десять,1424
1999,T15,1117
1997,24,1235
2014,W08,1272
2008,Y12,1396
2001,X01,1390
1992,X14,1285
1997,Y16,1402
2002,X11,1130
2010,Я8,1424
1995,X14,1211
1989,X04,1424
1994,З-03,1257
2010,В01,1246
2010,З02,1243
2001,05,1153
2006,2024,1326
1987,"Y11 — это кодовый термин, используемый для обозначения года 2011 на английском языке.",1455
2007,3,1332
2005,З-03,1242
2001,Р13,1245
1987,24,1385
2007,Я01,1196
2005,З06,1458
2014,В16,1157
1999,Зи2,1412
1996,З16,1441
2000,W08,1242
2008,X06,1425
1986,Y16,1172
1988,W06,1281
2013,13,1285
2009,В15,1127
1986,"Извините, но я не понимаю ваш запрос. Можете ли вы предоставить дополнительную информацию или контекст для перевода?",1231
1989,4,1257
1995,W14,1330
1994,З10,1307
1992,Десять,1140
1993,16,1460
1991,"Y11 — это кодовый термин, используемый для обозначения года 2011 на английском языке.",1163
1988,Я8,1120
1990,02X,1345
1992,16,1352
1985,Десять,1112
1999,Y14,1359
1998,Z14,1172
1990,З06,1308
1985,"X12 — это стандарт обмена электронными данными, используемый для передачи деловых сообщений между предприятиями. Он определяет формат и структуру сообщений, включая заказы на покупку, счета-фактуры и отгрузочные документы. Стандарт X12 используется в основном в Северной Америке и позволяет автоматизировать обмен информацией между различными организациями.",1246
1995,X06,1332
1985,Y10,1277
1998,В07,1231
1989,W08,1435
2007,Зи2,1228
2001,150,1386
1998,W08,1150
