title_id,title,type,pub_id,price,advance,royalty,ytd_sales,notes,pubdate
BU1111,Программирование на компьютере: скрытые балансовые отчеты,бизнес,1389,11.95,5000.0,10.0,3876.0,Советы по эффективному использованию электронных ресурсов.,1991-06-09 00:00:00
PC1035,Но удобно ли это для пользователя?,популярный состав,1389,22.95,7000.0,16.0,8780.0,"Опрос программного обеспечения для начинающих пользователей, с акцентом на «доброжелательность» каждого из них.",30.06.1991 г.
MC3021,Гурмет-микроволновая печь,Мод_кук,877,2.99,15000.0,24.0,22246.0,"Традиционные французские кондитерские рецепты, адаптированные для современного микроволнового приготовления.",1991-06-18 00:00:00
PC8888,Тайны Силικονовой долины,популярный состав,1389,20.0,8000.0,10.0,4095.0,Журналистика мукракинга в отношении крупнейших производителей компьютерного оборудования и программного обеспечения в мире.,1994-06-12 00:00:00
TC4203,Пятьдесят лет в кухнях Букингемского дворца,Трад-кук,877,11.95,4000.0,14.0,15096.0,"Более анекдотов от любимого повара королевы, рассказывающих о жизни среди английской элиты: рецепты, техники и нежные нюансы.",1991-06-12 00:00:00
MC3026,Психология компьютерного приготовления пищи,Неопределенно,877,,,,,,2014-11-07 10:39:37
PS2091,Гнев — враг или нет?,психология,736,10.95,2275.0,12.0,2045.0,Ученое исследование влияния сильных эмоций на организм. В нем представлены метаболические графики.,1991-06-15 00:00:00
MC2222,Silיקון-валли-гастронимные изыски,Мод_кук,877,19.99,0.0,12.0,2032.0,"Любимые рецепты быстрых, простых и элегантных блюд.",1991-06-09 00:00:00
BU1032,Гид по базам данных Эксперт-менеджера,бизнес,1389,19.99,5000.0,10.0,4095.0,Обзор доступных систем баз данных с акцентом на типичные бизнес-приложения. Иллюстрации:,1991-06-12 00:00:00
PS7777,Эмоциональная безопасность: новый алгоритм,психология,736,7.99,4000.0,10.0,3336.0,Защита себя и своих близких от избыточного эмоционального стресса в современном мире. Использование компьютера и диетических средств подчеркнуто.,1991-06-12 00:00:00
TC3218,"Лук, чеснок и репка: секреты приготовления пищи Средиземноморья",Трад-кук,877,20.95,7000.0,10.0,375.0,"Прочитано на цветных иллюстрациях, это прекрасный подарочный книгу для друга, интересующегося кулинарией.",1991-10-21 00:00:00
BU7832,Прямая речь о компьютерах,бизнес,1389,19.99,5000.0,10.0,4095.0,"Аннотированный анализ того, что могут сделать компьютеры для вас: руководство для критически настроенного пользователя без излишеств.",1991-06-22 00:00:00
PC9999,Этикетка сети,популярный состав,1389,,,,,Обязательная чтение для компьютерных конференций.,2014-11-07 10:39:37
BU2075,Вы можете бороться со стрессом от компьютера!,бизнес,736,2.99,10125.0,24.0,18722.0,Последние медицинские и психологические техники для работы с электронным офисом. Простые в понимании объяснения.,30.06.1991 г.
PS1372,Компьютерно-фобические и некомпьютерно-фобические лица: вариации поведения,психология,877,21.59,7000.0,10.0,375.0,"Отдельная книга для специалиста: в ней рассматривается различие между теми, кто ненавидит и боится компьютеры, и теми, кто этого не делает.",1991-10-21 00:00:00
PS3333,Длительное лишение данных: четыре кейса,психология,736,19.99,2000.0,10.0,4072.0,"Что происходит, когда данные заканчиваются? Поиск оценок последствий нехватки информации.",1991-06-12 00:00:00
PS2106,Жизнь без страха,психология,736,7.0,6000.0,10.0,111.0,"Новый упражнение, медитация и техники питания могут снизить шок от ежедневных взаимодействий. Популярная аудитория. Вприкосновке примерное меню, видео упражнений отдельно доступно.",1991-10-05 00:00:00
TC7777,"Суши, кто есть кто?",Трад-кук,877,14.99,8000.0,10.0,4095.0,Детальные инструкции по приготовлению аутентичного японского супы в вашем свободное время.,1991-06-12 00:00:00
