playerid,year,ppa,sha
frasecu01,1987,2,
ferrara01,1990,5,
wilsoca01,1988,19,
rousebo01,1988,,1
sheehne01,1987,1,
adamsgr01,1989,1,
brownro01,1990,10,
poulida02,1989,1,1
iafraal01,1990,11,1
nylunga01,1988,1,
momesse01,1990,1,
ramagro01,1987,19,2
donnemi01,1987,2,
gingrga01,1987,9,
kurveto01,1990,15,
carpebo01,1988,4,
bodgedo01,1988,25,1
ciccadi01,1988,10,1
jonssto01,1988,24,
sanipev01,1989,2,
brownje02,1989,24,
makelmi01,1989,1,
bradlbr01,1990,10,
hardyma01,1988,5,
ruffli01,1988,1,
ysebapa01,1990,4,1
archida01,1989,4,
bennibr01,1989,5,
hunteda01,1987,1,4
manthmo01,1987,15,1
macdepa01,1989,2,
norwole01,1990,3,
wilsoca01,1987,9,3
pederba01,1989,7,1
ledyagr01,1987,5,
manthmo01,1988,9,
broteaa01,1990,1,
picarro02,1989,1,1
carsoli01,1987,1,1
maclebr01,1988,8,
dineego01,1988,2,
konrost01,1988,1,1
ledyagr01,1988,6,
halwado01,1988,1,
zezelpe01,1990,5,1
laughcr01,1987,3,
nichobe01,1989,37,1
foligmi01,1990,1,
wellsja01,1989,3,2
dahlqch01,1990,,1
joycebo01,1989,3,
kennede01,1988,,2
cyrpa01,1987,1,
hardyma01,1987,10,1
brookbo01,1989,1,2
wilsoca01,1990,4,
huberwi01,1987,14,
mcintjo01,1990,,2
smaildo01,1990,1,1
pavesji01,1987,1,
dineego01,1987,2,
