playerid,award,year,lgid,note,pos
hodgeke01,First Team All-Star,1970,NHL,,RW
dionnma01,First Team All-Star,1979,NHL,,C
staplpa01,Second Team All-Star,1965,NHL,,D
bossymi01,First Team All-Star,1980,NHL,,RW
greenmi03,First Team All-Star,2008,NHL,,D
laflegu01,First Team All-Star,1978,NHL,,RW
robitlu01,Second Team All-Star,2000,NHL,,LW
cullejo01,Masterton,1998,NHL,,
raycran01,All-Rookie,2003,NHL,,G
cloutre01,Hunter,1978,WHA,Scoring,
geoffbe01,Hart,1960,NHL,,
ftorero01,First Team All-Star,1978,WHA,,C
theodjo01,Second Team All-Star,2001,NHL,,G
stevesc01,Second Team All-Star,1991,NHL,,D
reschgl01,Masterton,1981,NHL,,
orrbo01,Pearson,1974,NHL,,
richama01,First Team All-Star,1946,NHL,,RW
harvedo01,Norris,1961,NHL,,
clappdi01,Second Team All-Star,1934,NHL,,RW
hodgeke01,First Team All-Star,1973,NHL,,RW
drurych01,Calder,1998,NHL,,
hullbo01,Howe,1974,WHA,MVP,
yzermst01,Pearson,1988,NHL,,
thornjo01,Hart,2005,NHL,,
herrode01,Vezina,1980,NHL,shared,
coffepa01,Second Team All-Star,1989,NHL,,D
hasekdo01,Vezina,1997,NHL,,
brodema01,Jennings,2009,NHL,,
richahe01,Second Team All-Star,1960,NHL,,C
clarkbo01,Hart,1975,NHL,,
belivje01,First Team All-Star,1959,NHL,,C
robinea01,Second Team All-Star,1938,NHL,,G
jagrja01,First Team All-Star,2005,NHL,,RW
berezse01,All-Rookie,1996,NHL,,F
ovechal01,First Team All-Star,2005,NHL,,LW
chapmar01,Second Team All-Star,1936,NHL,,C
smithbi01,Vezina,1981,NHL,,
laflegu01,Hart,1976,NHL,,
belfoed01,All-Rookie,1990,NHL,,G
keonda01,Deneau,1976,WHA,Most Gentlemanly,
sedinhe01,First Team All-Star,2009,NHL,,C
esposto01,Second Team All-Star,1973,NHL,,G
lindrer01,Pearson,1994,NHL,,
richahe01,Second Team All-Star,1962,NHL,,C
simmech01,First Team All-Star,1980,NHL,,LW
langeda01,Second Team All-Star,1978,WHA,,D
orrbo01,Norris,1972,NHL,,
mclarky01,All-Rookie,1995,NHL,,D
schmimi01,Art Ross,1939,NHL,,
stewaja01,First Team All-Star,1942,NHL,,D
vanbijo01,First Team All-Star,1985,NHL,,G
mcfadji01,Calder,1947,NHL,,
middlri01,Second Team All-Star,1981,NHL,,RW
potvide01,First Team All-Star,1978,NHL,,D
mahovfr01,Second Team All-Star,1968,NHL,,LW
kerrda01,Second Team All-Star,1937,NHL,,G
hullbr01,First Team All-Star,1990,NHL,,RW
sakicjo01,First Team All-Star,2001,NHL,,C
reddewa01,Plus-Minus,2005,NHL,tie,
laperja01,First Team All-Star,1964,NHL,,D
iginlja01,All-Rookie,1996,NHL,,F
bourqra01,First Team All-Star,1990,NHL,,D
niedesc01,First Team All-Star,2003,NHL,,D
hejdumi01,Plus-Minus,2002,NHL,tie,
harmogl01,Second Team All-Star,1944,NHL,,D
belivje01,Hart,1955,NHL,,
nilssul01,Playoff MVP,1975,WHA,,
carsoji01,All-Rookie,1986,NHL,,C
boyleda01,Second Team All-Star,2006,NHL,,D
olmstbe01,Second Team All-Star,1955,NHL,,LW
brodema01,Jennings,2002,NHL,shared,
stanlal01,Second Team All-Star,1959,NHL,,D
krejcda01,Plus-Minus,2008,NHL,,
nabokev01,Calder,2000,NHL,,
lacroan01,First Team All-Star,1973,WHA,,C
niedesc01,First Team All-Star,2005,NHL,,D
parkbr01,Masterton,1983,NHL,,
cainhe01,Second Team All-Star,1943,NHL,,LW
kariypa01,First Team All-Star,1998,NHL,,LW
lindetr01,All-Rookie,1988,NHL,,C
howego01,First Team All-Star,1973,WHA,,RW
niedesc01,Conn Smythe,2006,NHL,,
harvedo01,First Team All-Star,1953,NHL,,D
howego01,First Team All-Star,1956,NHL,,RW
turcoma01,Crozier,2002,NHL,,
perregi01,Second Team All-Star,1976,NHL,,C
shoreed01,First Team All-Star,1935,NHL,,D
datsypa01,Selke,2009,NHL,,
prentde01,Second Team All-Star,1959,NHL,,LW
eganpa01,Second Team All-Star,1941,NHL,,D
mikitst01,Hart,1966,NHL,,
drydeda01,Hatskin,1978,WHA,Best Goaltender,
nedomva01,Deneau,1975,WHA,Most Gentlemanly,
