playerid,coachid,hofid,firstname,lastname,namenote,namegiven,namenick,height,weight,shootcatch,legendsid,ihdbid,hrefid,firstnhl,lastnhl,firstwha,lastwha,pos,birthyear,birthmon,birthday,birthcountry,birthstate,birthcity,deathyear,deathmon,deathday,deathcountry,deathstate,deathcity
vauclju01,,,Julien,Vauclair,,,,72,205,L,16614,36991,vauclju01,2003,2003,,,D,1979,10,2,Switzerland,,Delemont,,,,,,
granttr01,,,Triston,Grant,,,,73,215,L,21544,55391,granttr01,2006,2009,,,L,1984,2,2,Canada,MB,Brandon,,,,,,
lalimpa01,,,Patrick,Lalime,,Patrick,,75,189,L,18770,16316,lalimpa01,1996,2010,,,G,1974,7,7,Canada,QC,St. Bonaventure,,,,,,
milleja03,,,Jason,Miller,,Jason,,73,190,L,11119,3725,milleja03,1990,1992,,,C,1971,3,1,Canada,AB,Edmonton,,,,,,
dobekbo01,,,Bob,Dobek,,Robert Andrew,,72,180,L,,12042,dobekbo01,,,1975,1976,C,1952,10,4,USA,MI,Detroit,,,,,,
whistro01,,,Rob,Whistle,,Robert Douglas,,74,195,R,14669,5701,whistro01,1985,1987,,,D,1961,4,4,Canada,ON,Thunder Bay,,,,,,
jonesry01,,,Ryan,Jones,,,,73,207,L,21369,78667,jonesry01,2008,2011,,,L,1984,6,14,Canada,ON,Chatham,,,,,,
callary01,,,Ryan,Callahan,,,,71,185,R,21385,71756,callary01,2006,2011,,,R,1985,3,21,USA,NY,Rochester,,,,,,
reinpst01,,,Steve,Reinprecht,,Stephen,,72,195,L,19457,30799,reinpst01,1999,2010,,,C,1976,5,7,Canada,AB,Edmonton,,,,,,
korolev01,,,Evgeny,Korolev,,Evgeny,,73,214,L,10332,24115,korolev01,1999,2001,,,D,1978,7,24,Russia,,Moscow,,,,,,
northba01,,,Baldy,Northcott,,Lawrence McFarlane,,72,184,L,13863,4002,northba01,1928,1938,,,L,1908,9,7,Canada,AB,Calgary,1986,11,7,,,
vasyual01,,,Alexander,Vasyunov,,,,73,210,,,,vasyual01,2010,2010,,,L,1988,4,22,Russia,,Yaroslavl,2011,9,7,Russia,,Yaroslavl
bruneed01,,,Eddie,Bruneteau,,Edward Ernest Henry,,69,172,R,12130,12142,bruneed01,1940,1948,,,R,1919,8,1,Canada,MB,St. Boniface,2002,7,30,USA,NE,Omaha
streima01,,,Mark,Streit,,,,72,196,L,21520,32708,streima01,2005,2011,,,D,1977,12,11,Switzerland,,Englisberg,,,,,,
holmgpa01,holmgpa01c,,Paul,Holmgren,,Paul Howard,Bam Bam,75,210,R,12981,2343,holmgpa01,1975,1984,1975,1975,R,1955,12,2,USA,MN,St. Paul,,,,,,
zyuzian01,,,Andrei,Zyuzin,,Andrei,,73,208,L,15191,19374,zyuzian01,1997,2007,,,D,1978,1,21,Russia,,Ufa,,,,,,
greenri01,,,Rick,Green,,Richard Douglas,The Brick,75,220,L,10559,2019,greenri01,1976,1991,,,D,1956,2,20,Canada,ON,Belleville,,,,,,
,,molsoha01h,Hartland,Molson,,Hartland de Montarville,,,,,B197301,,,,,,,,1907,5,29,Canada,QC,Montreal,2002,9,28,,,
radleyi01,,,Yip,Radley,,Harold Henry John,,72,198,L,14067,20456,radleyi01,1930,1936,,,D,1908,6,27,Canada,ON,Ottawa,1963,8,19,,,
shattke01,,,Kevin,Shattenkirk,,,,71,193,,,,shattke01,2010,2011,,,D,1989,1,29,USA,CT,Greenwich,,,,,,
savarda01,,,David,Savard,,,,74,219,,,,savarda01,2011,2011,,,D,1990,10,22,,,,,,,,,
benneri01,,,Rick,Bennett,,Eric John,,76,215,L,10091,324,benneri01,1989,1991,,,L,1967,7,24,USA,MA,Springfield,,,,,,
buzekpe01,,,Petr,Buzek,,Petr,,73,220,L,10811,15602,buzekpe01,1997,2002,,,D,1977,4,26,Czech Republic,,Jihlava,,,,,,
roussbo01,,,Bobby,Rousseau,,Robert Joseph Jean Paul,,70,178,R,14184,4674,roussbo01,1960,1974,,,R,1940,7,26,Canada,QC,Montreal,,,,,,
tayloda01,,,Dave,Taylor,,David Andrew,Stitch,72,190,R,11619,5318,tayloda01,1977,1993,,,R,1955,12,4,Canada,ON,Levack,,,,,,
