year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1974,WHA,CLC,5,1,4,0,14,24,,,,,,,,
1949,NHL,TOR,7,3,4,0,11,10,117,,,,,,,
1952,NHL,CHI,7,3,4,0,14,18,59,,,,,,,
2005,NHL,NAS,5,1,4,0,10,17,88,0,6,32,0,9,37,1
1996,NHL,ANA,11,4,7,0,25,30,163,2,10,39,0,6,45,0
1973,WHA,WIJ,4,0,4,0,9,23,,,,,,,,
1981,NHL,PIT,5,2,3,0,13,22,112,2,3,25,0,4,21,0
1988,NHL,CHI,16,9,7,0,52,45,484,6,16,90,,15,99,7
1934,NHL,MTM,7,5,0,2,16,8,56,,,,,,,
1997,NHL,MTL,10,4,6,0,28,32,148,0,6,50,3,9,58,0
1987,NHL,NJD,20,11,9,0,67,71,871,10,23,117,,22,128,4
2002,NHL,VAN,14,7,7,0,34,47,239,2,13,73,1,18,76,2
2008,NHL,MTL,4,0,4,0,6,17,103,2,0,8,0,4,16,0
2008,NHL,WAS,14,7,7,0,41,38,162,0,11,52,0,13,65,2
1970,NHL,MNS,12,6,6,0,35,42,195,,11,,1,9,,0
1981,NHL,BOS,11,6,5,0,43,39,253,2,9,40,1,14,42,0
1998,NHL,DAL,23,16,7,0,64,44,279,2,13,107,0,9,95,3
1947,NHL,NYR,6,2,4,0,12,17,43,,,,,,,
1964,NHL,MTL,13,8,5,0,35,26,329,,,,,,,
1988,NHL,CAL,22,16,6,0,82,55,563,0,28,131,,18,126,3
1972,WHA,HOU,10,4,6,0,26,30,,,9,27,1,5,45,1
2003,NHL,VAN,7,3,4,0,16,19,99,2,8,39,1,6,40,0
1974,NHL,NYI,17,9,8,0,47,50,377,0,15,77,3,9,72,2
1942,NHL,MTL,5,1,4,0,17,18,50,,,,,,,
2002,NHL,DET,4,0,4,0,6,10,36,2,2,14,0,0,14,0
1946,NHL,DET,5,1,4,0,14,18,72,,,,,,,
1979,NHL,MNS,15,8,7,0,49,56,206,0,17,86,4,17,56,3
1923,PCHA,VAM,5,2,2,1,11,13,,,,,,,,
1991,NHL,WAS,7,3,4,0,27,25,139,0,7,37,1,11,34,1
1934,NHL,MTL,2,0,1,1,5,6,38,,,,,,,
1927,NHL,MTL,2,0,1,1,2,3,35,,,,,,,
1990,NHL,PIT,24,16,8,0,95,68,571,12,26,137,4,25,120,3
2007,NHL,SJS,13,6,7,0,30,32,100,0,8,56,0,11,44,2
1988,NHL,BUF,5,1,4,0,14,16,188,0,6,31,,5,30,2
1990,NHL,NYR,6,2,4,0,16,16,183,0,4,36,1,2,28,0
1974,WHA,TOT,6,2,4,0,27,29,,,,,,,,
2002,NHL,TOR,7,3,4,0,16,24,89,2,3,25,1,5,33,2
2005,NHL,BUF,18,11,7,0,60,49,220,0,16,99,2,16,92,5
1942,NHL,TOR,6,2,4,0,17,20,46,,,,,,,
1983,NHL,BUF,3,0,3,0,5,13,75,0,0,16,2,2,10,0
