year,lgid,tmid,oppid,w,l,t,otl
1936,NHL,MTL,NYR,3,2,1.0,
2006,NHL,NJD,CHI,1,0,,0
1987,NHL,DET,PHI,0,2,1.0,
1922,NHL,MTL,HAM,6,2,0.0,
1987,NHL,PHI,BOS,2,1,0.0,
1985,NHL,MTL,DET,3,0,0.0,
1982,NHL,HAR,NYI,1,2,0.0,
1917,NHL,MTL,OTS,6,4,0.0,
2006,NHL,MIN,TOR,0,1,,0
2007,NHL,CAL,STL,3,1,,0
1972,NHL,MNS,BOS,1,3,1.0,
1987,NHL,HAR,EDM,1,2,0.0,
1981,NHL,VAN,PHI,2,0,1.0,
1996,NHL,LAK,EDM,2,3,1.0,
2009,NHL,BUF,AND,0,1,,0
1929,NHL,CHI,DTC,2,3,1.0,
2006,NHL,CAL,DAL,2,2,,0
2008,NHL,SJS,EDM,3,0,,1
2006,NHL,PHI,MTL,1,3,,0
2002,NHL,OTT,PHI,1,1,2.0,0
1998,NHL,WAS,SJS,1,1,0.0,
1992,NHL,MTL,LAK,1,0,2.0,
1987,NHL,TOR,CHI,3,5,0.0,
2006,NHL,TBL,DAL,0,0,,1
2011,NHL,FLO,CBS,0,1,,0
2007,NHL,NYI,SJS,1,0,,0
1980,NHL,NYI,DET,4,0,0.0,
2002,NHL,ATL,WAS,1,2,1.0,1
1975,WHA,MFS,CIN,3,1,0.0,
1963,NHL,CHI,DET,5,6,3.0,
2000,NHL,MTL,NYR,0,3,1.0,0
1984,NHL,WAS,PHI,1,5,1.0,
2006,NHL,CAR,FLO,7,1,,0
1978,NHL,PHI,VAN,2,1,1.0,
2000,NHL,EDM,CAL,4,0,1.0,0
2010,NHL,PHI,LAK,1,1,,0
1945,NHL,CHI,NYR,5,2,3.0,
1989,NHL,DET,CAL,2,1,0.0,
1968,NHL,NYR,DET,3,4,1.0,
2011,NHL,NYI,CAR,4,0,,0
1999,NHL,SJS,TOR,0,1,0.0,0
1995,NHL,CAL,BUF,2,0,0.0,
1967,NHL,CHI,STL,2,0,2.0,
2011,NHL,WAS,CAL,1,0,,0
1932,NHL,MTL,TOR,3,3,0.0,
1974,WHA,CHC,CLC,4,2,0.0,
1979,NHL,ATF,MNS,1,1,2.0,
1999,NHL,EDM,TBL,2,0,0.0,0
1998,NHL,ANA,PHO,3,1,2.0,
2006,NHL,STL,MTL,0,1,,0
1989,NHL,CHI,BOS,0,3,0.0,
1977,NHL,NYR,CLE,3,1,0.0,
1985,NHL,NYI,DET,3,0,0.0,
2011,NHL,STL,MTL,1,0,,0
1912,NHA,TO1,MOW,1,3,0.0,
2008,NHL,NAS,ATL,1,1,,0
1985,NHL,PIT,CAL,1,2,0.0,
2005,NHL,DAL,STL,3,0,,1
1919,PCHA,VA2,SEA,4,7,0.0,
1992,NHL,BUF,NYR,2,1,1.0,
1978,WHA,CIN,QUN,5,8,2.0,
