film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,last_update
3,Адаптационные отверстия,"А поразительное отражение лесоруба и машины, которая должна затонуть лесоруба в фабрике шин",2006,1,,7,2.99,50,18.99,НС-17,"Трейлеры, Удалённые сцены",2006-02-15 04:03:42
19,АМАДЕЙ МОРОЗОВ,"Эмоциональная демонстрация пионера и писателя-технически, который должен сражаться с человеком в шаре",2006,1,,6,0.99,113,20.99,ПГ,"Комментарии, удаленные сцены, за кадром",2006-02-15 04:03:42
21,Американский цирк,"Бесцельная драма о девушке и астронавте, которые должны столкнуться с администратором базы данных в ""Шарке""",2006,1,,3,4.99,129,17.99,r,"Комментарии, За кадром",2006-02-15 04:03:42
29,Анти-трастоматосы,"Фатальный сюжет о женихе и феминистке в Древнем Индии, где они должны сдаться администратору базы данных.",2006,1,,5,2.99,168,11.99,НС-17,"Трейлеры, комментарии, удаленные сцены",2006-02-15 04:03:42
56,БЕРОБОЧНЫЙ МАНЧУР,"Неотважная история о коте и студенте, которые должны победить девочку в заброшенном парке развлечений",2006,1,,6,2.99,129,15.99,Здравствуйте! Как я могу вам помочь?,"Трейлеры, Комментарии",2006-02-15 04:03:42
67,Береты АГЕНТ,"Тут не нужно переводить, это просто набросок текста: ""Тут не нужно переводить, это просто набросок текста"".",2006,1,,5,2.99,77,24.99,13+,Удалённые сцены,2006-02-15 04:03:42
85,БОННЕ ОТЦА ТРИУМФЫ,"В древнем Японии быстродействующий рассказ о крокодиле и роботе, которые должны найти лося.",2006,1,,4,0.99,63,29.99,Здравствуйте! Как я могу вам помочь?,Удалённые сцены,2006-02-15 04:03:42
97,ВЕДМУЖЕСТВО ИНТРИГО,"В эпической истории о роботе и обезьяне, которые должны победить человека в Новом Орлеане...",2006,1,,7,0.99,56,24.99,Здравствуйте! Как я могу вам помочь?,"Трейлеры, комментарии, за кадром",2006-02-15 04:03:42
101,БРАТСТВО НЕТ,"Смертельная характерная исследование ноя и технического писателя, который должен потопить астронавта в древней Японии",2006,1,,3,0.99,73,26.99,r,За кадром,2006-02-15 04:03:42
105,Булл Шавшанк,"Фантазовое драма о лосе и белке, которым предстоит сразиться с пионером в канадских Скалистых горах.",2006,1,,6,0.99,125,21.99,НС-17,Удалённые сцены,2006-02-15 04:03:42
107,БЭНЧ МЕНДС,"Это эмоциональная история о феминистке, которая должна сбежать от кондитера на конференции MySQL.",2006,1,,4,2.99,63,13.99,Здравствуйте! Как я могу вам помочь?,За кадром,2006-02-15 04:03:42
111,КЕДИШУК КЕДИ,"Письмо, вдохновляющее ужасом, от женщины и сумасшедшего, которые должны сразиться с роботом в советской Грузии.",2006,1,,3,0.99,52,17.99,НС-17,"Комментарии, удаленные сцены",2006-02-15 04:03:42
