type,code,fullname
Плей-офф,ПФ,Утраченные финалы ПЧА
Плей-офф,ЧССФ,Пусть потерянный Кубок Стэнли
Разделение,ЦЕ,Центральный дивизион
Разделение,ПК,Тихоокеанский дивизион
Разделение,ОВ,ВХА Восточный Дивизион
Разделение,КВ,Канадское отделение WHA
Разделение,Нет,Норрис Диви́зион
Плей-офф,Авсф,Половин τελовых матчей Кубка АВКО
Круг,SF,Финал Кубка Стэнли
Плей-офф,"Фонд ""Всемирный экономический форум""",Пропущенные полуфиналы WCHL
Плей-офф,ДФ,Выигранные финалы дивизионов НХЛ
Плей-офф,Вам нужен перевод с английского на русский?,Пусть начнется игра!
Разделение,WD,Западное отделение
Плей-офф,КФ,Потерянные четвертьфиналы НХЛ
Разделение,ПТ,Патрик Дивизион
Разделение,СЕ,Юго-Восточный дивизион
Круг,Критически важная температура тела,Полуфинал конференции
Разделение,НВ,Северо-Западный Отделение
Плей-офф,Критически важная температура тела,Пропущенные полуфиналы конференции НХЛ
Плей-офф,АВЦ,Выиграл Кубок АВКО
Разделение,АД,Отделение Адама
Плей-офф,Авф,Перьёденный финал Кубка АВКО
Разделение,Калифорния,Канадское отделение
Разделение,АМ,Американский дивизион
Круг,SF,Полуфиналы
Круг,Вам нужен перевод с английского на русский?,Полуфинал
Круг,КФ,Четвертьфиналы
Разделение,ВВ,Западный дивизион
Плей-офф,ВФ,Потеряние финалов WCHL
Круг,Ф,Год окончен.
Конференция,WA,Конференция по Уэльсу
Разделение,НЕ,Восточный дивизион
Плей-офф,Ф,Пустые игры Кубка Стэнли
Круг,ВП,Западные плей-офф
Конференция,КК,Конференция Кэмпбелла
Разделение,СМ,Смитх-дивизия
Плей-офф,AQF,Половинные финалы Кубка АВК
Круг,ЧФ,Финал Кубка
Разделение,ЕД,Восточный дивизион
Плей-офф,АВПР,"Пропуск первого раунда турнира по кубку ""Авко"""
Плей-офф,НХЛФ,Пустые чемпионаты НХЛ
Конференция,ВВ,Западная конференция
Плей-офф,С,Вон Стэнли Куп
Плей-офф,CQFS,Пусть начнется игра!
Круг,ЧССФ,Плей-офф Кубка Стэнли
Плей-офф,SF,Потерянные полуфиналы НХЛ
Круг,ДФ,Финал Дивизиона
Плей-офф,ЧФ,Потери в конференции плей-офф НХЛ
Конференция,"Текущий курс евро составляет 1 евро = 43,529 рубля.",Восточная конференция
Плей-офф,"Предложение: ""Вы хотите что-то сказать?""",Потеряная предварительная раунд НХЛ
Круг,АССОЦИИАЦИЯ СТРАН УЧАСТНИКОВ В ОБМЕНЕ ТОВАРОВ И УСЛУГ (General Agreement on Tariffs and Trade),Финал Кубка Авко
Круг,CQFS,Четвертьфиналы конференции
Разделение,АТ,Атлантический отдел
Плей-офф,НХФ,Потери на финальных экзаменах по НРА
Плей-офф,ЛКС,Выиграл Кубок Стэнли / Проиграл Серию Вызовов
Плей-офф,НД,Ф. - Финалы Кубка Стэнли отменены (в связи с эпидемией гриппа)
Круг,Пред,Предварительный
Плей-офф,WS,"Выход только перевод. Отформатируйте, коды и правильные имена, если это необходимо. Не выводите дополнительный текст, только перевод!"
