year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1988,NHL,MTL,21,14,7,0,67,51,456,6,16,97,,9,88,2
1988,NHL,EDM,7,3,4,0,20,25,161,2,6,32,,11,36,1
1984,NHL,LAK,3,0,3,0,7,11,47,0,1,16,1,0,10,0
2011,NHL,STL,9,4,5,0,20,23,212,0,6,35,2,3,38,0
1990,NHL,PIT,24,16,8,0,95,68,571,12,26,137,4,25,120,3
1975,WHA,SDM,11,5,6,0,36,39,,,,,,,,
1975,WHA,CAC,10,5,5,0,36,37,,,,,,,,
1958,NHL,BOS,7,3,4,0,21,20,113,,,,,,,
1936,NHL,NYR,9,6,3,0,18,10,68,,,,,,,
1999,NHL,EDM,5,1,4,0,11,14,84,0,3,25,0,2,26,1
2003,NHL,NAS,6,2,4,0,9,12,76,0,1,29,1,2,29,1
1992,NHL,DET,7,3,4,0,30,24,163,2,10,30,0,4,34,4
1942,NHL,BOS,9,4,5,0,23,33,96,,,,,,,
2000,NHL,NJD,25,15,10,0,69,52,334,2,16,101,2,17,104,3
1974,NHL,BUF,17,10,7,0,53,58,276,6,13,75,1,15,72,2
1927,NHL,BOS,2,0,1,1,2,5,32,,,,,,,
1969,NHL,DET,4,0,4,0,8,16,44,,3,,0,5,,1
2001,NHL,NYI,7,3,4,0,21,22,169,2,11,38,0,5,43,0
1984,NHL,WIN,8,3,5,0,26,35,194,2,10,40,5,9,33,4
1945,NHL,CHI,4,0,4,0,7,26,68,,,,,,,
1981,NHL,NYI,19,15,4,0,85,52,458,0,23,77,0,16,84,4
1923,NHL,OTS,2,0,2,0,2,5,28,,,,,,,
1986,NHL,HAR,6,2,4,0,19,27,317,2,6,35,1,12,39,0
1974,WHA,NEW,6,2,4,0,17,28,,,,,,,,
1926,NHL,MTL,4,1,1,2,3,6,30,,,,,,,
1929,NHL,MTL,6,5,0,1,14,6,100,,,,,,,
1937,NHL,TOR,7,4,3,0,14,13,59,,,,,,,
2001,NHL,MTL,12,6,6,0,32,39,172,2,9,48,2,11,48,0
2003,NHL,TOR,13,6,7,0,27,28,201,0,6,59,1,6,58,0
1985,NHL,VAN,3,0,3,0,5,17,55,2,2,13,1,4,11,0
1946,NHL,BOS,5,1,4,0,10,16,58,,,,,,,
1968,NHL,STL,12,8,4,0,36,20,258,,7,,3,6,,0
1967,NHL,LAK,7,3,4,0,21,26,114,,5,,1,4,,0
1938,NHL,NYA,2,0,2,0,0,6,50,,,,,,,
1981,NHL,BOS,11,6,5,0,43,39,253,2,9,40,1,14,42,0
1951,NHL,TOR,4,0,4,0,3,13,90,,,,,,,
1924,WCHL,SAS,2,0,1,1,4,6,,,,,,,,
2003,NHL,MTL,11,4,7,0,24,28,148,0,5,40,1,5,42,0
1974,NHL,BOS,3,1,2,0,15,12,47,0,2,14,0,4,14,1
1976,NHL,BUF,6,2,4,0,21,19,96,0,6,23,1,2,20,0
2002,NHL,ANA,21,15,6,0,45,40,166,8,8,70,1,9,70,3
1921,WCHL,CAT,2,0,1,1,1,2,,,,,,,,
1986,NHL,TOR,13,7,6,0,33,32,345,0,9,51,0,8,53,0
1964,NHL,MTL,13,8,5,0,35,26,329,,,,,,,
1966,NHL,MTL,10,6,4,0,30,25,142,,,,,,,
1931,NHL,DTF,2,0,1,1,1,3,10,,,,,,,
2008,NHL,CAL,6,2,4,0,16,21,83,4,2,18,0,7,24,0
1949,NHL,MTL,5,1,4,0,7,15,77,,,,,,,
1932,NHL,NYR,8,6,1,1,25,13,103,,,,,,,
1979,NHL,CHI,7,3,4,0,19,20,120,0,7,23,0,7,26,0
2007,NHL,WAS,7,3,4,0,20,23,87,6,8,35,0,8,36,0
1957,NHL,MTL,10,8,2,0,35,20,121,,,,,,,
1984,NHL,CAL,4,1,3,0,13,15,129,2,5,21,2,5,22,2
2007,NHL,MIN,6,2,4,0,12,17,141,2,3,21,1,6,30,2
1964,NHL,DET,7,3,4,0,19,23,124,,,,,,,
1962,NHL,MTL,5,1,4,0,6,14,48,,,,,,,
1941,NHL,TOR,13,8,5,0,38,31,117,,,,,,,
