playerid,year,tmid,lgid,pos,gp,g,a,pts,pim
vezinge01,1915,MOC,NHA,"Добро пожаловать в «Круг переводчиков» — сообщество профессионалов в области перевода и локализации. Мы предлагаем услуги по переводу документов, веб-сайтов, программного обеспечения и других материалов с английского на русский язык. Наши переводчики имеют опыт работы с различными видами документации и всегда стремятся предоставить точный и качественный перевод.",5,0,0,0,0
dennecy01,1922,OTS,NHL,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",6,1,1,2,8
coutubi01,1918,MTL,NHL,Да,5,0,1,1,0
coutubi01,1924,MTL,NHL,Да,4,1,0,1,10
gerared01,1914,OT1,NHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",3,1,2,3,14
brucemo01,1919,OTS,NHL,Ф,5,0,0,0,0
berlilo01,1918,MTL,NHL,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",5,1,1,2,0
dundeto01,1913,VA1,PCHA,С,3,2,0,2,11
adamsja01,1921,VML,PCHA,С,5,6,1,7,18
broadpu01,1925,MTM,NHL,r,4,1,0,1,20
smithto01,1912,QU1,NHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",3,4,0,4,0
lehmahu01,1917,VML,PCHA,"Добро пожаловать в «Круг переводчиков» — сообщество профессионалов в области перевода и локализации. Мы предлагаем услуги по переводу документов, веб-сайтов, программного обеспечения и других материалов с английского на русский язык. Наши переводчики имеют опыт работы с различными видами документации и всегда стремятся предоставить точный и качественный перевод.",5,0,0,0,0
cookll01,1917,VML,PCHA,Да,5,2,0,2,12
harrism01,1920,VML,PCHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",5,2,1,3,6
lalonne01,1916,MOC,NHA,С,4,1,0,1,21
adamsbi01,1920,VML,PCHA,r,4,0,0,0,0
duncaar01,1922,VAM,PCHA,Да,4,2,2,4,0
foystfr01,1918,SEA,PCHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",5,9,1,10,0
morenho01,1924,MTL,NHL,С,4,4,1,5,4
griffsi01,1917,VML,PCHA,Да,5,1,0,1,9
poulisk01,1913,VA1,PCHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",3,2,0,2,17
irvinde01,1915,PO1,PCHA,Да,5,0,0,0,14
haldeha01,1924,VIC,WCHL,r,4,2,1,3,8
roachjo01,1921,TRS,NHL,"Добро пожаловать в «Круг переводчиков» — сообщество профессионалов в области перевода и локализации. Мы предлагаем услуги по переводу документов, веб-сайтов, программного обеспечения и других материалов с английского на русский язык. Наши переводчики имеют опыт работы с различными видами документации и всегда стремятся предоставить точный и качественный перевод.",5,0,0,0,0
parkeer01,1923,VAM,PCHA,r,2,0,0,0,0
benedcl01,1920,OTS,NHL,"Добро пожаловать в «Круг переводчиков» — сообщество профессионалов в области перевода и локализации. Мы предлагаем услуги по переводу документов, веб-сайтов, программного обеспечения и других материалов с английского на русский язык. Наши переводчики имеют опыт работы с различными видами документации и всегда стремятся предоставить точный и качественный перевод.",5,0,0,0,0
mcdonra01,1917,VML,PCHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",3,2,1,3,9
crawfru01,1923,CAT,WCHL,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",2,0,0,0,0
wilsocu01,1916,SEA,PCHA,r,4,1,2,3,0
morenho01,1923,MTL,NHL,С,4,4,2,6,4
grahale01,1914,OT1,NHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",3,1,0,1,0
morribe01,1916,SEA,PCHA,r,4,14,2,16,0
wilsocu01,1918,SEA,PCHA,r,5,1,3,4,6
clancki01,1922,OTS,NHL,Да,6,1,0,1,4
uksilch01,1915,PO1,PCHA,r,5,2,0,2,6
bouchfr01,1923,VAM,PCHA,С,2,1,1,2,2
prodggo01,1912,VA1,PCHA,r,2,1,0,1,2
lalonne01,1916,MOC,NHA,С,4,1,0,1,21
dundeto01,1915,PO1,PCHA,С,5,1,0,1,9
cleghsp01,1924,MTL,NHL,Да,4,0,0,0,2
arbouty01,1922,EDE,WCHL,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",2,0,0,0,0
morenho01,1924,MTL,NHL,С,4,4,1,5,4
mackami01,1923,VAM,PCHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",2,0,0,0,0
skinnal01,1920,VML,PCHA,r,3,4,0,4,14
berlilo01,1918,MTL,NHL,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",5,1,1,2,0
dennecy01,1922,OTS,NHL,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",6,1,1,2,8
cookll01,1922,VAM,PCHA,Да,4,0,1,1,4
anderer02,1923,CAT,WCHL,r,2,0,0,0,2
fredrfr01,1924,VIC,WCHL,С,4,3,3,6,6
holmeha01,1919,SEA,PCHA,"Добро пожаловать в «Круг переводчиков» — сообщество профессионалов в области перевода и локализации. Мы предлагаем услуги по переводу документов, веб-сайтов, программного обеспечения и других материалов с английского на русский язык. Наши переводчики имеют опыт работы с различными видами документации и всегда стремятся предоставить точный и качественный перевод.",5,0,0,0,0
taylocy01,1914,VML,PCHA,Р/Л,3,7,3,10,3
cookll01,1920,VML,PCHA,Да,5,2,0,2,20
denneco01,1917,TOA,NHL,L/C,5,3,1,4,0
holmeha01,1917,TOA,NHL,"Добро пожаловать в «Круг переводчиков» — сообщество профессионалов в области перевода и локализации. Мы предлагаем услуги по переводу документов, веб-сайтов, программного обеспечения и других материалов с английского на русский язык. Наши переводчики имеют опыт работы с различными видами документации и всегда стремятся предоставить точный и качественный перевод.",5,0,0,0,0
camerha01,1913,TBS,NHA,Да,2,1,0,1,4
coutubi01,1918,MTL,NHL,Да,5,0,1,1,0
benedcl01,1925,MTM,NHL,"Добро пожаловать в «Круг переводчиков» — сообщество профессионалов в области перевода и локализации. Мы предлагаем услуги по переводу документов, веб-сайтов, программного обеспечения и других материалов с английского на русский язык. Наши переводчики имеют опыт работы с различными видами документации и всегда стремятся предоставить точный и качественный перевод.",4,0,0,0,0
uksilch01,1915,PO1,PCHA,r,5,2,0,2,6
parkeer01,1922,VAM,PCHA,r,4,0,2,2,2
nighbfr01,1919,OTS,NHL,С,5,6,1,7,2
berlilo01,1916,MOC,NHA,"Здравствуйте! Я готов помочь с переводом. Пожалуйста, предоставьте текст для перевода.",4,0,0,0,0
bouchge01,1920,OTS,NHL,Да,5,2,0,2,9
tobinch01,1915,PO1,PCHA,r,5,2,1,3,12
oatmaed01,1923,CAT,WCHL,С,2,0,1,1,0
