coachid,year,tmid,lgid,stint,notes,g,w,l,t,postg,postw,postl,postt
crawfma01c,1994,QUE,NHL,1,,48,30,13,5,6,2,4,0
crawfma01c,1995,COL,NHL,1,,82,47,25,10,22,16,6,0
crawfma01c,1996,COL,NHL,1,,82,49,24,9,17,10,7,0
crawfma01c,1997,COL,NHL,1,,82,39,26,17,7,3,4,0
crawfma01c,1998,VAN,NHL,2,,37,8,23,6,,,,
crawfma01c,1999,VAN,NHL,1,,82,30,37,15,,,,
crawfma01c,2000,VAN,NHL,1,,82,36,35,11,4,0,4,0
crawfma01c,2001,VAN,NHL,1,,82,42,33,7,6,2,4,0
crawfma01c,2002,VAN,NHL,1,,82,45,24,13,14,7,7,0
crawfma01c,2003,VAN,NHL,1,,82,43,29,10,7,3,4,0
crawfma01c,2005,VAN,NHL,1,,82,42,32,8,,,,
crawfma01c,2006,LAK,NHL,1,,82,27,41,14,,,,
crawfma01c,2007,LAK,NHL,1,,82,32,43,7,,,,
crawfma01c,2009,DAL,NHL,1,,82,37,31,14,,,,
crawfma01c,2010,DAL,NHL,1,,82,42,29,11,,,,
gainebo01c,1993,DAL,NHL,1,,84,42,29,13,9,5,4,0
nealeha01c,1976,NEW,WHA,1,,81,35,40,6,5,1,4,0
payneda01c,2009,STL,NHL,2,,42,23,15,4,,,,
tippeda01c,2008,DAL,NHL,1,,82,36,35,11,,,,
dineebi01c,1974,HOU,WHA,1,,78,53,25,0,13,12,1,0
sullire01c,1962,NYR,NHL,2,,36,11,17,8,,,,
smithfl01c,1976,BUF,NHL,1,,80,48,24,8,6,2,4,0
loughcl01c,1935,CHI,NHL,1,,48,21,19,8,2,1,1,0
gerared01c,1934,STE,NHL,1,,13,2,11,0,,,,
kaspest01c,1996,BOS,NHL,1,,82,26,47,9,,,,
odonoge01c,1922,TRS,NHL,1,,5,2,3,0,,,,
gretzwa01c,2009,PHO,NHL,1,,82,50,25,7,7,3,4,0
schmimi01c,1954,BOS,NHL,2,,40,13,12,15,5,1,4,0
kishla01c,1982,HAR,NHL,1,,49,12,32,5,,,,
conacch01c,1948,CHI,NHL,1,,60,21,31,8,,,,
ridpabr01c,1912,TBS,NHA,1,,20,9,11,0,,,,
duncaar01c,1926,DTC,NHL,1,,33,10,21,2,,,,
arboual01c,1975,NYI,NHL,1,,80,42,21,17,13,7,6,0
paddojo01c,1994,WIN,NHL,1,,33,9,18,6,,,,
cheevge01c,1982,BOS,NHL,1,,80,50,20,10,17,9,8,0
hanlogl01c,2006,WAS,NHL,1,,82,28,40,14,,,,
hitchke01c,2009,CBS,NHL,1,,58,22,27,9,,,,
quinnmi01c,1916,QU1,NHA,1,,20,10,10,0,,,,
krommbo01c,1977,DET,NHL,1,,80,32,34,14,7,3,4,0
malonph01c,1976,VAN,NHL,1,,35,9,23,3,,,,
schmimi01c,1957,BOS,NHL,1,,70,27,28,15,12,6,6,0
reaybi01c,1966,CHI,NHL,1,,70,41,17,12,6,2,4,0
imlacpu01c,1963,TOR,NHL,1,,70,33,25,12,14,8,6,0
patrile01c,1927,NYR,NHL,1,,44,19,16,9,9,5,3,1
gendrje01c,1974,QUN,WHA,1,,78,46,32,0,15,8,7,0
risebdo01c,1991,CAL,NHL,1,,64,25,30,9,,,,
bowmasc01c,1995,DET,NHL,1,,82,62,13,7,19,10,9,0
hartce01c,1938,MTL,NHL,1,,30,6,18,6,,,,
yeomi01c,2011,MIN,NHL,1,,82,35,36,11,,,,
macneal01c,1979,ATF,NHL,1,,80,35,32,13,4,1,3,0
longba01c,1984,WIN,NHL,1,,80,43,27,10,8,3,5,0
greenpe01c,1923,OTS,NHL,1,,24,16,8,0,2,0,2,0
nolante01c,2007,NYI,NHL,3,,71,28,34,9,,,,
olmstbe01c,1967,OAK,NHL,1,,64,11,37,16,,,,
